Estuary,Seagrass|Mangroves,Mangroves|Saltmarsh,Seagrass|Saltmarsh
Akaroa_Harbour,NA,NA,-0.12403639
Aotea_Harbour_System_AHS_,0.344555398,0.817147506,NA
Avon_Heathcote_River,NA,NA,0.026919678
Blueskin_Bay,NA,NA,-0.132388157
Bluff_Harbour,NA,NA,0.047711166
Coromandel_Harbour,-0.465606469,0.038463486,NA
Croisilles_Harbour,NA,NA,-0.174314232
Firth_of_Thames,-0.089262615,0.830674427,NA
Hokianga_Harbour_System,0.346646507,0.944116533,NA
Houhora_Harbour,0.519137749,0.667391178,NA
Kaipara_Harbour_System,0.326124675,1.201133625,NA
Kawhia_Harbour_System_KHS_,0.348778349,0.720061522,NA
Lyttelton_Harbour,NA,NA,0.058653473
Mahurangi_Harbour_System,0.106392669,0.504916981,NA
Manaia_Harbour,-0.41378805,0.125891681,NA
Mangonui_Harbour,0.122286004,0.590613533,NA
Manukau_Harbour_System_MHS_,0.1209267,0.825509198,NA
Moutere_Inlet,NA,NA,0.749741982
Nelson_Haven,NA,NA,0.60023546
New_River_Oreti_Estuary,NA,NA,-0.281809247
Ohiwa_Harbour,-0.046357681,0.36246349,NA
Opua_Inlet_System,0.127513055,0.510647812,NA
Otago_Harbour,NA,NA,-0.509714282
Parengarenga_Harbour_System,-0.132227155,0.686773359,NA
Pelorous_Kenepuru_Sound,NA,NA,-0.423035119
Porirua_Harbour,NA,NA,-0.246071821
Port_Fitzroy_Port_Albercrombie,-0.589080792,-0.408491568,NA
Port_Underwood,NA,NA,-0.083254938
Queen_Charlotte_Sound_Totaranui_,NA,NA,-0.144177079
Raglan_Harbour_System_RHS_,0.270638229,0.72980844,NA
Rangaunu_Harbour,0.127792338,0.794627689,NA
Ruataniwha_Inlet,NA,NA,0.442307422
Tairua_Harbour,-0.271449809,-0.026760072,NA
Tamaki_River,-0.036132994,0.649764875,NA
Tauranga_Harbour_System,-0.279770114,0.25758945,NA
Te_Puna_Kerikeri_Inlet_System,-0.218977349,0.232976024,NA
Waihi_Estuary,0.153573205,0.275715458,NA
Waikawa_Harbour,NA,NA,-0.251653419
Waimea_Inlet,NA,NA,0.744025164
Waitemata_Harbour_System,0.214452349,0.689672833,NA
Wellington_Harbour,NA,NA,-0.129372564
Whanganui_Inlet,NA,NA,0.483059829
Whangapoua_Harbour,0.01978939,0.583313037,NA
Whangarei_Harbour_System,-0.267596409,0.348220487,NA
Whangaroa_Harbour,0.138694102,0.487137478,NA
Whangateau_Harbour,-0.124026537,0.224864852,NA
Whitford_Embayment_System_WES_,0.325492183,0.868312791,NA
Whitianga_Harbour_MBS_,-0.137899182,0.281698364,NA
