"Estuary","Mangroves_present","Model","n_total_clean","n_seagrass_clean","n_mangroves_clean","n_saltmarsh_clean","outliers_seagrass","outliers_mangroves","outliers_saltmarsh","boundary1_m","boundary2_m","AIC","logLik","accuracy"
"Akaroa_Harbour","No","Binomial logistic",767,507,NA,260,32,NA,11,-0.124036,NA,2307.55,-1151.77,0.644
"Aotea_Harbour_System_AHS_","Yes","Ordinal logistic",1998,995,434,569,13,37,69,0.344555,0.817148,11361.83,-5677.91,0.159
"Avon_Heathcote_River","No","Binomial logistic",623,506,NA,117,0,NA,5,0.02692,NA,1132.91,-564.46,0.727
"Blueskin_Bay","No","Binomial logistic",257,119,NA,138,0,NA,5,-0.132388,NA,324.86,-160.43,0.852
"Bluff_Harbour","No","Binomial logistic",1583,953,NA,630,4,NA,44,0.047711,NA,1804.93,-900.47,0.884
"Coromandel_Harbour","Yes","Ordinal logistic",1345,342,443,560,24,0,1,-0.465606,0.038463,8123.68,-4058.84,0.188
"Croisilles_Harbour","No","Binomial logistic",373,276,NA,97,13,NA,3,-0.174314,NA,784.7,-390.35,0.718
"Firth_of_Thames","Yes","Ordinal logistic",3883,1500,547,1836,40,1,2,-0.089263,0.830674,21456.38,-10725.19,0.148
"Hokianga_Harbour_System","Yes","Ordinal logistic",9524,1694,1904,5926,0,87,432,0.346647,0.944117,53827.73,-26910.86,0.203
"Houhora_Harbour","Yes","Ordinal logistic",715,79,124,512,4,3,17,0.519138,0.667391,4666.42,-2330.21,0.18
"Kaipara_Harbour_System","Yes","Ordinal logistic",32909,6781,8848,17280,111,381,1329,0.326125,1.201134,168785.25,-84389.63,0.212
"Kawhia_Harbour_System_KHS_","Yes","Ordinal logistic",4539,1001,1538,2000,18,111,145,0.348778,0.720062,27631.62,-13812.81,0.241
"Lyttelton_Harbour","No","Binomial logistic",1248,723,NA,525,24,NA,6,0.058653,NA,3027.26,-1511.63,0.673
"Mahurangi_Harbour_System","Yes","Ordinal logistic",2321,490,597,1234,19,29,112,0.106393,0.504917,13954.1,-6974.05,0.207
"Manaia_Harbour","Yes","Ordinal logistic",618,151,166,301,1,0,0,-0.413788,0.125892,3688.02,-1841.01,0.214
"Mangonui_Harbour","Yes","Ordinal logistic",1107,206,255,646,6,15,35,0.122286,0.590614,6841.06,-3417.53,0.258
"Manukau_Harbour_System_MHS_","Yes","Ordinal logistic",16344,5385,2911,8048,42,96,446,0.120927,0.825509,93016.97,-46505.48,0.197
"Moutere_Inlet","No","Binomial logistic",952,742,NA,210,6,NA,20,0.749742,NA,1744.87,-870.44,0.732
"Nelson_Haven","No","Binomial logistic",854,761,NA,93,46,NA,7,0.600235,NA,484.75,-240.37,0.93
"New_River_Oreti_Estuary","No","Binomial logistic",1912,1101,NA,811,113,NA,2,-0.281809,NA,1866.83,-931.41,0.899
"Ohiwa_Harbour","Yes","Ordinal logistic",2766,583,747,1436,2,21,99,-0.046358,0.362463,15308.81,-7651.4,0.227
"Opua_Inlet_System","Yes","Ordinal logistic",6837,1646,1838,3353,31,58,112,0.127513,0.510648,43125.83,-21559.92,0.206
"Otago_Harbour","No","Binomial logistic",1098,629,NA,469,40,NA,43,-0.509714,NA,2217.22,-1106.61,0.75
"Parengarenga_Harbour_System","Yes","Ordinal logistic",6947,2882,1166,2899,234,41,370,-0.132227,0.686773,34491.64,-17242.82,0.199
"Pelorous_Kenepuru_Sound","No","Binomial logistic",11588,7942,NA,3646,311,NA,105,-0.423035,NA,23203.51,-11599.76,0.678
"Porirua_Harbour","No","Binomial logistic",486,455,NA,31,9,NA,3,-0.246072,NA,1198.44,-597.22,0.42
"Port_Fitzroy_Port_Albercrombie","Yes","Ordinal logistic",861,209,204,448,13,10,25,-0.589081,-0.408492,5460.15,-2727.07,0.272
"Port_Underwood","No","Binomial logistic",485,327,NA,158,17,NA,6,-0.083255,NA,931.75,-463.87,0.695
"Queen_Charlotte_Sound_Totaranui_","No","Binomial logistic",3561,2218,NA,1343,196,NA,63,-0.144177,NA,10133.91,-5064.96,0.69
"Raglan_Harbour_System_RHS_","Yes","Ordinal logistic",2857,340,1041,1476,6,84,122,0.270638,0.729808,17111.75,-8552.88,0.253
"Rangaunu_Harbour","Yes","Ordinal logistic",3713,1142,519,2052,18,6,95,0.127792,0.794628,19660.95,-9827.48,0.192
"Ruataniwha_Inlet","No","Binomial logistic",978,767,NA,211,2,NA,1,0.442307,NA,2294.24,-1145.12,0.643
"Tairua_Harbour","Yes","Ordinal logistic",952,316,265,371,1,0,2,-0.27145,-0.02676,5933.93,-2963.96,0.202
"Tamaki_River","Yes","Ordinal logistic",3305,1045,565,1695,8,12,122,-0.036133,0.649765,17351.88,-8672.94,0.188
"Tauranga_Harbour_System","Yes","Ordinal logistic",17489,10819,2189,4481,281,38,9,-0.27977,0.257589,91201.91,-45597.96,0.112
"Te_Puna_Kerikeri_Inlet_System","Yes","Ordinal logistic",3556,815,847,1894,37,54,121,-0.218977,0.232976,21207.1,-10600.55,0.231
"Waihi_Estuary","Yes","Ordinal logistic",813,229,236,348,8,6,19,0.153573,0.275715,5070.83,-2532.41,0.173
"Waikawa_Harbour","No","Binomial logistic",252,163,NA,89,0,NA,4,-0.251653,NA,89.71,-42.85,0.98
"Waimea_Inlet","No","Binomial logistic",3737,3046,NA,691,2,NA,36,0.744025,NA,6028.81,-3012.4,0.734
"Waitemata_Harbour_System","Yes","Ordinal logistic",7687,2074,1417,4196,64,69,347,0.214452,0.689673,45899.25,-22946.62,0.212
"Wellington_Harbour","No","Binomial logistic",262,159,NA,103,9,NA,5,-0.129373,NA,846.97,-421.49,0.611
"Whanganui_Inlet","No","Binomial logistic",2598,1973,NA,625,28,NA,38,0.48306,NA,5015.99,-2506,0.698
"Whangapoua_Harbour","Yes","Ordinal logistic",1031,404,147,480,13,1,2,0.019789,0.583313,5177.62,-2585.81,0.162
"Whangarei_Harbour_System","Yes","Ordinal logistic",6664,2493,1212,2959,61,2,28,-0.267596,0.34822,36297.84,-18145.92,0.167
"Whangaroa_Harbour","Yes","Ordinal logistic",1791,233,357,1201,13,8,43,0.138694,0.487137,11103,-5548.5,0.215
"Whangateau_Harbour","Yes","Ordinal logistic",996,270,219,507,0,7,3,-0.124027,0.224865,5935.81,-2964.91,0.209
"Whitford_Embayment_System_WES_","Yes","Ordinal logistic",1408,382,282,744,1,24,113,0.325492,0.868313,7271.8,-3632.9,0.202
"Whitianga_Harbour_MBS_","Yes","Ordinal logistic",1690,712,252,726,26,2,5,-0.137899,0.281698,10017.07,-5005.53,0.149
