OID,FID_,X,Y,BCE_Akaroa
0,0,1594625.259571907,5155818.943663802,0.234942662
1,1,1594356.775478676,5155777.819112728,1.283812038
2,2,1594506.855508709,5155778.832499144,0.673290505
3,3,1594201.029097086,5155747.992776043,0.643024159
4,4,1594083.229539095,5155639.278235021,0.413791539
5,5,1595275.95742027,5155494.860897074,0.575649993
6,6,1594124.987620466,5155527.896807508,0.025603938
7,7,1594198.897205565,5155189.319710718,-9999.0
8,8,1594193.193648687,5155149.146502733,-0.645142803
9,9,1595466.340384411,5155146.308819474,0.916109091
10,10,1594177.432540536,5155128.699777865,0.058644487
11,11,1595441.999159093,5155106.605130534,3.674017849
12,12,1595427.207057666,5155088.204067157,3.765057114
13,13,1595408.095563144,5155077.427960686,0.708418512
14,14,1595362.541845943,5155026.80081482,-0.341492054
15,15,1595347.734583943,5155007.139657979,0.699583332
16,16,1593496.317674591,5154993.670455691,0.653862495
17,17,1595326.047182653,5154967.004681852,0.993000006
18,18,1594141.313036222,5154949.329004755,-0.415166658
19,19,1593670.918218423,5154894.713658163,0.33305405
20,20,1594128.105659929,5154837.083640727,-0.530678587
21,21,1593082.476219222,5154885.272403795,0.876441808
22,22,1594142.057191112,5154816.611337101,-0.956285664
23,23,1594155.778274114,5154795.742118149,-0.439906202
24,24,1593059.507430049,5154786.666640696,1.404763248
25,25,1594162.908025967,5154775.660497406,0.06275838
26,26,1592988.013090083,5154654.808560682,0.10527143
27,27,1594170.453197099,5154656.274059457,-0.253328367
28,28,1594190.884270415,5154633.986557083,1.272064113
29,29,1592981.738789975,5154673.747351444,1.116361159
30,30,1592905.432574859,5154594.623915743,0.508601938
31,31,1592924.208020332,5154601.570773341,0.508596935
32,32,1594189.458586751,5154582.858236533,0.089504498
33,33,1594177.552761756,5154566.163370008,0.870628577
34,34,1594170.50209139,5154550.708831397,0.282641799
35,35,1596758.735925058,5154547.648781655,0.475712328
36,36,1596786.567571125,5154527.544731564,0.475967917
37,37,1596823.722128638,5154498.809647845,0.473282213
38,38,1596862.172928065,5154470.954464524,0.427593585
