OID,FID_,X,Y,BCE_Akaroa
0,0,1594375.365206463,5155773.499164904,1.160065697
1,1,1594484.030206674,5155758.562311795,0.590414948
2,2,1594877.348036024,5155728.019248542,0.546704165
3,3,1594921.476156738,5155664.203403637,-0.160285716
4,4,1594097.097275529,5155608.657344387,0.281122728
5,5,1595196.323382536,5155593.20187401,0.051435898
6,6,1595185.496657198,5155584.586030506,-0.195026668
7,7,1595203.576090915,5155584.599058819,-0.081114283
8,8,1594889.149657597,5155467.165893094,-9999.0
9,9,1594967.298742704,5155474.747513332,-9999.0
10,10,1594801.065735756,5155461.096257357,-9999.0
11,11,1595015.500795176,5155454.972592455,-9999.0
12,12,1594776.872527947,5155434.836692683,-9999.0
13,13,1594289.299902147,5155394.90716623,-9999.0
14,14,1594545.651953626,5155379.572187976,-9999.0
15,15,1594549.668985103,5155355.218414075,-9999.0
16,16,1594560.289655266,5155344.458020018,-9999.0
17,17,1594190.077668491,5155326.585961407,-9999.0
18,18,1594361.69992979,5155295.20224605,-9999.0
19,19,1594911.290925384,5155295.644221062,-9999.0
20,20,1594201.512363656,5155254.746895616,-9999.0
21,21,1594206.652873184,5155215.877186884,-0.904875021
22,22,1594205.938031795,5155184.740989792,-9999.0
23,23,1594667.193573514,5155579.536536172,-0.306965624
24,24,1594196.711974921,5155168.659469937,-9999.0
25,25,1595424.81358887,5155166.319799252,-9999.0
26,26,1595469.43068743,5155163.275943529,-0.421964696
27,27,1595456.987179224,5155145.80392364,-0.481605269
28,28,1595463.22991997,5155137.057845875,2.721767446
29,29,1594195.138781014,5155129.859996248,-9999.0
30,30,1595434.255203139,5155122.926494251,-0.089073255
31,31,1594169.644900707,5155095.869777188,-0.475646432
32,32,1595378.754039877,5155055.48043419,-0.128466407
33,33,1594144.886266456,5155043.399804938,-0.794921526
34,34,1593324.791457152,5154993.562323699,0.581724876
35,35,1593294.989688492,5154984.354179933,0.519645458
36,36,1595323.485563154,5154989.776393921,-0.215259644
37,37,1593229.451655223,5154968.385875239,0.446538582
38,38,1593316.698059883,5154969.410983627,0.432113633
39,39,1593355.021772335,5154966.838197221,0.432553398
40,40,1593138.107833855,5154950.785771553,0.523576452
41,41,1595300.796400496,5154941.593311611,-0.016337316
42,42,1593097.812339405,5154927.04702968,0.501473407
43,43,1594134.256997335,5154929.110768158,-0.369896556
44,44,1594155.532858156,5154940.268928211,-0.684176454
45,45,1593644.196657336,5154908.067119677,0.37804689
46,46,1594120.027117041,5154894.826361848,-0.64970174
47,47,1593092.642204832,5154864.42773633,0.221766667
48,48,1593360.052801348,5154854.930535049,-0.116479998
49,49,1593338.51097735,5154849.712869541,-0.155657142
50,50,1594132.035763466,5154850.945775639,-0.908257125
51,51,1595268.509913041,5154875.742556408,-0.004959982
52,52,1593511.952003025,5154805.196741561,-0.19431372
53,53,1593533.644793294,5154805.217812268,-0.191333329
54,54,1595281.987542126,5154813.756445856,-0.110768718
55,55,1593193.801261111,5154794.902943689,-0.257680002
56,56,1593597.118295034,5154801.777003997,-0.174428574
57,57,1593658.716450996,5154801.25891316,-0.130765026
58,58,1593714.592389043,5154775.252988736,0.237114287
59,59,1593076.998927414,5154791.663309477,0.19029094
60,60,1595323.725969062,5154789.727779008,0.820122874
61,61,1593043.55152361,5154742.750337444,0.895338321
62,62,1595333.225813057,5154737.78940228,-0.385649651
63,63,1593016.883921522,5154704.722188971,0.200385712
64,64,1593085.557774327,5154723.0842997,-0.098575988
65,65,1594167.719150237,5154759.255000706,-0.717109843
66,66,1595326.521085516,5154698.770180544,-0.646683099
67,67,1593027.625729395,5154665.034613813,-0.086755102
