OID,FID_,X,Y,BCE_Aotea_
0,0,1762596.07296167,5799655.279268453,0.160868748
1,1,1762556.543386234,5799553.85048656,0.707533325
2,2,1762534.373844669,5799543.786930582,0.647961744
3,3,1762481.373522477,5799525.432830973,0.291459015
4,4,1762737.37225431,5799520.54935238,0.077745457
5,5,1762460.803288034,5799505.163356889,0.247640003
6,6,1762503.64478107,5799475.123910041,0.586560506
7,7,1762547.065301144,5799474.261892802,0.468987499
8,8,1762427.13500391,5799478.146150849,0.297588059
9,9,1762483.477708988,5799466.511963678,0.661062487
10,10,1762570.551270868,5799463.823433867,0.358040003
11,11,1762396.508221675,5799457.097955643,0.351370368
12,12,1762590.089872671,5799453.463302399,0.02049057
13,13,1762601.733856937,5799443.259924863,0.033100004
14,14,1762609.58563139,5799432.92411777,0.083566042
15,15,1762380.740088575,5799434.34317818,-0.102657895
16,16,1762638.212079352,5799418.74609971,0.004009289
17,17,1762393.69110001,5799307.053099476,0.566812494
18,18,1762385.561403411,5799288.020476791,0.761185723
19,19,1762397.059500696,5799277.797130516,0.625400005
20,20,1762400.611208015,5799257.782485421,0.685679474
21,21,1762217.32881308,5799166.759684038,0.624924901
22,22,1762153.404254751,5799140.60027048,0.729561436
23,23,1762481.594980925,5798897.906926523,0.828303804
24,24,1762271.532604308,5798829.701854132,0.83614958
25,25,1762243.090979294,5798760.506948118,0.471211794
26,26,1762208.414196609,5798733.280450932,0.544254533
27,27,1762188.005802682,5798714.208158821,0.553915877
28,28,1762176.237748125,5798703.586321256,0.556703709
29,29,1762675.240194408,5798616.703999883,0.93509441
30,30,1762652.000567759,5798594.631495822,1.98017611
31,31,1762628.120841314,5798585.134107038,1.693712468
32,32,1762600.870206885,5798575.70350988,0.912565205
33,33,1762220.010429183,5798513.456839698,1.211269248
34,34,1762169.402980221,5798557.734261337,1.637461759
35,35,1762184.29122314,5798504.192683124,1.469512501
36,36,1762203.80539947,5798503.716126986,3.410911096
37,37,1762242.505841708,5798453.178335991,0.604093352
38,38,1764034.342120062,5798387.542571963,0.79009435
39,39,1764035.297976183,5798413.499149311,0.953660141
40,40,1763978.075333488,5798358.961323973,0.701163647
41,41,1762223.942289924,5798426.990817002,2.552717239
42,42,1763969.655052106,5798348.742322985,0.66614815
43,43,1764246.270025834,5798323.458561551,0.565169794
44,44,1764268.312303164,5798329.691766663,0.558392004
45,45,1764284.790988117,5798322.971971146,1.230684919
46,46,1762197.506088524,5798363.942301222,0.726511981
47,47,1764199.516669937,5798310.064211404,0.470678768
48,48,1762184.692154082,5798341.300113177,0.699613451
49,49,1763920.17145657,5798300.989292117,0.593957314
50,50,1764087.068022358,5798296.94336535,0.431981486
51,51,1763905.308346857,5798290.198119333,0.596481479
52,52,1762168.663451619,5798305.268271997,0.601226419
53,53,1763876.632385325,5798277.253869507,0.637459681
54,54,1763830.312442686,5798262.575324005,0.771102808
