OID,FID_,X,Y,BCE_Aotea_
0,0,1762602.14209799,5799662.637816458,0.020874213
1,1,1762653.303256443,5799661.829529969,0.391203704
2,2,1762582.306404416,5799658.046208843,0.175108279
3,3,1762574.690001803,5799643.239031576,0.318980395
4,4,1762589.865754834,5799644.348796138,0.462224139
5,5,1762613.193698313,5799645.149917485,0.566822921
6,6,1762563.862447154,5799553.705153803,0.69425491
7,7,1762546.854907552,5799536.500143104,0.559422765
8,8,1762488.223439172,5799515.311998693,0.367267245
9,9,1762452.725237997,5799496.078699582,0.254262503
10,10,1762436.540346503,5799476.455669974,0.290301372
11,11,1762474.573759882,5799480.75996971,0.37068542
12,12,1762531.462288194,5799465.836905175,1.361387111
13,13,1762582.393217566,5799463.588261351,-0.007758165
14,14,1762420.369951389,5799457.559455167,0.290283022
15,15,1762554.095378522,5799465.440081694,1.007255813
16,16,1762601.931862489,5799453.228052169,0.067399998
17,17,1762570.431199834,5799450.133015206,1.699008154
18,18,1762387.805942968,5799437.534152786,-0.039150942
19,19,1762586.061473497,5799440.832967519,2.214891669
20,20,1762651.331267036,5799421.931553642,-0.053669565
21,21,1762621.628867071,5799422.050342276,0.965663938
22,22,1762393.40889874,5799292.827695097,0.613277429
23,23,1762393.752653206,5799262.52483651,2.00346876
24,24,1762399.640056901,5799237.857564002,1.029735838
25,25,1762195.627623453,5799142.580496806,0.71617857
26,26,1762100.927080334,5799125.079081188,0.751441371
27,27,1762216.300361009,5799113.837186382,0.813571441
28,28,1762432.806954406,5798898.355702401,0.683272724
29,29,1762275.581857436,5798880.451352641,3.774444439
30,30,1762282.184112248,5798861.247530864,0.469175009
31,31,1761942.741047899,5798818.169590341,0.890375019
32,32,1761950.345445486,5798809.857160132,0.660950008
33,33,1761965.338857719,5798798.141801844,0.60529728
34,34,1762250.566801456,5798790.598570909,4.355974996
35,35,1761973.328994072,5798789.115775574,0.575107146
36,36,1761996.592900675,5798779.349343428,0.547238102
37,37,1762105.168220301,5798675.868481575,0.627771433
38,38,1762650.283630298,5798608.057814249,0.919824711
39,39,1762178.365901791,5798603.680430127,0.712181798
40,40,1762628.318849732,5798595.102099298,1.225188686
41,41,1762608.937680708,5798589.981666654,0.82077359
42,42,1762173.199100825,5798568.659764627,2.35701853
43,43,1762216.684567739,5798523.501246899,0.805768588
44,44,1762184.481821147,5798513.810415717,0.903875001
45,45,1762148.98070208,5798504.707175138,0.909052628
46,46,1764058.646444903,5798446.888658945,0.889475005
47,47,1764074.149617091,5798440.594949062,1.423532825
48,48,1762242.433131324,5798470.937707521,0.744005683
49,49,1764058.091635484,5798427.163108415,0.986821444
50,50,1762234.790902879,5798448.345229955,1.408308417
51,51,1764041.660181478,5798387.395886129,1.314400022
52,52,1762225.772960093,5798413.829413529,1.863357148
53,53,1764253.588036204,5798323.311684264,0.530090894
54,54,1762076.935116492,5798266.989082082,1.22761251
55,55,1761992.638528638,5798189.089613895,0.889240745
56,56,1761982.504603068,5798177.492226254,1.159216868
57,57,1761664.119854464,5797956.0487556,0.803950009
58,58,1763305.8969597,5797923.447108056,0.433278474
59,59,1762941.818645416,5797880.844511667,0.945624989
60,60,1761584.007362367,5797897.799079003,0.826374994
61,61,1761465.020914698,5797870.231782346,1.106487522
62,62,1761480.034770276,5797859.963432131,1.218938798
63,63,1761520.075553145,5797859.1731111,0.908525004
64,64,1761456.816402687,5797850.549699101,1.106692329
65,65,1761464.478425102,5797840.384670216,1.135287695
66,66,1761498.825765894,5797836.514914351,1.201305163
67,67,1761480.028008305,5797820.38716677,1.284106661
68,68,1761511.550635709,5797819.245398915,0.842509082
69,69,1761488.230087244,5797812.075562257,1.867634134
70,70,1760501.691978695,5797679.767127872,0.955100621
71,71,1760237.454042845,5797654.507780459,1.84780493
72,72,1760442.127762751,5797651.022808869,1.704075021
73,73,1760427.145570801,5797639.771754101,1.542510626
74,74,1760266.164309041,5797642.589622471,1.300418333
75,75,1760319.837892787,5797627.298780697,1.352880091
76,76,1760360.473123999,5797542.934091531,1.332960779
77,77,1760983.073052534,5797450.847793708,1.874461527
78,78,1760976.383504399,5797440.412256228,2.026249997
79,79,1760990.503911743,5797430.840579212,0.585199992
80,80,1760658.231218759,5797397.483816712,1.203807684
81,81,1765754.709712841,5797165.489277327,2.878981816
82,82,1765746.444422625,5797155.940469926,5.244749963
83,83,1760204.840308983,5797226.879325637,0.789999997
84,84,1760165.019943319,5797207.670118272,1.69198733
85,85,1760180.772910922,5797207.406998806,0.835324998
86,86,1765761.4678605,5797136.628919256,-0.028337943
87,87,1760069.889441275,5797189.633567329,1.918125035
88,88,1765105.049694807,5797079.563290135,1.973531655
89,89,1760132.793273912,5797168.250737972,0.84538183
90,90,1765120.616413265,5797069.298868001,0.68407692
91,91,1765136.246122911,5797069.191116415,0.661089285
92,92,1760088.300935301,5797166.527950462,1.034894008
93,93,1765915.219944356,5797080.522753005,0.739064159
94,94,1765972.273861408,5797004.249341856,1.167555559
95,95,1766001.485897624,5797007.703118361,1.651560173
96,96,1765995.968108851,5796992.676239694,0.740310339
97,97,1765569.121714221,5796980.046594631,2.833597203
98,98,1765584.654044261,5796980.140230275,0.756550007
99,99,1766014.613565785,5796982.468770082,1.265370834
100,100,1766103.84502336,5796969.645904513,0.98480001
101,101,1760059.276119502,5797080.149453594,0.834700009
