OID,FID_,X,Y,BCE_Aotea_
0,0,1762466.090028918,5799404.886415928,0.716785706
1,1,1762474.213322079,5799395.624073355,0.728760577
2,2,1762520.865705019,5799238.201537373,0.872619056
3,3,1762350.927431314,5799158.539840261,0.646098579
4,4,1762553.966032278,5798654.995473848,0.588555557
5,5,1764097.169250867,5798315.688615992,1.065644442
6,6,1764276.669357345,5798292.929846735,0.592000011
7,7,1764337.413046712,5798191.486666246,0.510500006
8,8,1764395.203647264,5798138.201305643,0.780355178
9,9,1762651.829986548,5798012.301600347,0.446897808
10,10,1761640.214289915,5797958.348724804,1.240999976
11,11,1763313.808826244,5797924.163011786,0.477408165
12,12,1764499.777154408,5797869.065070184,0.966379836
13,13,1760512.887519294,5797690.132175478,0.892153059
14,14,1760496.387587766,5797666.624908302,1.051190486
15,15,1760372.104545516,5797636.844768416,0.805333316
16,16,1761082.123633564,5797539.126838208,0.899622828
17,17,1760573.749797341,5797488.889205202,1.403239985
18,18,1760943.087663561,5797390.762298679,0.596211529
19,19,1760643.173123054,5797390.466186635,1.878359217
20,20,1760839.166513145,5797381.892184852,1.128250012
21,21,1760926.935669479,5797380.242896986,0.584577778
22,22,1764875.723444347,5797258.723920128,0.751803799
23,23,1762490.981736442,5797246.605970165,-0.009384615
24,24,1760260.688143772,5797256.427106782,0.94887039
25,25,1760169.066090372,5797180.174590273,0.709666669
26,26,1762333.856944179,5797095.365268102,-0.209814819
27,27,1762345.886810215,5797079.648956868,-0.162224299
28,28,1765017.941555272,5797024.532892359,0.744015242
29,29,1765253.132805232,5797006.039572307,0.682067801
30,30,1759988.786112243,5797064.833537542,1.075839763
31,31,1762296.551063691,5796976.816575387,-0.162766354
32,32,1759925.586019041,5796952.416435004,1.009074057
33,33,1763302.058587595,5796877.169860081,-0.367292991
34,34,1762837.412408239,5796923.813038779,-0.160345371
35,35,1763144.370222289,5796877.771512653,-9999.0
36,36,1763308.129360321,5796856.584898555,-0.32685185
37,37,1762451.59211611,5796891.463411198,0.002181476
38,38,1763411.353942688,5796815.153923104,0.092082802
39,39,1763469.704349953,5796813.845152938,0.134224299
40,40,1761985.131368378,5796838.121287068,-9999.0
41,41,1762907.236588952,5796818.795344112,-0.034720429
42,42,1762903.446578362,5796754.960670346,-0.063037737
43,43,1762936.581484269,5796768.919341628,0.114012448
44,44,1762800.651816041,5796747.035175974,-0.133796299
45,45,1762948.778065468,5796738.2465863,0.136762556
46,46,1759591.433477085,5796779.48274868,1.023565206
47,47,1762231.825459384,5796728.005422373,-9999.0
48,48,1763581.698639658,5796740.653418387,0.15305386
49,49,1759769.695446335,5796776.678871167,1.338363632
50,50,1763612.732497595,5796690.942337318,0.19403572
51,51,1762020.528088732,5796722.494241871,0.129251385
52,52,1762246.743076489,5796702.415642664,-9999.0
53,53,1763628.117635172,5796670.690135696,0.204925924
54,54,1761996.47124624,5796696.409650754,0.239598871
55,55,1763527.120650503,5796681.546170617,0.156601186
56,56,1762763.639545421,5796720.469218439,-0.062063037
57,57,1763471.89898776,5796663.234581296,0.151381944
58,58,1761970.032151439,5796679.645640111,0.256256131
59,59,1763477.882768587,5796643.362170804,0.174836367
60,60,1761899.296456155,5796677.696632695,0.232512586
61,61,1761946.340849108,5796664.273667736,0.29751852
62,62,1760888.347599913,5796679.388505845,0.078638888
63,63,1760912.715738069,5796689.448303737,0.148411961
64,64,1762965.015713748,5796673.38381938,0.17185237
65,65,1760915.782689622,5796663.877742073,0.199710277
66,66,1760959.460495533,5796663.810353626,0.295660374
67,67,1763007.13364875,5796622.464595971,0.246657404
68,68,1763450.738118319,5796624.695592827,0.121401656
69,69,1763641.907157802,5796570.692092231,0.154740742
70,70,1762975.428510453,5796574.404162894,0.191249998
71,71,1761375.850223583,5796601.7068581,0.392709542
72,72,1761673.541984323,5796609.628433312,0.184988133
73,73,1763491.502766992,5796574.007158798,0.138734062
74,74,1763002.069728088,5796553.552350703,0.218185189
75,75,1762486.816103446,5796556.188493966,-9999.0
76,76,1763030.075406898,5796543.398526176,0.259373834
77,77,1763001.672397026,5796533.61591622,0.232685184
78,78,1763597.239807801,5796558.994834472,0.124352101
79,79,1762472.045533793,5796518.444755393,-9999.0
80,80,1763060.649021768,5796492.928130534,0.298650944
81,81,1762471.253444517,5796478.571916621,-9999.0
82,82,1763071.109935203,5796467.724184583,0.295132077
83,83,1759424.436436782,5796505.776653433,0.970551912
84,84,1763109.84708232,5796490.11955102,0.257228371
85,85,1765153.66508514,5796365.32690703,0.276542483
86,86,1762863.947630902,5796426.442194205,-0.15857313
87,87,1760959.049524908,5796418.061947357,0.323626604
88,88,1759472.93636352,5796393.120611944,0.930762511
89,89,1760838.192161177,5796380.915124366,0.126548701
90,90,1763173.602462416,5796337.068830155,-0.4702399
91,91,1760843.207321082,5796356.548595207,0.176963638
92,92,1761297.850316747,5796365.317969157,0.326266363
93,93,1762949.35616419,5796285.354020987,0.234388887
94,94,1760696.65727921,5796321.190403439,-9999.0
95,95,1762112.256843979,5796272.074104243,0.097327273
96,96,1762941.187299636,5796255.600250904,0.210087721
97,97,1762172.115140394,5796324.437107176,0.131198342
98,98,1760762.413549228,5796278.776386153,-0.226500008
99,99,1762119.555553523,5796242.01304417,0.175314813
100,100,1760795.510704997,5796321.533299877,-0.007940923
101,101,1761168.819469336,5796241.237554229,0.247990564
102,102,1762187.024729825,5796226.884954974,0.284401709
103,103,1761180.46962205,5796226.036866412,0.117752293
104,104,1761716.300287339,5796210.108828396,0.187759258
105,105,1763898.21615886,5796171.760368031,0.063665095
106,106,1762175.826235192,5796202.151456932,0.274216471
107,107,1762799.832014248,5796182.71524664,-0.398069895
108,108,1761633.628731983,5796192.175590859,0.157914287
109,109,1762746.323411407,5796170.107520574,-0.637658536
110,110,1762137.88109176,5796187.702466976,0.223270923
111,111,1760918.47825908,5796185.958550777,-0.122400002
112,112,1762757.97064224,5796154.904486801,-0.563000007
113,113,1763748.827458015,5796153.12622106,0.00877345
114,114,1760885.400616975,5796187.709950775,-0.031740596
115,115,1762803.653136184,5796122.936002549,-0.375706425
116,116,1762961.413635688,5796105.144650823,-0.213075082
117,117,1762027.89746686,5796106.57546322,0.227607597
118,118,1762210.736535895,5796129.489553179,0.218264278
119,119,1762055.857151944,5796090.922605902,0.251621847
120,120,1762960.04932619,5796233.240541666,0.025062081
121,121,1762842.200235434,5796058.128446999,-0.284018524
122,122,1762867.098943622,5796048.179789452,-0.222601261
123,123,1762099.82064777,5796042.961731526,0.320927277
124,124,1762121.431104351,5796069.29492467,0.22985912
125,125,1762226.137975048,5796035.262971904,0.168452533
126,126,1763748.708483124,5795990.165241625,0.318035722
127,127,1763840.04158141,5795988.712361309,0.314514021
128,128,1762172.127563352,5796012.904810608,0.266262238
129,129,1762446.666634577,5796001.046513613,0.068
130,130,1763756.200556714,5795970.070742464,0.315226416
131,131,1764142.509110049,5795990.365393498,0.161012239
132,132,1762178.055618139,5795991.134346545,0.20872727
133,133,1763487.416514735,5795969.683750629,0.157963302
134,134,1763620.092519484,5796057.588309516,0.099202805
135,135,1763766.215376998,5795959.690187755,0.287148937
136,136,1763929.609291613,5795956.624007414,0.231928568
137,137,1763988.977109928,5795935.865693635,0.139038096
138,138,1762390.215733628,5795957.422937011,0.098727272
139,139,1762424.123871411,5795961.566097951,0.075315565
140,140,1763602.105469108,5795933.642820735,0.291476641
141,141,1763637.033191935,5795932.567387215,0.301666666
142,142,1763858.158108162,5795928.658746537,0.147173076
143,143,1763286.057146993,5795920.015542526,-0.601583324
144,144,1763336.568136167,5795908.657989107,-0.105767854
145,145,1762125.453862339,5795913.19242616,0.302952823
146,146,1763494.784247268,5795890.901347357,0.272224296
