OID,FID_,X,Y,BCE_Avon_H
0,0,1577687.18290576,5180279.089416379,0.218333332
1,1,1577672.136002527,5180240.919900957,-0.0106875
2,2,1577623.326623953,5180166.027814866,0.205776684
3,3,1577574.936348287,5179897.073988204,0.240876925
4,4,1577625.397043634,5179798.032050769,-0.388302441
5,5,1577625.728470297,5179702.066055843,-0.280860003
6,6,1577636.798070578,5179691.918682846,-0.399607853
7,7,1577617.900205393,5179654.50266562,-0.330417265
8,8,1577569.198025098,5179650.623710063,0.061393162
9,9,1577592.608863659,5179587.248326708,-0.276274049
10,10,1577540.668388491,5179506.922552959,0.230599996
11,11,1578813.257210399,5179394.255610782,0.167117649
12,12,1578874.226941827,5179376.110127191,0.433591305
13,13,1577504.978428935,5179315.899834083,0.341400001
14,14,1579031.177891069,5179293.649559557,0.177444448
15,15,1579071.999427904,5179263.220421403,0.213
16,16,1577488.806687224,5179251.01168449,0.407799992
17,17,1579094.972507515,5179244.31694178,0.207
18,18,1579116.993928406,5179224.697971319,0.206399998
19,19,1579152.260518443,5179134.070382577,0.282666653
20,20,1577473.238571158,5179131.124804716,0.24187037
21,21,1577414.604616539,5179050.935683076,0.187250004
22,22,1577408.177474213,5179042.030987432,0.231742859
23,23,1577394.87190158,5179010.321119131,0.162333332
24,24,1577378.885614505,5178964.567421418,0.207928572
25,25,1577357.786666564,5178921.634546861,0.330085709
26,26,1577349.333252071,5178902.618050816,0.492885715
27,27,1577334.609657186,5178863.074173648,0.662371421
28,28,1579182.389864367,5178725.659695452,0.228999998
29,29,1577122.925106683,5178635.653542237,0.744794995
30,30,1577097.825818895,5178595.269021088,0.947211041
31,31,1577075.760362264,5178520.768021143,0.986349361
32,32,1577075.219086741,5178419.447756529,0.930349342
33,33,1576625.817124994,5178381.935730619,0.279600881
34,34,1576656.384437554,5178383.945197558,0.418391302
35,35,1576719.079893415,5178360.678772178,0.559775511
36,36,1577031.140784301,5178350.162248166,0.499833331
37,37,1576579.073983279,5178345.142120103,0.145911591
38,38,1576734.192477405,5178347.492075167,0.429662914
