OID,FID_,X,Y,BCE_Avon_H
0,0,1577963.643206823,5180586.402641309,-0.711671807
1,1,1578198.116093089,5180502.026766964,-0.413273812
2,2,1578207.435377419,5180492.110201723,-0.415957146
3,3,1577823.053655188,5180531.84246352,-0.591679559
4,4,1578218.420496093,5180462.216756199,-0.388422665
5,5,1577853.345593756,5180441.380117685,-0.669661021
6,6,1578207.661761976,5180422.276427337,-0.379914282
7,7,1578265.945929686,5180433.859311918,-0.250041197
8,8,1578200.500128816,5180392.324129515,-0.384557142
9,9,1578267.187697744,5180373.56672133,-0.097909547
10,10,1578265.427807803,5180356.659431524,-0.066222224
11,11,1578202.552385653,5180353.231720426,-0.287417385
12,12,1577725.506797116,5180295.930793563,-0.055838596
13,13,1577686.415129639,5180235.533026397,-0.086351649
14,14,1577764.424669011,5180174.284683713,-0.5131675
15,15,1577693.155656241,5180161.203299542,-0.252371416
16,16,1577722.189289607,5180161.299579735,-0.363054554
17,17,1577613.850393375,5180155.933844537,0.906000004
18,18,1577704.075196404,5180151.61388874,-0.322717176
19,19,1577785.520440352,5180158.755292743,-0.504696828
20,20,1577607.51592216,5180113.957714392,0.181376471
21,21,1577788.209055622,5180111.636230701,-0.514088886
22,22,1577592.100900306,5180074.099218085,0.24621127
23,23,1577579.665812161,5180049.913749876,0.266119996
24,24,1577787.828154241,5180066.741333976,-0.529177708
25,25,1577576.924511421,5180031.123752848,0.323244445
26,26,1577700.84432167,5180031.536003103,-0.486648167
27,27,1577787.960025001,5180026.836278807,-0.542375027
28,28,1577688.894232381,5180015.674450574,-0.408171044
29,29,1577708.201849094,5180001.631304925,-0.554300022
30,30,1577798.946274505,5179996.943463734,-0.552585731
31,31,1577634.132222349,5179898.02192551,-0.346655322
32,32,1577659.786232723,5179881.754089341,-0.524220935
33,33,1577651.783626483,5179833.342110277,-0.580741005
34,34,1577672.739194328,5179752.10427453,-0.640942861
35,35,1577585.440701059,5179736.849131253,-0.043865387
36,36,1577676.434450379,5179732.163796291,-0.647333345
37,37,1577656.569540568,5179711.935109263,-0.621637135
38,38,1577665.477075312,5179677.257326389,-0.665920806
39,39,1577585.878643552,5179770.374895738,-0.050390732
40,40,1577658.554896231,5179652.293389467,-0.675014297
41,41,1577568.621070371,5179636.694905508,0.059213178
42,42,1577807.884161855,5179603.490803116,-0.685848498
43,43,1577558.612709373,5179592.40039201,0.164670886
44,44,1577669.25074751,5179604.137345069,-0.69112405
45,45,1578565.104527756,5179491.590784515,0.085571428
46,46,1577655.451054589,5179526.839712789,-0.715406716
47,47,1577575.912128668,5179491.514335521,-0.177092134
48,48,1577630.121193485,5179472.623987407,-0.725102577
49,49,1578595.56792372,5179475.712059949,0.091912499
50,50,1577595.987607988,5179451.539203943,-0.323383585
51,51,1577579.448245113,5179433.277042864,-0.312180002
52,52,1577742.297562402,5179448.858287446,-0.717761375
53,53,1578686.795548829,5179431.545916423,0.150000006
54,54,1577563.444663671,5179427.546949288,-0.208453611
55,55,1577616.813754198,5179438.209311036,-0.527623007
56,56,1577594.032439932,5179412.645470551,-0.367100001
57,57,1578682.554613668,5179406.418053103,0.032479999
58,58,1577522.058059567,5179382.106671504,0.145245899
59,59,1577547.860742015,5179423.206060997,-0.019323214
60,60,1578682.801356133,5179375.554440179,-0.062000001
61,61,1578847.775231665,5179379.835606647,0.129458182
62,62,1578675.424971926,5179366.074268633,-0.073510203
63,63,1578525.148310927,5179361.806178789,-0.338974782
64,64,1578900.640500578,5179358.954363648,0.212116419
65,65,1577507.325239776,5179297.627426552,0.246371427
66,66,1577498.467788996,5179282.507671434,0.412679247
67,67,1579058.243918977,5179264.767409969,0.163705521
68,68,1577486.520022817,5179204.604202432,0.263087363
69,69,1579122.893049612,5179158.610923986,0.051379661
70,70,1577478.351279575,5179122.943631938,0.08628
71,71,1577472.469117245,5179112.813611208,0.100849056
72,72,1577465.373194062,5179100.553723808,0.053827585
73,73,1578488.924087162,5179087.076645719,-0.526793093
74,74,1578502.467110914,5179076.20833183,-0.466080004
75,75,1577432.317771493,5179064.527717614,0.049909091
76,76,1577413.833131338,5179042.915976519,0.1086
77,77,1578861.580515445,5179032.519177688,-0.428186245
78,78,1577390.913216628,5178989.582856394,0.164984735
79,79,1577664.783958135,5178984.481047473,-0.724000008
80,80,1577450.353499069,5178973.203903143,-0.180790915
81,81,1577375.263613987,5178946.727870163,0.211076595
82,82,1577356.260696633,5178907.952044461,0.286482014
83,83,1578511.302019403,5178897.597056497,-0.393673613
84,84,1577347.027491766,5178886.948545186,0.406213331
85,85,1577450.711345106,5178917.876904844,-0.253975142
