OID,FID_,X,Y,BCE_Bluesk
0,0,1412763.95647886,4933214.03236008,1.475974963
1,1,1412268.739560132,4934991.026284886,0.115519381
2,2,1412074.048445761,4934973.11336043,0.05875
3,3,1412251.631419499,4934982.217811951,-0.003064285
4,4,1412464.826329768,4934974.621977855,0.042999999
5,5,1412047.996546705,4934955.346464464,0.026974358
6,6,1412003.321803096,4934924.41779873,0.067264044
7,7,1411931.977370006,4934899.079631448,0.106846547
8,8,1411813.000253743,4934852.407124331,0.019361904
9,9,1411786.466297207,4934830.588931392,0.02883438
10,10,1411737.65976854,4934803.754650971,0.020359999
11,11,1411647.993319969,4934752.912797335,0.126018534
12,12,1411401.603156154,4934616.305806371,0.563021271
13,13,1411442.365435826,4934548.402139113,0.499734699
14,14,1411237.782669269,4934519.246197071,0.42372279
15,15,1411009.408009082,4933921.765252916,0.016666668
16,16,1411036.464860176,4933826.158326586,0.372043481
17,17,1411312.154625911,4934396.285860172,0.568516727
18,18,1411022.429900763,4933808.670531927,0.46483523
19,19,1410999.105931259,4933787.521955118,0.250195999
20,20,1410981.881342548,4933755.464402242,0.181120643
21,21,1410962.585836695,4933707.072406754,0.132769662
22,22,1410945.070279731,4933664.035983824,0.482953482
23,23,1410945.166963878,4933644.060102854,0.128071429
24,24,1410892.931798149,4933465.438634478,0.156593221
25,25,1410881.996557227,4933451.288062298,0.454617023
26,26,1412751.819150064,4933478.998643464,0.172021589
27,27,1412783.779713628,4933459.902092707,0.087985715
28,28,1412791.069797756,4933450.132175852,0.296202901
29,29,1412805.349671188,4933440.572525267,0.226442855
30,30,1410876.162192381,4933382.238541809,0.69888857
31,31,1412830.714580955,4933411.367798299,1.293935723
32,32,1412523.719902606,4933371.576386389,0.497142855
33,33,1410893.929910482,4933290.735998405,0.141071429
34,34,1410914.760077743,4933196.376059514,0.227999313
35,35,1412744.161640054,4933149.043371847,1.460885743
36,36,1412530.970457151,4933308.349572836,0.483161772
37,37,1410939.929102858,4933050.456832309,0.201945379
38,38,1412172.813383935,4933057.512610509,0.485835367
39,39,1410960.925826848,4933010.211000782,0.107742857
40,40,1412703.2166792,4933050.675902755,1.570545453
41,41,1412198.174702425,4933024.573402441,0.494955459
42,42,1412684.421338298,4932994.011662399,1.733019314
43,43,1412167.799204883,4932957.366495774,0.425603271
44,44,1412058.232016786,4932928.576141617,0.508728566
45,45,1412079.802680227,4932909.249061549,0.438914289
46,46,1410966.224184286,4932915.156838126,0.024612903
47,47,1412270.859924815,4932918.116886882,0.648169814
48,48,1411959.820393512,4932937.054614004,0.570489291
49,49,1412364.763029972,4933065.609929939,0.45465941
50,50,1412065.335277661,4932894.623126165,0.523846751
51,51,1412119.183868171,4932845.148332926,0.561799247
52,52,1412110.784623045,4932810.27717228,0.357771432
53,53,1410989.662787455,4932746.485239298,-0.06216133
54,54,1412260.557091455,4932855.949588934,0.573330394
55,55,1411022.917173441,4932697.357123856,-0.376861249
56,56,1412509.050692114,4932722.031087332,0.515610687
57,57,1412463.840032931,4932701.072426095,0.352647622
58,58,1412429.496882029,4932680.058514475,0.432985717
59,59,1412411.4447652,4932661.599325137,0.336674506
60,60,1412391.960450509,4932648.958799952,0.335571429
61,61,1412374.789107504,4932638.451661137,0.35637681
62,62,1411010.589276826,4932597.238901666,-0.191395137
63,63,1410988.549237789,4932561.526237454,-0.334919355
64,64,1410973.351440461,4932486.143740704,0.175385699
65,65,1410919.358246422,4932404.587401145,0.738000003
66,66,1412601.086972394,4932075.936573235,-0.268084489
67,67,1412696.237465041,4932068.760344461,0.041742862
68,68,1412707.020391825,4932059.095769582,0.022971421
69,69,1412721.825773168,4932049.776177851,-0.046734693
70,70,1412747.627481536,4932035.98871039,-0.10192833
71,71,1412866.689072198,4931978.544863825,-0.117623969
72,72,1412788.304547721,4931989.917032027,0.027816971
73,73,1412442.905049183,4931934.887555776,-0.679235288
74,74,1412376.504879167,4931910.487126208,-0.67013156
75,75,1412360.684225471,4931892.050281068,-0.106499988
76,76,1410825.144455215,4931822.334932955,0.30526667
77,77,1412320.034864303,4931850.797212278,-0.523809505
78,78,1412967.932507047,4931905.981064872,0.215890432
79,79,1410859.316689829,4931647.864888466,0.0817
80,80,1410861.194164439,4931573.69496363,0.143433332
81,81,1412077.48144751,4931603.205266724,-0.386254665
82,82,1412120.358484809,4931582.672054001,0.107890905
83,83,1412139.185803378,4931563.479054083,-0.062707071
84,84,1412244.683900892,4931561.048096782,-0.045090452
85,85,1411988.083197025,4931519.968094001,-0.131842103
86,86,1410865.407384746,4931484.764838191,0.117314961
87,87,1411947.206408613,4931497.537219563,-0.297099996
88,88,1411161.81125147,4931462.957031582,0.745371423
89,89,1411271.028339125,4931436.304213502,0.690757152
90,90,1410883.239958961,4931419.198240716,0.068999998
91,91,1411220.672683188,4931452.755663132,0.5945553
92,92,1411165.426998552,4931395.091253452,0.679851461
93,93,1411251.581572284,4931401.320092125,0.614154639
94,94,1411181.856349258,4931383.445379382,0.60061225
95,95,1411265.415826011,4931385.981912615,0.427702126
96,96,1411312.770443722,4931402.299847558,0.628492332
97,97,1411388.150595794,4931379.573124136,0.653453606
98,98,1410926.941228349,4931360.750175157,0.036000002
99,99,1411361.762425612,4931369.240783273,0.553676548
100,100,1411409.186860163,4931350.264449579,0.590159039
101,101,1411000.818588821,4931321.527297799,0.217958076
102,102,1411085.913819933,4931305.772185506,0.321358023
103,103,1411421.702522951,4931311.012728646,0.380114288
104,104,1411051.298416441,4931306.907943343,0.315153843
105,105,1411138.566487379,4931350.702453675,0.69170902
106,106,1411909.251971467,4931328.262550823,-0.281000012
107,107,1411635.683062232,4931276.958364146,0.49597916
108,108,1411444.302220921,4931263.577036502,0.618461957
109,109,1411610.434939087,4931250.38354596,0.171599999
110,110,1411546.867044944,4931296.91521891,0.573727904
111,111,1411600.651530754,4931264.115652747,0.2406911
112,112,1411622.860516886,4931252.131611297,-9999.0
113,113,1411800.688993558,4931249.314406125,0.177034013
114,114,1411696.722342619,4931230.016745607,0.350227809
115,115,1411753.247330301,4931220.589269522,-0.210054251
116,116,1411741.563036832,4931189.576083812,0.469513517
117,117,1411775.380951599,4931161.897777725,-0.140250001
118,118,1411769.677130387,4931136.75182029,-0.232028574
119,119,1411790.919323401,4931095.770296652,-0.262329929
120,120,1411820.853152791,4931063.380408025,-0.267202903
121,121,1411828.113737635,4931053.569858597,-0.266955891
