OID,FID_,X,Y,BCE_Bluesk
0,0,1412034.309891233,4934799.130920498,-0.286224236
1,1,1411987.351887775,4934777.900138481,-0.269808716
2,2,1411995.534682025,4934555.833502873,-0.290036368
3,3,1412017.460843833,4934406.34413839,-0.328200001
4,4,1412038.734975499,4934396.997283675,-0.354604168
5,5,1412070.525640026,4934402.353584057,-0.373617595
6,6,1412004.081845787,4934385.961488578,-0.307687507
7,7,1411888.535254446,4934372.104155447,-0.197851066
8,8,1411830.801873662,4934371.304550025,-0.151020349
9,9,1411889.74169673,4934332.183383953,-0.191666668
10,10,1411928.689693283,4934333.737507229,-0.223126318
11,11,1412529.902237077,4934351.873918025,-0.855861712
12,12,1411929.559862993,4934292.876587451,-0.236950007
13,13,1412012.060317634,4934322.51214817,-0.311144984
14,14,1412096.542331052,4934304.598047709,-0.417889676
15,15,1411848.849880231,4934285.221639822,-0.187041667
16,16,1411940.488915893,4934283.360572439,-0.245812498
17,17,1411808.911319028,4934270.334209798,-0.137751774
18,18,1411909.655079453,4934276.673595821,-0.220172043
19,19,1412556.714808781,4934299.561491643,-0.909389505
20,20,1411891.865359726,4934261.912684947,-0.212960005
21,21,1411791.287036549,4934249.669857658,-0.098234047
22,22,1412080.168187083,4934266.150327246,-0.406753423
23,23,1412682.109740311,4934276.165179136,-0.97299999
24,24,1412031.667056278,4934224.452229822,-0.34907836
25,25,1412103.986153534,4934188.815037175,-0.428958342
26,26,1412733.44718242,4934197.796087109,-9999.0
27,27,1412762.010295662,4934178.676936673,-9999.0
28,28,1411842.611677954,4934210.181451486,-0.179039699
29,29,1412829.134230745,4934114.858644855,-0.987249985
30,30,1412855.735101422,4934075.834970186,-0.895291683
31,31,1412833.459493293,4934054.038838102,-9999.0
32,32,1412869.895696094,4934036.346119542,-0.951690153
33,33,1412849.363218235,4934024.268476621,-9999.0
34,34,1412890.254548275,4933997.957327677,-0.96574684
35,35,1412872.423102849,4933980.216663798,-9999.0
36,36,1412859.79240134,4933956.655343138,-9999.0
37,37,1412885.700900529,4933946.072502995,-9999.0
38,38,1411712.935012659,4933873.175061129,-0.271407645
39,39,1411691.285808134,4933855.812639033,-0.22838948
40,40,1412926.250616337,4933896.763705002,-9999.0
41,41,1412943.031554473,4933864.260117934,-9999.0
42,42,1412644.714731475,4933791.045340666,-0.662880772
43,43,1412703.81750979,4933787.345796929,-0.817468086
44,44,1411956.319101514,4933754.610380862,-0.107339712
45,45,1412717.152614983,4933776.818117691,-0.810401394
46,46,1412572.175652158,4933764.093406379,-0.543362322
47,47,1412519.471539807,4933746.936733263,-0.534529105
48,48,1412255.651803463,4933679.04774014,-0.26571957
49,49,1412992.455172083,4933758.015360548,-0.928863677
50,50,1412215.943408109,4933629.47685559,-0.269610926
51,51,1411527.760730721,4933566.263614182,-0.210387759
52,52,1412081.45192466,4933494.745151635,-0.035931598
53,53,1412056.728657499,4933478.677851566,-0.039198582
54,54,1412232.324629679,4933423.512993112,-0.053270834
55,55,1412222.422189682,4933412.353424652,-0.031484534
56,56,1411813.248419471,4933390.874740383,-0.024720001
57,57,1412114.411973038,4933379.996689425,0.021104166
58,58,1412051.512588504,4933390.327431646,0.050722847
59,59,1412083.757709929,4933369.458930349,0.0345
60,60,1412194.787024315,4933377.532413735,-0.009260638
61,61,1412061.086076102,4933352.136629633,0.050331169
62,62,1412084.360494896,4933349.498517908,0.029437501
63,63,1411774.630523182,4933279.82401608,-0.003000001
64,64,1413080.373964183,4933282.928170733,-9999.0
65,65,1411690.476321378,4933187.750898079,-0.013093749
66,66,1413069.427861826,4933246.885335861,-9999.0
67,67,1411700.916248535,4933177.495437091,-0.008913044
68,68,1413055.205587554,4933187.931161703,-9999.0
69,69,1413038.769659267,4933122.940373467,-0.976500049
70,70,1411212.392367874,4933022.840860646,-0.540428572
71,71,1413007.304152077,4933064.156697001,-0.818916676
72,72,1411124.603354871,4932930.85392864,-0.610010528
73,73,1411815.984965973,4932956.188459224,-0.129981674
74,74,1411834.423901031,4932922.016340523,-0.129437496
75,75,1412881.721336166,4932878.477622251,-0.750471722
76,76,1412953.887132349,4932882.292215755,-0.983761904
77,77,1413080.206520863,4932875.157991586,-0.227854547
78,78,1412823.514353054,4932836.769752079,-0.73705952
79,79,1411111.906942439,4932790.373998452,-0.757037841
80,80,1412897.696978785,4932824.599300825,-9999.0
81,81,1412880.326236356,4932803.721197463,-9999.0
82,82,1412795.35442118,4932801.400153464,-9999.0
83,83,1412826.702624855,4932781.053335747,-9999.0
84,84,1412780.984324885,4932751.163487279,-9999.0
85,85,1412738.200049745,4932746.432326823,-9999.0
86,86,1411121.043455573,4932674.864803304,-0.815957913
87,87,1412705.761062806,4932708.360243169,-9999.0
88,88,1412712.896630965,4932689.178597743,-9999.0
89,89,1412692.033944889,4932672.984558206,-9999.0
90,90,1412906.604820398,4932786.15347705,-9999.0
91,91,1411105.946643855,4932611.058895052,-0.824113011
92,92,1411143.082694616,4932596.073838386,-0.673278227
