OID,FID_,X,Y,BCE_Bluff_
0,0,1257287.442344727,4830180.786167867,1.298888869
1,1,1243697.676844739,4835066.652236903,1.638653407
2,2,1251318.459123822,4831497.787151552,1.046311283
3,3,1257376.51883373,4830455.829049486,0.910555559
4,4,1250088.09934474,4831375.105804916,1.426626497
5,5,1243477.099260101,4835033.198233509,0.90306286
6,6,1250350.976162452,4831514.078053939,0.710898395
7,7,1251157.634776507,4831535.130123215,1.503671737
8,8,1246900.679107167,4832431.658216869,1.450727675
9,9,1257374.88682137,4830430.697094238,1.192495781
10,10,1243471.771140675,4835057.270169344,1.570961567
11,11,1250298.072115723,4831519.123185538,1.056593675
12,12,1251826.334451115,4831386.408652571,1.685476649
13,13,1252449.120667727,4831403.540107593,1.229396787
14,14,1243421.289070578,4835940.291459215,0.674206894
15,15,1243334.478398219,4835911.239361911,0.582333326
16,16,1243319.963443298,4835903.716846683,0.864921571
17,17,1243313.379996716,4835894.505627541,0.842171434
18,18,1243266.529632085,4835869.303375648,0.670821439
19,19,1243293.857955429,4835873.378273644,0.620597008
20,20,1243248.639620942,4835859.278974094,0.573784617
21,21,1243171.545835086,4835828.954793286,0.755684205
22,22,1243159.35776985,4835810.350979017,0.911546763
23,23,1243153.944877561,4835784.9938773,0.953250001
24,24,1243147.942348629,4835769.616843544,0.924760871
25,25,1243130.943080276,4835731.504181343,0.600517244
26,26,1243090.847454177,4835690.268080737,0.821175462
27,27,1243060.666442096,4835609.227862465,0.843828572
28,28,1242910.763147181,4835489.825604591,0.734619033
29,29,1242915.339984385,4835463.209072618,0.621072115
30,30,1242905.413923087,4835429.795273092,0.586328588
31,31,1242899.075612149,4835395.972137698,0.535968509
32,32,1242886.594514984,4835338.344982184,0.524458331
33,33,1242866.427324932,4835276.863430304,0.524475407
34,34,1243962.471684602,4835338.87196289,1.052937496
35,35,1242854.058658778,4835246.488616765,0.459308818
36,36,1242841.424860576,4835202.278008439,0.476318898
37,37,1243434.251422233,4835229.865435841,0.683393452
38,38,1242830.645045358,4835174.998855563,0.748199992
39,39,1243944.280905914,4835262.765028785,0.793919228
40,40,1244029.795773006,4835220.54969415,0.966000021
41,41,1243428.41672021,4835212.343430891,0.68870969
42,42,1243527.939212021,4835186.159598472,0.877691165
43,43,1244004.737539019,4835205.017322872,0.643784168
44,44,1242826.710376628,4835124.691188361,0.427786402
45,45,1243544.155626694,4835137.04264856,0.946062502
46,46,1242817.747986699,4835084.089404279,0.38941309
47,47,1243532.358092728,4835111.309043107,0.97743886
48,48,1243522.912473304,4835095.729103197,1.183150002
49,49,1243756.133129783,4835116.64694067,0.983498956
50,50,1242797.592349292,4835032.833744101,0.439000002
51,51,1243726.733003011,4835087.729203955,0.985045461
52,52,1243507.349911446,4835073.94031042,0.825237988
53,53,1243720.937761272,4835077.372432265,1.143529399
54,54,1242778.311620174,4835011.40921504,0.373682542
55,55,1243405.043101085,4835084.076401372,1.131676759
56,56,1243707.75419819,4835066.579683666,1.076594218
57,57,1243461.028836666,4835031.986051505,1.048492763
58,58,1243681.387212397,4835044.994092513,1.034085701
59,59,1243454.731969794,4835021.599345718,0.893705869
60,60,1242742.574090244,4834970.041020622,0.4973526
61,61,1243673.615495219,4835027.270298496,0.790289618
62,62,1244094.099962533,4835111.765854985,0.661537449
63,63,1242724.526678716,4834951.021116291,0.661361124
64,64,1243442.675077633,4834995.850167759,0.898936825
65,65,1242713.386334048,4834937.716474127,0.609871419
66,66,1242707.090779914,4834927.328916529,0.608250016
67,67,1241479.211371916,4834832.779155693,0.723565332
68,68,1241689.428698318,4834836.058047918,-0.030382352
69,69,1241462.777335313,4834818.513028141,0.866840575
70,70,1244166.187895544,4834994.146929215,0.644824675
71,71,1244208.662192682,4834950.921242474,-9999.0
72,72,1241452.3790934,4834777.119452559,0.850474581
73,73,1241435.049890037,4834761.782495701,0.907542866
74,74,1244287.272034827,4834889.56790041,0.583312504
75,75,1241363.572272837,4834708.105315171,0.604716909
76,76,1241342.202959107,4834696.176005804,0.451195655
77,77,1241325.581006267,4834685.173257583,0.561304763
78,78,1241276.308490865,4834642.18466587,0.640458186
79,79,1241242.472116111,4834630.158799328,0.667419112
80,80,1241943.776892778,4834663.732381692,0.738144804
81,81,1241219.023726504,4834611.967951785,0.546051451
82,82,1241979.656780831,4834653.857276581,0.448477947
83,83,1244338.702395256,4834793.523667386,0.363020828
84,84,1241310.433799163,4834612.913086477,0.668466661
85,85,1241996.386571649,4834641.614459358,0.415363648
86,86,1241172.543140638,4834585.941718861,0.312457139
87,87,1242475.89298473,4834671.768827811,0.475135002
88,88,1240906.469110612,4834563.48523065,0.646555069
89,89,1241323.236393438,4834585.124830802,0.640157885
90,90,1241142.719545937,4834565.552507362,0.404483376
91,91,1241095.136052305,4834551.294454052,0.541537637
92,92,1241339.672544939,4834555.81181605,0.250674419
93,93,1240797.099565834,4834513.295450242,0.386000003
94,94,1244267.074109541,4834719.200562781,-0.057166668
95,95,1244397.924967991,4834721.132444337,0.292148939
96,96,1244855.574270468,4834743.024762785,0.694588235
97,97,1240774.452217178,4834482.496557903,0.374474228
98,98,1242475.953742375,4834614.164356861,0.494650366
99,99,1244409.8994495,4834753.197536622,0.542927614
100,100,1240662.448789213,4834453.005704794,0.345114297
101,101,1242493.647095915,4834564.167252007,0.626342875
102,102,1244474.67348912,4834687.854854394,0.189732058
103,103,1244789.709654281,4834699.110569897,0.47169565
104,104,1244643.349038353,4834709.545673909,0.578698777
