OID,FID_,X,Y,BCE_Bluff_
0,0,1243624.286746016,4835761.935836543,0.30302201
1,1,1243543.95777484,4835497.767715039,0.054276596
2,2,1243514.036186481,4835486.371281201,0.090340427
3,3,1243097.69201606,4835331.200265387,-0.162446805
4,4,1243498.880298551,4835324.854184766,0.067708333
5,5,1243079.354666125,4835142.193089091,-0.235394231
6,6,1243868.320752817,4834986.505897185,0.068926316
7,7,1243596.428597569,4834960.063157653,0.119895834
8,8,1243831.145025555,4834963.898746046,0.035419999
9,9,1243879.628191889,4834972.131080623,0.040202128
10,10,1243929.92858889,4834950.236727182,0.017258993
11,11,1243851.233033829,4834871.292697191,-0.179742305
12,12,1243899.487548236,4834875.366326312,-0.194009256
13,13,1243784.299714464,4834820.927722895,-0.286106385
14,14,1243839.999719039,4834813.794718196,-0.328021276
15,15,1243926.303624064,4834837.020812548,-0.291215883
16,16,1243926.304662782,4834778.115448074,-0.372704218
17,17,1243974.563892743,4834792.038182536,-0.370359198
18,18,1243140.839120525,4834722.839391572,-0.384755099
19,19,1243131.402373279,4834711.399469556,-0.344691495
20,20,1243209.30738684,4834724.948644674,-0.387704404
21,21,1244063.693180166,4834780.858766757,-0.374937955
22,22,1243221.373936718,4834702.359690168,-0.411111925
23,23,1243796.335762774,4834785.82095189,-0.342193874
24,24,1243982.402584808,4834742.479492698,-0.407627466
25,25,1243756.959890073,4834719.707506102,-0.455669059
26,26,1243892.90797837,4834731.424667591,-0.401843752
27,27,1244051.84935205,4834736.559512862,-0.416208331
28,28,1243673.718049382,4834704.239117015,-0.493938783
29,29,1243962.922173096,4834721.301145898,-0.449145832
30,30,1243130.479908063,4834661.93527721,-0.409742855
31,31,1243774.630655343,4834700.564044322,-0.536287229
32,32,1243908.850444308,4834720.884107227,-0.454659995
33,33,1243668.010322045,4834683.87255221,-0.498361707
34,34,1243685.395425826,4834689.390959757,-0.502650545
35,35,1243795.876889207,4834691.802797458,-0.501516118
36,36,1243916.200442824,4834698.111830294,-0.530851072
37,37,1243110.707473719,4834645.744053543,-0.419561452
38,38,1243432.483710807,4834662.312309711,-0.487392336
39,39,1243837.780391822,4834684.260169473,-0.56037896
40,40,1243348.722063079,4834645.452196969,-0.534231584
41,41,1243814.990486079,4834673.057322317,-0.516507258
42,42,1244217.048608869,4834702.570782371,-0.468561115
43,43,1243624.405858758,4834658.14521375,-0.540101146
44,44,1243850.951834771,4834671.605867072,-0.532919757
45,45,1243649.989482602,4834648.12205622,-0.537979159
46,46,1243759.881161425,4834649.234926354,-0.55053191
47,47,1243787.280564049,4834655.656916818,-0.545130438
48,48,1243906.857774636,4834667.2838867,-0.536952229
49,49,1244199.280071779,4834687.091291935,-0.503753848
50,50,1243050.800725471,4834607.150040164,-0.561347821
51,51,1243434.459127404,4834632.624849417,-0.509956912
52,52,1243461.091628325,4834621.379717368,-0.493721431
53,53,1243875.798091138,4834673.446747184,-0.538328989
54,54,1243478.89532006,4834612.416241577,-0.50366176
55,55,1243838.297731864,4834639.65207596,-0.552848835
56,56,1243104.542278044,4834580.869232107,-0.633526874
57,57,1243766.619844093,4834626.087300552,-0.562256048
58,58,1243797.866221139,4834611.958072822,-0.577471023
59,59,1244227.93041844,4834655.218001397,-0.505431317
60,60,1243815.536590274,4834592.814512859,-0.556634407
61,61,1243915.177360754,4834598.30772979,-0.572531925
62,62,1244025.348182143,4834604.804881821,-0.545040802
63,63,1244216.361452683,4834621.815453005,-0.517266097
64,64,1243077.557875126,4834546.96906426,-0.637953122
65,65,1244018.923893784,4834594.209172701,-0.574411759
66,66,1243096.684358327,4834529.945237676,-0.689446808
67,67,1244009.612982693,4834582.980309923,-0.565268825
68,68,1244071.282329702,4834561.533893317,-0.588073168
69,69,1244090.571548101,4834548.561757612,-0.585340452
70,70,1244152.542027351,4834552.214878685,-0.564375011
71,71,1244055.690510782,4834537.201161195,-0.60704196
72,72,1244131.505732029,4834549.116665568,-0.571586207
73,73,1243425.025672388,4834469.228380832,-0.807187488
74,74,1243489.56928414,4834476.521726073,-0.759055641
75,75,1243446.861246936,4834450.488298864,-0.896191489
76,76,1244224.118213255,4834503.488131237,-0.527954091
77,77,1244323.396675836,4834504.392209475,-0.514076144
78,78,1241676.993462257,4834358.990318734,-0.993588227
79,79,1241618.857927341,4834312.633780169,-9999.0
80,80,1243363.04026405,4834415.876977419,-0.778956997
81,81,1243271.887912673,4834521.251155967,-0.629449981
82,82,1243542.652603662,4834416.47042276,-0.764914891
83,83,1244316.647970975,4834466.543678246,-0.542123792
