OID,FID_,X,Y,BCE_Coroma
0,0,1821334.909317692,5929736.706699782,0.293720011
1,1,1821199.817151972,5929709.510023413,0.601796782
2,2,1820733.091724356,5929614.595566195,-0.439097544
3,3,1820686.638771445,5929612.296430578,-0.425507004
4,4,1820780.547952844,5929604.187891273,-0.637373403
5,5,1821048.397854863,5929592.729821095,-0.520801176
6,6,1821023.760896705,5929578.594984498,-0.899999976
7,7,1821113.804029484,5929589.597608106,-0.30308803
8,8,1820590.670969623,5929593.084055942,-0.056123078
9,9,1820935.182011489,5929529.582105241,-0.728548363
10,10,1820955.946192429,5929528.311914125,-0.64494116
11,11,1820979.917033514,5929524.139232369,-0.899999976
12,12,1820522.4628902,5929405.566309039,-0.754546455
13,13,1820404.710251265,5929316.268975323,-0.671334707
14,14,1820464.890167372,5929314.695064887,-0.271925001
15,15,1820318.024060839,5929255.076527099,-0.703178757
16,16,1820235.720666631,5929146.262066093,-9999.0
17,17,1820230.466979295,5929124.637530465,-0.899999976
18,18,1821921.192826165,5929098.998599621,0.67364438
19,19,1820134.969569273,5929103.793491038,-0.899999976
20,20,1820154.377565244,5929107.232741658,-0.894641767
21,21,1820107.069848397,5929077.331427516,-0.834975755
22,22,1821873.738193139,5929018.904475463,0.0179
23,23,1820084.979286549,5929055.210738994,-0.899999976
24,24,1821877.696828855,5929013.313849652,-9999.0
25,25,1820072.692203838,5929045.553450932,-0.887119473
26,26,1821915.669117918,5928973.63302041,0.163999997
27,27,1820043.811888277,5929011.156615437,-0.793225031
28,28,1821925.236392313,5928838.756147895,0.147249999
29,29,1821947.02179508,5928906.372467335,0.521924777
30,30,1821896.888389346,5928828.790973515,-0.079175006
31,31,1819926.585865189,5928881.362057413,-0.707147529
32,32,1819862.700205217,5928831.731939825,-0.34992591
33,33,1819854.089587071,5928821.576865352,-0.108145452
34,34,1819849.296260394,5928802.615620954,-0.289118171
35,35,1822716.505537383,5928693.53667232,-0.151000035
36,36,1821930.455002134,5928708.227122394,0.55612963
37,37,1819836.705689521,5928770.950450547,-0.183154203
38,38,1821929.936942116,5928688.291948742,0.103270833
39,39,1819823.877761227,5928732.788603608,-0.099687492
40,40,1822697.440107575,5928671.268215566,-0.86800218
41,41,1821920.657586063,5928668.78575829,-0.138946435
42,42,1821936.983496218,5928673.147350488,0.388106249
43,43,1819819.511387194,5928712.751414975,-0.106036362
44,44,1821899.987511765,5928639.198478609,-0.170575001
45,45,1822743.881583161,5928614.377578107,1.165400019
46,46,1821871.659073496,5928629.960038409,-0.231324997
47,47,1821839.320782585,5928620.825843846,-0.348374991
48,48,1822737.672774192,5928602.429328042,1.190798754
49,49,1821919.103447883,5928608.980234209,-0.608545463
50,50,1822745.459253165,5928587.063339897,0.958418183
51,51,1822758.098191507,5928584.261170233,1.612833331
52,52,1821709.968396138,5928584.288192079,-0.690474979
53,53,1822916.906666427,5928547.978392765,1.231999993
54,54,1822912.607050999,5928540.265218596,1.197968752
55,55,1819803.036284693,5928604.061000732,-0.247999985
56,56,1822061.585155336,5928543.453473934,0.120660376
57,57,1822932.081794615,5928475.928125207,1.62677204
58,58,1819829.749375557,5928493.258028797,0.025175
