OID,FID_,X,Y,BCE_Coroma
0,0,1821282.374309225,5929751.652556093,0.172897053
1,1,1821409.495680112,5929697.653187848,0.252852944
2,2,1821440.454776744,5929672.469258809,0.224912664
3,3,1821463.445292318,5929655.061508504,0.201355722
4,4,1821494.314287937,5929632.079150783,0.199007019
5,5,1821528.506090288,5929626.52360897,0.291862063
6,6,1820669.772348726,5929623.932477668,-9999.0
7,7,1821526.47362783,5929609.322821942,0.21296016
8,8,1821551.727599697,5929605.972848149,0.281553569
9,9,1821567.752847374,5929605.48865987,0.334381811
10,10,1820658.114504473,5929610.917996366,-0.439054881
11,11,1820723.616545869,5929610.771391537,-0.522002612
12,12,1820834.73315357,5929599.015551009,-0.163024611
13,13,1821591.200528241,5929576.010638446,0.300711454
14,14,1821630.779809313,5929553.122260577,0.359360002
15,15,1821622.352274705,5929543.892617601,0.302642861
16,16,1821642.580183084,5929543.919760754,0.367044252
17,17,1820561.54654269,5929569.992986804,0.113355072
18,18,1821672.116645432,5929507.184887421,0.419436846
19,19,1821693.255492708,5929492.583995227,0.433839289
20,20,1821701.174264462,5929482.202418261,0.420987493
21,21,1820561.403486609,5929501.733928526,-0.471961521
22,22,1821712.328357151,5929465.217813128,0.39246237
23,23,1821724.044442022,5929441.913443621,0.335053566
24,24,1821739.568407502,5929421.561898179,0.342303568
25,25,1821770.61532116,5929380.858731103,0.437555562
26,26,1820498.488926968,5929373.693762305,-0.426793738
27,27,1821892.988339145,5929148.271689089,0.25957143
28,28,1821900.90635183,5929137.890371469,0.322187503
29,29,1821908.667702817,5929127.71441858,0.391287503
30,30,1821917.435366648,5929117.060104144,0.498813734
31,31,1821915.856906623,5929087.697927777,0.468163427
32,32,1820142.573001146,5929108.416859993,-0.840825782
33,33,1821879.222172495,5929059.243672253,0.029129628
34,34,1821866.30279389,5929019.097626879,-0.101943395
35,35,1821865.283731189,5928994.685956796,0.069715687
36,36,1821928.778493759,5928962.200147144,0.289335427
37,37,1821944.263528446,5928947.050576352,0.462964289
38,38,1821988.677254562,5928934.953634105,0.886454566
39,39,1821963.818212789,5928917.405174324,0.701330179
40,40,1821917.300652338,5928850.664327859,-0.115506805
41,41,1821897.147373095,5928838.758711844,-0.246412501
42,42,1821908.91843596,5928828.478554619,0.409696198
43,43,1821896.217708865,5928648.54359664,-0.247000003
44,44,1822682.698952886,5928634.680516405,-0.902333319
45,45,1821863.741566348,5928640.341668793,-0.362055554
46,46,1822737.786545162,5928617.301344005,1.117851875
47,47,1821831.403247845,5928631.207444405,-0.486109085
48,48,1821799.065006297,5928622.07310074,-0.589892851
49,49,1822408.566145396,5928599.609165191,0.932000011
50,50,1822625.26492771,5928600.373276097,-0.464287498
51,51,1821766.726841702,5928612.938637805,-0.726392871
52,52,1821959.202564123,5928607.938096424,-0.01701852
53,53,1822552.566790807,5928582.319417157,-0.809740745
54,54,1821698.635560195,5928595.141141221,-0.899999976
55,55,1822911.824583968,5928550.697683979,1.202657121
56,56,1822223.283683961,5928551.007953671,1.050121956
57,57,1822495.389208885,5928543.911859212,-0.875777782
58,58,1822463.050396564,5928534.780009211,0.371950001
59,59,1822743.249142045,5928576.813728547,1.119206908
60,60,1822839.823481305,5928525.157687708,0.960892841
61,61,1822060.435569432,5928537.188655764,-0.231009576
62,62,1822823.14730798,5928523.527853175,1.007196318
63,63,1822101.395762997,5928524.05865066,-0.374764709
64,64,1822117.265714268,5928514.059321326,-0.224236371
65,65,1822197.600856674,5928511.040769808,0.18262745
66,66,1822213.64034311,5928510.623405422,0.468415095
67,67,1822149.567475646,5928493.069083194,-0.406634616
68,68,1822229.179952497,5928490.997622417,0.089875002
69,69,1822242.674601777,5928477.918742596,0.283599999
70,70,1819832.611166076,5928500.481615129,-0.186265146
71,71,1819814.53501035,5928486.225596959,0.279999996
72,72,1819829.201324709,5928486.181444901,0.25216129
73,73,1819853.789637207,5928485.951044227,0.333533333
74,74,1822475.954761774,5928414.024109829,0.562615405
75,75,1819870.688544348,5928475.066651057,0.315954548
76,76,1819885.85500816,5928463.532583574,0.254220001
77,77,1819917.038463191,5928461.289323137,-0.524178546
