OID,FID_,X,Y,BCE_Coroma
0,0,1820701.676351677,5929623.557054724,-0.259500004
1,1,1820878.624630674,5929556.134646917,-0.511384236
2,2,1820960.36649153,5929527.577267947,-0.781235272
3,3,1820469.751649372,5929322.321268099,0.926058826
4,4,1822415.474771755,5928333.777406545,-0.09069266
5,5,1821781.944914706,5928353.506028177,-0.899822422
6,6,1822435.424293426,5928295.709946033,-0.177201753
7,7,1822126.564816997,5928254.483348087,-0.508696432
8,8,1821894.785555954,5928259.217449112,-0.865199976
9,9,1822532.532212228,5928216.414111288,-0.149274829
10,10,1822462.084346276,5928210.071986501,-0.237064227
11,11,1822499.02633866,5928204.024837579,-0.211440362
12,12,1822509.942453223,5928184.655295404,-0.201178575
13,13,1822574.251496101,5928195.107213438,-0.12099891
14,14,1822665.098500106,5928167.243337496,0.080767614
15,15,1822324.743378513,5928154.367898602,-0.380446762
16,16,1822251.763416343,5928131.533262352,-0.391517855
17,17,1822226.463383313,5928057.74777118,-0.64054954
18,18,1821952.19592755,5928029.608010944,-0.760249976
19,19,1822753.799708516,5928054.501210667,0.14332754
20,20,1822252.556717557,5928001.644678377,-0.620543929
21,21,1822745.611905684,5927983.808559363,0.047229814
22,22,1820064.338337981,5928028.402708919,-0.899999976
23,23,1820370.852642247,5928024.91908278,-9999.0
24,24,1820362.737384551,5928000.757987888,-9999.0
25,25,1820343.712283158,5927994.06704949,-9999.0
26,26,1822094.132766216,5928114.671117526,-0.673861124
27,27,1820036.960470898,5927993.254383215,-0.899999976
28,28,1822679.377978268,5927905.741103915,-0.001720497
29,29,1822198.514333789,5927908.859864209,-0.747818178
30,30,1819722.424727942,5927971.809421286,-0.712155437
31,31,1820016.499347419,5927954.829441932,-0.899999976
32,32,1822665.468597952,5927883.228494348,-0.018900001
33,33,1819677.049924495,5927942.166496611,-0.899999976
34,34,1819742.565796027,5927936.310151936,-0.899999976
35,35,1819955.079449879,5927938.870921914,-0.198930425
36,36,1819588.966276092,5927920.447006534,-0.876736818
37,37,1819790.306468673,5927846.692747534,-0.828956498
38,38,1822080.226723807,5927707.09977151,-0.899999976
39,39,1819530.098478943,5927762.880133505,1.226206369
40,40,1819512.098045755,5927749.379195982,-0.557954751
41,41,1819390.203124732,5927726.116615219,-0.899999976
42,42,1819380.950413042,5927683.596390556,-0.899999976
43,43,1819406.812944358,5927626.411708288,-0.899999976
44,44,1822607.748206963,5927614.771747818,-0.048228143
45,45,1819346.517164496,5927488.31564738,-0.899999976
46,46,1822629.452532439,5927410.322018878,-0.08196
47,47,1822676.09824923,5927409.327974729,-0.015014218
48,48,1819285.316094161,5927390.786977965,-0.871806428
49,49,1822393.525098481,5927759.396670528,-0.506105215
50,50,1819246.441712319,5927276.133145575,-0.935440887
51,51,1819373.756975626,5927143.516266293,-0.954805031
52,52,1819373.776211911,5927066.21601765,-0.8408
53,53,1819335.792531544,5927042.598674834,-0.287422326
54,54,1819318.69271655,5927030.228668746,-0.819400005
55,55,1821760.249708351,5926967.141535053,-0.899999976
56,56,1821751.454526635,5926937.447049165,-0.881433823
57,57,1819259.142176625,5926984.641311052,-0.812342858
58,58,1822358.876097452,5926844.112069974,0.048683377
59,59,1822230.1009243,5926794.786582943,-0.135586204
60,60,1822442.820929407,5926792.472918921,0.263407159
61,61,1821769.857286622,5926801.650401356,-0.541687647
62,62,1821748.388769349,5926785.14123182,-0.897674976
63,63,1822224.230990773,5926765.760809664,-0.320509095
64,64,1819206.43980642,5926807.586480392,-0.863834706
65,65,1822533.97815675,5926727.819563703,0.199232394
66,66,1821643.479084313,5926709.39267389,-0.89550368
67,67,1821628.071634347,5926666.357776744,-0.847574977
68,68,1821724.148049619,5926654.645676705,-0.800999984
69,69,1822178.605338074,5926654.897801071,-0.807906565
70,70,1822217.00479369,5926636.081836327,-0.822856236
71,71,1821635.442644659,5926641.230604813,-0.899999976
72,72,1821657.110656836,5926643.712568189,-0.12770996
73,73,1821759.721064715,5926638.002155988,-0.130462488
74,74,1822204.71829387,5926626.427373379,-0.873174977
75,75,1822198.241826832,5926604.149708166,-0.899999976
76,76,1821799.507350523,5926605.51454783,-0.169396417
77,77,1822926.716314791,5926574.736007269,0.531941177
78,78,1819124.420614281,5926651.215128193,-0.783931263
79,79,1821816.216436804,5926580.400713105,-0.645282238
80,80,1822103.375201602,5926569.803658585,-0.899999976
81,81,1821846.234044652,5926562.331408762,-0.415156561
82,82,1821865.655033573,5926555.454026537,-0.827999977
83,83,1821928.685505867,5926559.699281603,-0.045714267
84,84,1822153.233614607,5926550.878189852,-0.899999976
85,85,1823185.611799785,5926395.039706818,0.397000015
86,86,1822314.665510147,5926364.814284749,-0.899999976
87,87,1822301.524985818,5926344.824704191,-0.899999976
88,88,1823212.473021174,5926347.988877971,0.396954938
89,89,1822300.735509713,5926314.519486296,-0.899999976
90,90,1822327.013205562,5926318.774778517,-0.899999976
91,91,1822364.198339351,5926298.631689923,-0.899999976
92,92,1823260.957503482,5926268.278343819,0.34601981
93,93,1819068.509206034,5926348.439853636,-0.963
94,94,1822325.671617862,5926247.370103046,-0.899999976
95,95,1822410.571095131,5926212.842055543,-0.899999976
96,96,1823226.144595112,5926190.818092571,0.18351111
97,97,1822329.700248162,5926194.474757439,-0.899999976
98,98,1823195.338198658,5926161.901846011,0.111636365
99,99,1823263.722587442,5926155.58654856,0.407390867
100,100,1819097.508275137,5926228.006042575,-0.963
101,101,1822985.482461175,5926135.614370055,-0.121619046
102,102,1822993.909420754,5926116.893355498,-0.107946426
103,103,1823187.382122964,5926021.893617067,0.02327903
104,104,1819176.315868067,5926110.282623666,-0.958385
105,105,1823041.983951216,5926005.197781882,-0.139778149
106,106,1822447.600036542,5925999.221057308,-0.828529394
107,107,1822468.872120523,5925980.982245697,-0.713199986
108,108,1822288.501786869,5925975.247760357,-0.899999976
109,109,1822592.886051552,5926380.42319256,-0.349617702
110,110,1822996.924729415,5925937.676978363,-0.321732135
111,111,1818931.381874939,5926035.622738434,0.789677724
112,112,1822915.575327526,5926012.920835739,-0.268255403
113,113,1818895.454842307,5926013.761232513,-0.963
114,114,1822269.755317361,5925938.113619997,-0.899999976
115,115,1822306.392553369,5925929.99426325,-0.899999976
