OID,FID_,X,Y,BCE_Croisi
0,0,1662697.87643657,5457319.139004591,0.698233335
1,1,1662760.334007758,5457328.121213454,0.85183721
2,2,1662786.747003576,5457317.549835105,0.306527779
3,3,1662622.391930253,5457294.563820156,0.247965888
4,4,1662554.352464552,5457260.155011493,0.457064889
5,5,1662542.412541274,5457240.668466118,0.094057145
6,6,1662527.118398028,5457200.735129657,0.322236845
7,7,1662525.819369252,5457153.296621325,-0.527579209
8,8,1662298.147529049,5456953.098091014,-9999.0
9,9,1660477.159337889,5456775.551583147,0.268291667
10,10,1660534.694190463,5456777.002240734,0.236540541
11,11,1662039.401736233,5456761.636027769,-0.633999991
12,12,1662001.663602263,5456736.273190453,-0.557382972
13,13,1661976.969550464,5456719.389054092,0.203453613
14,14,1661923.237188342,5456700.621337862,0.080129631
15,15,1661865.899930747,5456675.276704543,-0.553419341
16,16,1662988.747706302,5456629.389016951,0.748911103
17,17,1662951.968904048,5456569.006527273,0.560825
18,18,1662928.573429433,5456530.371966987,-0.254203378
19,19,1662775.026754608,5456322.359271945,-0.45155331
20,20,1662568.467367479,5456312.996691301,-0.026696339
21,21,1662587.475450223,5456303.978380686,-0.118555581
22,22,1662607.2087677,5456293.585357155,-9999.0
23,23,1662457.446779583,5456274.230666848,-0.15326898
24,24,1662658.752616266,5456275.466142327,-0.450932936
25,25,1662344.047481091,5456185.453969782,0.909783796
26,26,1662276.351954481,5456145.946447344,1.353175664
27,27,1663960.099604329,5456141.472850579,0.665565049
28,28,1663904.536921102,5456115.248567128,0.040772973
29,29,1663884.498730622,5456072.276423529,-0.130018871
30,30,1663953.844733652,5456067.71201858,-0.063721287
31,31,1664059.13718943,5456022.683337987,-0.206929149
32,32,1661341.305101522,5456021.923447982,-0.806533313
33,33,1664091.432365638,5455986.761485789,0.375999997
34,34,1661325.70672786,5456003.789470847,-9999.0
35,35,1661367.2664707,5456007.435454492,-9999.0
36,36,1664100.053416679,5455968.919237683,0.660999998
37,37,1663537.514967429,5455961.808275936,-0.704857094
38,38,1661318.780247761,5455930.845726899,-9999.0
39,39,1660809.064505039,5455908.942595979,-9999.0
40,40,1664093.646534429,5455881.018235558,0.644028164
41,41,1664086.049459799,5455871.061799095,0.472874999
42,42,1663364.516713208,5455822.522680794,-9999.0
43,43,1664055.328444144,5455811.493430836,0.1554776
44,44,1664036.28046265,5455791.714202639,-0.097833328
45,45,1663988.920561418,5455749.483555418,-0.525292393
46,46,1663971.587691865,5455732.442106288,0.346757143
47,47,1663910.501466578,5455673.381304497,0.26173135
48,48,1663891.710313774,5455663.328983517,0.133200011
49,49,1663876.524704109,5455653.488496996,0.415142851
50,50,1661141.109275346,5455623.40461717,1.601253523
51,51,1663781.203517818,5455544.617545155,-0.333717957
52,52,1663773.418926923,5455535.9694592,-0.341796265
53,53,1661199.470233036,5455559.252274633,0.490261393
54,54,1650126.662853558,5455282.948768402,2.532545439
55,55,1650175.513420881,5455263.20977324,-0.76999995
56,56,1662794.420649718,5454924.850488013,0.656488242
57,57,1663158.563203329,5454927.373339786,-0.697048784
58,58,1662809.432393688,5454914.749102402,-0.041227223
59,59,1663115.116401152,5454913.354125381,-9999.0
60,60,1662679.709103932,5454899.570600423,0.18355719
61,61,1662710.182854862,5454908.003047204,-0.851888941
62,62,1662822.089077658,5454904.862197805,-0.090380914
63,63,1663032.904114286,5454894.064830632,-0.2463289
64,64,1663231.465561297,5454925.551528065,-0.172390192
65,65,1662893.481044969,5454884.325941917,-0.550041692
66,66,1662954.333897981,5454874.975453192,0.55760252
67,67,1661913.117048818,5454843.290350077,-0.166223137
68,68,1661887.190642172,5454825.292004541,0.110594577
69,69,1661837.802936901,5454804.671014406,0.772864077
70,70,1662453.818447862,5454798.701164028,0.476580452
71,71,1662535.398277888,5454796.857201587,-0.036088261
72,72,1662579.3795405,5454779.105383755,-9999.0
73,73,1662623.224145911,5454758.174544835,-0.853792679
74,74,1661773.101952684,5454716.455669279,0.984111114
75,75,1661750.363368618,5454705.059777264,-0.334999988
76,76,1662331.21656488,5454691.472535127,-0.028564129
77,77,1662297.275627857,5454670.16496814,-0.30746376
78,78,1662278.601394037,5454661.571714811,-0.247890916
79,79,1662244.134025886,5454650.91091033,-0.196503935
80,80,1662064.078248963,5454747.09197969,0.010638845
