OID,FID_,X,Y,BCE_Croisi
0,0,1662739.659383468,5457327.194125451,0.695595756
1,1,1662788.550900409,5457279.053616089,-0.371435634
2,2,1662806.874625683,5457278.520186198,-0.599115374
3,3,1662564.757093821,5457270.411849412,0.504723395
4,4,1662710.926797431,5457292.408502656,-0.147075534
5,5,1662867.197306008,5457268.030733779,-0.830242417
6,6,1662557.586605483,5457250.52752777,0.204529412
7,7,1662666.990711217,5457239.621002821,-0.999000013
8,8,1662820.681907983,5457261.220788605,-0.49286256
9,9,1662726.632225101,5457243.790549795,-0.861281971
10,10,1662564.418679163,5457224.9676857,-0.369656857
11,11,1662572.498990699,5457210.304872188,-0.669314814
12,12,1662586.832987821,5457218.70908777,-0.714403848
13,13,1662635.248002809,5457210.402566484,-0.974124966
14,14,1662596.134046365,5457193.83107813,-9999.0
15,15,1662825.451952277,5457179.01023543,-9999.0
16,16,1663059.444607185,5457167.029741821,-9999.0
17,17,1663054.858179361,5457136.774337775,-9999.0
18,18,1662432.905427309,5457077.46245153,-9999.0
19,19,1662457.758542517,5457068.412074184,-9999.0
20,20,1663054.254637949,5457066.561216243,-9999.0
21,21,1662517.822394921,5457084.705291594,-0.009722612
22,22,1662372.431019314,5457022.390540806,-9999.0
23,23,1663249.913212534,5456984.721622178,0.07988
24,24,1662325.283441999,5456965.872252872,-9999.0
25,25,1663164.718810179,5457067.996007841,-0.415696485
26,26,1662332.036184322,5456923.347270044,-9999.0
27,27,1662270.189905233,5456909.178854519,-0.469813914
28,28,1662229.962122066,5456884.240400154,-0.87983338
29,29,1663163.247414017,5456870.688797423,-0.255730723
30,30,1663105.05475718,5456827.187243019,-0.683937504
31,31,1663135.407609378,5456826.721521648,-0.164599999
32,32,1663116.882827178,5456820.501579669,0.243248733
33,33,1662162.246568091,5456823.404131588,-0.87211112
34,34,1663105.537557927,5456807.102373707,0.159760005
35,35,1662100.671767794,5456795.623090543,-9999.0
36,36,1663097.225907151,5456777.186281556,0.807824995
37,37,1662077.98456841,5456780.828203226,-9999.0
38,38,1662070.188702518,5456766.004047021,-9999.0
39,39,1663082.417780818,5456749.008666557,-0.219306722
40,40,1662028.40805866,5456736.439303568,-9999.0
41,41,1662016.99806577,5456726.56306033,-9999.0
42,42,1663034.260870415,5456718.073288215,-0.534158948
43,43,1662006.186768258,5456710.161475459,-9999.0
44,44,1661979.035200169,5456701.952131721,-0.700799972
45,45,1661918.505610734,5456687.504271248,-0.429491142
46,46,1663005.763229256,5456678.24494793,-0.644157138
47,47,1661959.990682571,5456682.167575925,-0.925285742
48,48,1661847.339038856,5456667.346061768,-0.439585369
49,49,1661925.887618972,5456667.496488975,-0.976999968
50,50,1661806.880434523,5456644.913503014,-9999.0
51,51,1661850.064994537,5456648.395349344,-9999.0
52,52,1662000.672257464,5456646.919231794,-9999.0
53,53,1662993.09942064,5456649.589820031,0.149324058
54,54,1662982.331044331,5456618.89782189,0.293681812
55,55,1661768.597643846,5456618.243603607,-9999.0
56,56,1660524.476936859,5456704.086015344,-0.338244902
57,57,1661741.78814066,5456599.456320331,-9999.0
58,58,1661852.169661238,5456619.893583997,-9999.0
59,59,1661968.049058098,5456628.283210157,-9999.0
60,60,1662971.308141607,5456600.011043074,-0.011726204
61,61,1661723.135671623,5456586.475358249,-9999.0
62,62,1662959.604795874,5456578.913740804,0.328257136
63,63,1661821.662414898,5456583.93720401,-9999.0
64,64,1661707.19615461,5456568.319823526,-9999.0
65,65,1662932.834497519,5456539.253758695,-0.072373314
66,66,1661811.38874222,5456539.02139402,-9999.0
67,67,1662875.946826559,5456509.093308141,-0.501230716
68,68,1662906.573066527,5456522.615726572,-0.702951207
69,69,1661681.429211143,5456516.576491892,-0.911125038
70,70,1662868.317366373,5456499.914759201,-0.203999996
71,71,1661847.514484762,5456522.557480403,-9999.0
72,72,1661662.212553798,5456493.446461693,-0.943444404
73,73,1660616.727328894,5456511.101030438,-0.529506722
74,74,1661625.127762015,5456464.5970645,-9999.0
75,75,1662867.375250004,5456460.52545892,-0.81892861
76,76,1661596.312290442,5456450.457646834,-9999.0
77,77,1662866.875728575,5456440.015781658,-0.695882339
78,78,1661582.067902272,5456440.18428058,-9999.0
79,79,1661696.812416154,5456430.081625744,-9999.0
80,80,1662863.435992694,5456420.148003783,0.04715642
81,81,1661539.007666895,5456410.616136843,-0.952999949
82,82,1661797.061576641,5456440.27714876,-9999.0
83,83,1661629.160371844,5456400.732257131,-9999.0
84,84,1662845.354584073,5456398.191018036,-0.152399497
85,85,1661527.833079048,5456395.062805016,-9999.0
86,86,1661614.526920534,5456390.882494013,-9999.0
87,87,1662819.470060542,5456380.256619777,-0.709142913
88,88,1661482.684947406,5456381.253365705,-0.772313713
89,89,1661704.647668053,5456380.35658668,-9999.0
90,90,1661468.779493182,5456371.256543199,-0.969375022
91,91,1661696.705499833,5456370.041640027,-9999.0
92,92,1661628.943043915,5456372.268976105,-9999.0
93,93,1661455.392336385,5456355.627159839,-0.949000027
94,94,1661462.556734528,5456342.294079497,-9999.0
95,95,1662742.2048526,5456335.567776291,0.471928561
96,96,1661447.414881833,5456337.434607777,-0.93362499
97,97,1661470.023188097,5456332.258777645,-9999.0
98,98,1662798.577472852,5456331.336786271,0.898777784
99,99,1662534.112508458,5456310.915248817,0.070492951
100,100,1662600.253767541,5456308.457210099,-0.51750003
101,101,1662700.507471935,5456301.89623152,-0.593428612
102,102,1661462.074145351,5456305.011518644,-0.85447058
103,103,1662466.153966407,5456283.96878365,-0.640899966
104,104,1662658.812009818,5456282.307054701,-0.930555573
105,105,1662420.902456072,5456274.363209015,-0.738249985
106,106,1662700.06889085,5456279.84464097,-0.146735283
107,107,1661507.037212196,5456262.343883159,-9999.0
108,108,1661527.719100742,5456246.131887006,-9999.0
109,109,1661627.668911239,5456241.385680354,-9999.0
110,110,1662383.431958098,5456248.765166529,-0.190558817
111,111,1662349.410057,5456198.550032377,-0.567905814
112,112,1662325.749462359,5456187.489804365,-0.204599995
113,113,1662314.355391485,5456175.541862463,-0.433214322
114,114,1663973.048475314,5456161.318153981,0.960318836
115,115,1662284.071191563,5456165.826391198,-9999.0
116,116,1662302.861134413,5456155.694028083,-0.006683425
117,117,1663982.748024346,5456146.215794431,0.971934217
118,118,1662248.226243471,5456143.415033505,0.657702694
119,119,1663990.443803663,5456127.862611176,0.881082562
120,120,1662227.108722686,5456126.418985105,0.539188989
121,121,1663943.23304297,5456115.608445635,0.298295256
122,122,1664001.231043161,5456101.17692688,0.831506656
123,123,1662204.290071714,5456106.667090812,0.22758001
124,124,1664021.60883322,5456082.780684459,0.789272188
125,125,1662188.929138276,5456092.027628583,-0.050574308
126,126,1664047.418189993,5456057.377226973,0.562888891
127,127,1662169.977782167,5456067.067089361,-0.722769279
128,128,1661686.55847375,5456061.381391093,-9999.0
129,129,1663959.098200582,5456031.734970856,-0.317862494
130,130,1663951.461486249,5456021.828780696,-0.422800011
131,131,1664009.130192048,5456036.120029912,-0.162881777
132,132,1664072.019566179,5456011.008111963,-0.346660391
133,133,1660763.163935794,5456025.807491798,-0.423000005
134,134,1661693.929419346,5456021.952731404,-9999.0
135,135,1662157.067735223,5456034.721470907,-0.045588576
136,136,1661346.553223342,5456014.16554254,-9999.0
137,137,1663589.475274706,5455992.38928557,-0.680218749
138,138,1660703.044553532,5456069.981310759,-0.234816178
139,139,1661527.344331927,5455982.93716064,-9999.0
