OID,FID_,X,Y,BCE_Firth_
0,0,1816170.291845408,5914897.421904258,-0.053949684
1,1,1816177.918320729,5914882.266857567,0.555925008
2,2,1816176.80573092,5914827.437722879,0.263437502
3,3,1816161.017929725,5914847.787394688,-0.574722312
4,4,1816269.401377355,5914361.287422761,-0.371090911
5,5,1816256.047526613,5914331.704908728,-0.100350001
6,6,1816242.51676349,5914272.204606535,0.445580244
7,7,1816264.836188752,5914181.869875794,0.861530614
8,8,1816246.972369738,5914132.453927389,-0.899999976
9,9,1816253.126460346,5914082.426861241,-0.500693879
10,10,1816243.929016695,5914012.842204282,-0.781324987
11,11,1816258.799341856,5913967.580389525,3.265065553
12,12,1816244.752899794,5913953.392243398,0.325107812
13,13,1816323.54400748,5913701.618807543,-0.417461545
14,14,1816960.353139978,5912578.97860656,-0.899549028
15,15,1817164.37500188,5912413.450929131,0.037810136
16,16,1817180.38375274,5912413.04164214,1.566913587
17,17,1817259.407744243,5912371.123998848,0.741762497
18,18,1817631.612026424,5911892.806441846,-0.654913562
19,19,1817669.843262832,5911822.00691753,-0.622099991
20,20,1818966.193412801,5910202.756768077,1.091563627
21,21,1818949.366808025,5910193.943723983,-0.318294104
22,22,1795295.904475274,5910461.203227775,-0.624705886
23,23,1795764.278679359,5909941.814119154,-0.366874983
24,24,1796256.894256006,5909780.847994777,-9999.0
25,25,1796263.051204933,5909700.924842398,-9999.0
26,26,1820007.69329021,5909008.811135387,-9999.0
27,27,1819895.158640658,5908991.779303418,1.888412473
28,28,1819919.181277992,5908991.884011364,1.59005882
29,29,1819946.47140916,5908979.890401352,-9999.0
30,30,1820010.918557597,5908978.804010293,-0.06494804
31,31,1819933.264696337,5908911.197040643,1.841537012
32,32,1819913.828621397,5908791.604293897,2.155736796
33,33,1819914.098798335,5908848.373724499,2.052729936
34,34,1819937.610966158,5908776.227400066,1.996137528
35,35,1797628.296272206,5908881.397030068,2.640196083
36,36,1797636.41549007,5908861.262470224,-0.371142857
37,37,1797681.397608349,5908730.569143169,0.132025328
38,38,1797689.165451405,5908720.415417115,-0.329493661
39,39,1820434.009332281,5908159.885103206,-0.116325009
40,40,1798718.73154247,5907908.509828418,-0.536075955
41,41,1821235.804977963,5906972.181537168,-0.674377314
42,42,1800020.051135422,5907429.138832472,-0.22675
43,43,1800230.610074005,5907194.79219759,-0.12175
44,44,1800289.420304933,5906973.998458764,0.091749999
45,45,1821763.538624236,5906349.940203996,-0.83501816
46,46,1800254.954225183,5906870.096634896,0.164343749
47,47,1821780.972782012,5906069.991338618,0.27248002
48,48,1821956.419833433,5906045.449912717,5.573333263
49,49,1800353.502331554,5906402.640751934,0.099142259
50,50,1822073.012894738,5905808.135047479,2.141440809
51,51,1822113.09736264,5905632.382117201,0.0626125
52,52,1822102.792747483,5905576.540653169,1.827756067
53,53,1822538.04451515,5904464.160878154,-0.045187502
54,54,1822530.106915612,5904444.419782862,0.566493669
55,55,1822538.163489611,5904424.258589116,3.762080029
56,56,1822521.324429777,5904414.726081003,-0.108524997
57,57,1822516.80230845,5904394.895268236,1.172887507
58,58,1822477.151015935,5904256.28954377,-0.813149978
59,59,1822460.110223293,5904216.837872619,-0.768374977
60,60,1822448.575282998,5904183.891467034,-0.036100006
61,61,1822426.552487628,5904157.870273503,0.454875001
62,62,1822553.454083191,5904114.638295362,0.847574988
63,63,1822409.250395633,5904108.450599676,1.647759469
64,64,1822380.962372025,5904077.74404349,1.926957783
65,65,1822352.286347024,5904050.097231797,2.050679202
66,66,1822327.189919724,5904030.806352708,0.922774993
67,67,1822318.670039155,5904011.080390235,0.6329
68,68,1822364.818484777,5903940.045662568,2.139912546
69,69,1822492.483923747,5903986.699319063,1.403686825
70,70,1822503.260172388,5903889.370749047,0.275133176
71,71,1822493.243509106,5903781.722263517,1.392145375
72,72,1803267.757391906,5903686.76082579,-0.061875004
73,73,1803495.289871544,5903167.674520022,0.004375
74,74,1803478.461449319,5903133.172485207,-0.15025
75,75,1803461.752895671,5903103.654182096,-0.060375003
76,76,1803444.924717602,5903069.152071295,-0.049249998
77,77,1803427.976940661,5903029.666193028,-0.250124996
78,78,1803393.602982087,5902930.759336974,-0.469677417
79,79,1803377.238624295,5902891.259366958,-0.374000002
80,80,1823024.546288691,5902251.913797589,2.479018193
81,81,1803256.360636773,5902656.466035987,-0.182750001
82,82,1803242.278646478,5902625.222112829,0.084166666
83,83,1803240.738653697,5902585.366069939,-0.290000006
84,84,1803256.114208001,5902535.130714695,-0.680000007
85,85,1823250.703460777,5901732.447526063,-0.2920185
86,86,1823267.431558724,5901731.805016486,1.975759274
87,87,1823250.200625965,5901522.883828997,-0.180496452
88,88,1823260.801594491,5901502.557146633,1.407369746
89,89,1823334.360247552,5901258.478195741,-0.375836952
90,90,1823350.570267116,5901255.803486397,0.665971968
91,91,1823348.842455961,5901200.987052086,1.479458343
92,92,1803810.360078659,5901626.335675647,-0.138411767
93,93,1803793.835183433,5901590.265818664,-0.512222224
94,94,1803776.446139367,5901554.485790025,-9999.0
95,95,1803760.236534294,5901545.629946878,-9999.0
96,96,1803743.649567658,5901521.095988537,-0.422887319
97,97,1803726.942711987,5901491.578213943,-0.502571426
98,98,1803693.649291473,5901437.526358063,-9999.0
99,99,1803685.415953973,5901427.751200949,-9999.0
100,100,1803668.561112179,5901406.4970328,-0.513333331
101,101,1803673.824397738,5901278.430586888,0.119533899
102,102,1823329.274067245,5900762.606993577,3.474850012
103,103,1803670.12049951,5901235.302056109,-0.167605043
104,104,1823311.630246931,5900730.848281695,2.018704291
105,105,1803645.101383038,5901192.686492847,-0.280422533
106,106,1803622.626927438,5901145.022941889,-0.694
107,107,1823429.50680108,5900620.312101739,-0.546349982
108,108,1803704.387698234,5900554.629657454,-0.499906251
109,109,1823663.89859718,5899826.09805307,-0.106867912
110,110,1823655.961564337,5899806.357960555,-0.024275004
111,111,1823647.178236278,5899776.66526776,-0.010550007
