OID,FID_,X,Y,BCE_Firth_
0,0,1816156.175299823,5914814.315219291,-0.596592597
1,1,1816187.99742926,5914708.405720457,-0.699436558
2,2,1816211.856047409,5914670.29871695,-0.80433134
3,3,1816228.209005744,5914636.096855011,-0.667761469
4,4,1816243.229294155,5914621.480919666,-0.388962967
5,5,1816239.215743545,5914321.723204928,-0.704951837
6,6,1816232.442592555,5914034.593732713,-0.846698859
7,7,1816232.626243242,5913883.466516123,-0.89997466
8,8,1816245.674735359,5913853.289683235,-0.900340609
9,9,1816267.567081384,5913823.317225304,-0.870703712
10,10,1816303.266208765,5913732.154288225,-0.667854556
11,11,1816330.454369652,5913641.799534083,-0.709381812
12,12,1816348.262619846,5913582.579046608,-0.685260345
13,13,1816374.925216756,5913515.224628716,-0.856018198
14,14,1816467.951309412,5913378.970898004,-0.897636343
15,15,1816433.272186339,5913451.857010277,-0.516225614
16,16,1816508.913286166,5913299.863619558,-0.733856472
17,17,1816591.005324135,5913208.607948826,-0.886330895
18,18,1816623.568393563,5913166.125991654,-0.657152259
19,19,1816637.967493371,5913135.258509768,-0.699818158
20,20,1816697.233316263,5913033.624157038,-0.497216556
21,21,1816746.467695178,5912992.450548675,-0.568267851
22,22,1816761.724836865,5912962.54143081,-0.899107119
23,23,1816792.472591951,5912911.886084076,-0.893535692
24,24,1816840.920765477,5912855.546716964,-0.841837961
25,25,1816893.796942353,5912717.592707706,-0.068114755
26,26,1816945.245614971,5912608.358394609,-0.029245607
27,27,1816960.65909441,5912590.957991995,-0.574816319
28,28,1816978.590229379,5912572.090627398,-0.13602631
29,29,1816991.432412753,5912547.736245743,-0.282709074
30,30,1817037.390864314,5912459.465914264,-0.725846776
31,31,1817074.392829558,5912427.758082183,-0.452848875
32,32,1817118.318706991,5912408.001527357,-0.784104921
33,33,1817184.188918702,5912398.433783112,-0.519526987
34,34,1817253.036155943,5912363.103853554,-0.500777767
35,35,1817288.458408071,5912342.021740783,-0.396755465
36,36,1817323.647562318,5912312.831916819,-0.541369176
37,37,1817352.631445224,5912280.971392745,-0.730486375
38,38,1817375.090300624,5912250.171769741,-0.657262068
39,39,1817400.332657951,5912223.457101257,-0.712169635
40,40,1817428.90685932,5912199.77738922,-0.547665282
41,41,1817451.464758518,5912179.071407196,-0.685708473
42,42,1817478.013442318,5912156.272371676,-0.318642842
43,43,1817495.894603797,5912125.963230019,-0.389935815
44,44,1817526.839471907,5912078.104340608,-0.226595956
45,45,1817560.621866752,5912038.596951748,-0.357249476
46,46,1817588.493371913,5911997.153756798,-0.510139163
47,47,1817602.553942144,5911963.01881101,-0.766403132
48,48,1817620.268168735,5911936.247424098,-0.514648634
49,49,1817628.549505459,5911908.661126634,-0.615210767
50,50,1817672.485209351,5911811.964949274,-0.785859353
51,51,1817692.849547337,5911794.820289076,-0.524427329
52,52,1817771.438884048,5911629.821280247,-0.175788354
53,53,1817897.099721706,5911453.195010609,-0.490038778
54,54,1817936.230113974,5911388.508557774,0.08245
55,55,1817988.655211533,5911321.176218486,0.016039773
56,56,1818063.087591637,5911239.177820194,-0.045212103
57,57,1818118.1920954,5911192.097558615,-0.04355
58,58,1818126.095655941,5911181.718920913,-0.37464814
59,59,1818143.679026983,5911155.824933259,-0.56482009
60,60,1818157.084280408,5911141.025576667,-0.138473699
61,61,1818171.491974052,5911105.381666017,-0.539290908
62,62,1818183.40237723,5911080.70480313,-0.75138366
63,63,1818261.961959458,5910927.71463869,0.017865493
64,64,1818389.465022446,5910786.701656671,-0.458076208
65,65,1818425.658391258,5910758.895412401,-0.627094439
66,66,1818446.790163847,5910734.805190682,-0.870037477
67,67,1818481.713126339,5910705.590075684,-0.56265482
68,68,1818525.142997288,5910664.481156012,-0.65983765
69,69,1818565.522852543,5910633.874573874,-0.678301871
70,70,1818594.183754582,5910614.362520722,-0.682587361
71,71,1818623.260610746,5910590.621738216,-0.730924666
72,72,1818693.197574778,5910539.032588692,-0.626028877
73,73,1818748.891992635,5910487.440535033,-0.625709089
74,74,1818764.393877205,5910467.494941847,-0.776163618
75,75,1818811.124895997,5910416.41868725,-0.794214288
76,76,1818861.847273044,5910362.020162483,-0.687457459
77,77,1818888.25725754,5910314.68636719,-0.810909089
78,78,1818903.460946808,5910276.935833052,-0.552574965
79,79,1818925.275208879,5910255.95503071,-0.682268493
80,80,1818943.545950907,5910214.831976806,-0.39247008
81,81,1819078.26958538,5910022.194440722,-0.673461087
82,82,1819124.09801609,5909990.267340831,-0.32163939
83,83,1819150.957892251,5909960.603077204,-0.798583326
84,84,1819169.620744253,5909941.351286193,-0.824850005
85,85,1795265.071993799,5910540.278823903,0.021933959
86,86,1819186.461090447,5909917.437702304,-0.780119975
