OID,FID_,X,Y,BCE_Firth_
0,0,1816122.614541073,5914930.101170094,-0.899999976
1,1,1816190.3839246,5914742.311447947,0.938150006
2,2,1816182.563374599,5914720.248686532,-0.133538041
3,3,1816208.118363028,5914652.093623659,-0.898225004
4,4,1816147.155565066,5914744.75234703,-0.894677002
5,5,1816241.244340215,5914639.288213493,0.287816681
6,6,1816226.993737402,5914606.730197343,-0.894645946
7,7,1816250.730101436,5914562.842054396,-0.897043299
8,8,1816296.388207463,5914500.23674313,-0.033197535
9,9,1816278.473462209,5914425.887067855,-0.899987476
10,10,1816302.085601726,5914423.031830167,1.097846032
11,11,1816241.93272898,5914393.150971895,-0.899999976
12,12,1814588.107370327,5914408.359538074,-9999.0
13,13,1814574.878052556,5914388.843007023,-9999.0
14,14,1816212.646420515,5914354.65960653,-0.899999976
15,15,1816209.842749754,5914292.105919186,-0.860970405
16,16,1816241.612587457,5914267.193567527,0.24371686
17,17,1816209.225757399,5914223.179757238,-0.899999976
18,18,1816227.813294854,5914217.25172263,-0.899975586
19,19,1816210.745066412,5914195.972099403,-0.8679442
20,20,1816227.753914132,5914149.441803973,-0.885631743
21,21,1816220.71049809,5913918.661547578,-0.899999976
22,22,1816232.880908221,5913893.433138183,-0.89925315
23,23,1816256.390890853,5913872.886412387,1.600987515
24,24,1816267.015779875,5913832.42281191,-0.52160542
25,25,1816305.239379057,5913725.608975677,-0.899999976
26,26,1804762.848372789,5913938.052983886,-9999.0
27,27,1804770.98372815,5913927.797379958,-9999.0
28,28,1804651.020463074,5913908.103337131,-9999.0
29,29,1804841.997118255,5913896.568989101,-9999.0
30,30,1804964.77527988,5913889.914133989,-9999.0
31,31,1804966.974283147,5913866.927947686,-9999.0
32,32,1816325.890285279,5913644.980797661,-0.402140234
33,33,1804648.910785303,5913861.328312498,-9999.0
34,34,1804801.009978523,5913857.664132989,-9999.0
35,35,1804832.790619016,5913846.924987534,-9999.0
36,36,1804608.718158334,5913841.947233761,-9999.0
37,37,1816344.085116806,5913541.50893259,-0.899898712
38,38,1804767.519824182,5913812.825699726,-9999.0
39,39,1816373.492466871,5913509.919576479,-0.623751197
40,40,1804758.342036368,5913748.987354837,-9999.0
41,41,1816397.892744524,5913463.475991817,-0.900067644
42,42,1816417.177502077,5913449.774342759,-0.652156136
43,43,1803932.858833662,5913728.945213046,-9999.0
44,44,1803970.362603789,5913731.122731315,-9999.0
45,45,1816413.08755052,5913420.062280455,-0.899912483
46,46,1816443.366827172,5913415.050904401,-0.900000036
47,47,1805061.333978844,5913691.815185488,-9999.0
48,48,1816473.954805984,5913407.971434981,-0.254445537
49,49,1803972.405663064,5913708.049816693,-9999.0
50,50,1804513.099730592,5913685.464014717,-9999.0
51,51,1804548.806213774,5913689.00680091,-9999.0
52,52,1804484.249294869,5913675.80207502,-9999.0
53,53,1805012.582102818,5913663.071907153,-9999.0
54,54,1816434.825120788,5913395.6643606,-0.899866059
55,55,1816500.21602606,5913382.901412289,0.445279882
56,56,1804900.030769135,5913645.840202665,-9999.0
57,57,1816435.423626127,5913359.849935219,-0.899999976
58,58,1816495.024769252,5913334.858054293,-0.77225364
59,59,1805018.903751106,5913593.106980528,-9999.0
60,60,1816502.974896937,5913282.396605028,-0.899358265
61,61,1816509.089943785,5913258.030579275,-0.900731231
62,62,1816533.359392208,5913267.386268193,0.688203356
63,63,1805035.989256771,5913536.351967165,-9999.0
64,64,1816549.389516938,5913227.367336953,-0.55164207
65,65,1816608.137813935,5913215.609563574,0.23915
66,66,1804877.006263638,5913497.18057937,-9999.0
67,67,1816609.614499192,5913197.286136748,-0.542756745
68,68,1816586.243788847,5913189.796614896,-0.899999976
69,69,1803823.054906869,5913492.225051626,-9999.0
70,70,1804723.300282789,5913465.706427366,-9999.0
71,71,1803854.117735102,5913451.587422546,-9999.0
72,72,1804718.792473561,5913436.705953949,-9999.0
73,73,1816611.565456045,5913156.934653583,-0.892012378
74,74,1804522.392269991,5913405.991781966,-9999.0
75,75,1816645.240518376,5913099.960940702,-0.899025034
76,76,1816661.250519118,5913099.552691129,0.358924066
77,77,1804521.912429359,5913386.056999603,-9999.0
78,78,1804533.400171191,5913375.021663965,-9999.0
79,79,1804773.229514369,5913369.647665019,-9999.0
80,80,1816652.610086919,5913074.837652283,-0.791086408
81,81,1804126.050959801,5913375.785937013,-9999.0
82,82,1804689.532316106,5913362.074278632,-9999.0
83,83,1804756.979794306,5913360.06608688,-9999.0
84,84,1804300.303640952,5913340.736967999,-9999.0
85,85,1804555.872699885,5913339.21097674,-9999.0
86,86,1804587.891595263,5913338.440063495,-9999.0
87,87,1804645.278314182,5913339.168274021,-9999.0
88,88,1804087.345121791,5913336.745279046,-9999.0
