OID,FID_,X,Y,BCE_Hokian
0,0,1648327.071218252,6097894.571435434,1.988999984
1,1,1648571.513087175,6097763.742631459,1.666286675
2,2,1648577.96418562,6097753.717032072,0.825500003
3,3,1649603.502787049,6097581.431226473,1.07419946
4,4,1649468.262758835,6097486.151677185,-0.675000012
5,5,1649449.092386461,6097454.53141632,-0.675000012
6,6,1649423.877481647,6097425.044556736,-0.675000012
7,7,1649341.47547375,6097336.064965372,-9999.0
8,8,1649308.588075265,6097306.313357784,-9999.0
9,9,1649294.594913634,6097293.858720727,-0.675000012
10,10,1649286.038558288,6097284.304564292,-0.675000012
11,11,1649270.833006036,6097271.778828146,-0.675000975
12,12,1648250.01077646,6097271.507259824,1.897448013
13,13,1649257.329568976,6097262.969018711,-0.675000141
14,14,1648215.426788362,6097266.309544227,1.974085055
15,15,1649241.559191721,6097253.877119981,-0.675000996
16,16,1649201.218772527,6097242.978763398,-0.675000012
17,17,1649227.488120229,6097246.797489155,-0.675000012
18,18,1647939.127575641,6097196.341253952,1.457902779
19,19,1649112.345566684,6097214.426126422,-0.047320576
20,20,1647958.831915966,6097188.862805059,2.126459879
21,21,1647980.064062384,6097179.098402862,3.646952292
22,22,1647996.149370966,6097171.04271772,3.425298995
23,23,1649009.675419107,6097162.565375664,0.279369797
24,24,1648735.957746203,6097123.891057773,0.69336497
25,25,1648849.354813052,6097037.115384939,0.522815339
26,26,1648558.785822615,6096916.969137975,-0.114000009
27,27,1648534.221021285,6096907.138429162,0.011600001
28,28,1648406.385341165,6096881.495984822,0.706229925
29,29,1648280.618979712,6096848.721552166,0.320249985
30,30,1648255.948119327,6096818.964868373,0.409474995
31,31,1648247.724615732,6096809.046057308,0.581924994
32,32,1648237.210703674,6096795.264984974,0.630588987
33,33,1648054.912326526,6096881.102266467,0.881714855
34,34,1647578.972980325,6096764.623623551,1.332471834
35,35,1648219.600765492,6096770.175201629,0.849780552
36,36,1648194.298314326,6096749.554511001,0.766018883
37,37,1647593.73225,6096742.779184605,1.207549985
38,38,1647642.408270281,6096702.430676115,4.370366689
39,39,1647650.660897271,6096692.664555991,5.017052122
40,40,1648627.115948805,6097432.304030815,1.14918823
41,41,1646700.052203463,6096505.508844947,1.48472722
42,42,1646715.834770077,6096494.290379466,1.70944451
43,43,1646733.419066143,6096484.351555538,1.780526362
44,44,1647549.00394205,6096629.53053389,1.048339299
45,45,1647461.514974623,6096459.534655053,-0.58141144
46,46,1647453.187809945,6096429.689930043,-0.198587509
47,47,1647447.560807687,6096395.252783096,-0.301043112
48,48,1647436.51127061,6096365.745605462,-0.675000012
49,49,1647093.448093743,6096316.556700772,1.906856284
50,50,1646875.884365108,6096178.308308666,1.784470985
51,51,1647435.463709293,6096166.494253136,-0.591750012
52,52,1646904.336978737,6096162.773058326,1.701582543
53,53,1647092.113358002,6096157.807939574,1.322672684
54,54,1647165.902555762,6096143.038523872,1.520792698
55,55,1647406.656491205,6096126.067828329,1.12487499
56,56,1646957.774023185,6096134.802600817,1.713213243
57,57,1647062.131452857,6096120.494211232,1.481136089
58,58,1646928.737492942,6096300.850727716,1.137543434
59,59,1647369.840620351,6096116.298340851,1.283492679
60,60,1647868.233903754,6096329.904504364,0.890343459
61,61,1647989.808331069,6095938.671985785,0.774201653
62,62,1648005.549913802,6095924.628238311,0.780664481
63,63,1648019.595306014,6095906.964385233,0.72922539
64,64,1648039.11906839,6095881.615834825,0.764499167
65,65,1648055.237532197,6095864.173044733,0.77398952
66,66,1648071.052262075,6095853.555137495,0.910631709
67,67,1648136.525006185,6095763.540227286,0.933919978
68,68,1648144.165298821,6095733.274085297,0.807588622
69,69,1647907.15295898,6095757.778207486,0.508395748
70,70,1647383.148694353,6095539.109712601,1.641775484
71,71,1647352.660377018,6095528.580498944,2.795303429
72,72,1647489.291352934,6095527.862218533,1.598312485
73,73,1648224.347606292,6095524.166740463,0.757285714
74,74,1647378.430538041,6095418.506776623,1.552360355
75,75,1647611.197414942,6095407.665301165,0.623099997
76,76,1647627.433710573,6095407.370572885,3.368928911
77,77,1648247.796686853,6095451.950623778,0.919195886
78,78,1647382.055319198,6095299.07616738,1.59696549
79,79,1648263.781734921,6095308.022042757,0.671592064
80,80,1647395.318906264,6095265.077190918,1.715801103
81,81,1647411.844453295,6095245.028741134,1.88248438
82,82,1648277.907252134,6095234.752661706,0.775373171
83,83,1647430.704324966,6095229.489100645,1.921000017
84,84,1647457.830412806,6095218.822198658,2.285548102
85,85,1648312.391555018,6095164.763924959,1.546402279
86,86,1648514.315885645,6094725.377216536,1.66304996
87,87,1647766.263155553,6094688.938521218,1.449872707
88,88,1647778.837481653,6094668.800224774,1.359959225
89,89,1648578.589870356,6094525.773455739,1.340845237
90,90,1648659.734675752,6094425.707030246,1.65049998
91,91,1647888.509639484,6094387.829289478,1.272799298
92,92,1648871.134682271,6094245.231598089,1.732725008
93,93,1648020.590721216,6094160.135632719,1.534166676
94,94,1648086.203725116,6094130.101597133,1.503927255
95,95,1649111.870467496,6094124.94922149,1.690623837
96,96,1648019.936483724,6094133.488197109,1.671334143
97,97,1648065.235628045,6094090.241678664,1.46257145
98,98,1648082.345452504,6094060.758166317,1.462589293
