OID,FID_,X,Y,BCE_Hokian
0,0,1649167.622324077,6098515.570434569,-0.675000012
1,1,1649131.317491648,6098508.72479545,0.473110138
2,2,1649196.539642279,6098497.608487765,-0.675000012
3,3,1649208.743070254,6098487.579223908,-0.675000012
4,4,1649147.941042446,6098484.839562313,1.387280297
5,5,1649229.118341638,6098477.505318494,-0.675000012
6,6,1649245.40770518,6098467.453582842,-0.675000012
7,7,1649253.525152773,6098457.446507089,-0.675000012
8,8,1649165.564750734,6098460.186201208,1.503732375
9,9,1649188.085901957,6098437.932214361,1.702265827
10,10,1649294.275527521,6098437.298408567,-0.675000012
11,11,1649196.426514344,6098428.226622194,1.882918904
12,12,1649204.873403871,6098418.757424853,2.192610169
13,13,1649213.340300407,6098409.602457492,2.094446791
14,14,1649228.855753277,6098398.027796627,1.891116885
15,15,1649237.274807804,6098388.473746031,2.096642852
16,16,1649245.742280957,6098379.194678595,1.586923056
17,17,1649261.252871045,6098367.791301875,1.221734168
18,18,1649269.960761568,6098348.405553719,0.262299515
19,19,1649285.505402535,6098327.755052488,1.373966675
20,20,1649293.898859145,6098308.129934369,1.436717972
21,21,1649302.210267905,6098294.511957519,1.38918574
22,22,1649310.137333232,6098278.179558488,1.53416217
23,23,1649318.255187098,6098263.935277713,1.566828594
24,24,1649326.046918795,6098247.960503529,1.527435903
25,25,1649334.248506481,6098233.433408618,1.470979848
26,26,1649342.557175036,6098214.166136494,1.539229659
27,27,1649350.351239976,6098198.074783029,1.486473675
28,28,1649358.28812358,6098187.877597484,1.467824967
29,29,1649365.774898447,6098167.937786145,1.349679044
30,30,1649375.653890949,6098138.456198319,1.404702434
31,31,1649388.66997376,6098098.047278323,-9999.0
32,32,1649395.696601412,6098058.166353334,1.152999997
33,33,1649399.480381662,6098018.339722618,1.201214318
34,34,1648270.479405381,6097934.19966008,2.007637672
35,35,1648278.369796752,6097924.516201817,1.721785665
36,36,1648294.326168457,6097914.876653338,1.62419641
37,37,1648319.495751315,6097894.611984955,1.78539618
38,38,1648280.599687867,6097896.6523414,2.584297982
39,39,1648339.586033744,6097875.155350296,1.87579442
40,40,1648357.158355486,6097844.415448148,1.656565277
41,41,1648286.285651673,6097795.323727992,1.78676472
42,42,1648293.933574635,6097785.315980445,1.684145444
43,43,1648318.153382201,6097755.139479401,3.840474984
44,44,1648530.603656944,6097753.999818164,1.539573209
45,45,1648522.378940964,6097744.081191716,1.680125025
46,46,1648559.035682577,6097757.599442432,1.506186498
47,47,1648514.158147043,6097734.8889933,1.880588223
48,48,1648408.242221276,6097731.409134272,0.775113701
49,49,1648490.891903659,6097725.057643718,1.77845122
50,50,1648424.168640993,6097715.446502609,0.279912277
51,51,1648317.877190304,6097596.1355816,3.717320549
52,52,1648325.434580621,6097585.752295397,2.694159488
53,53,1649696.971433311,6097580.145108131,1.196307011
54,54,1648333.928370487,6097572.14017109,3.615735084
55,55,1649558.736052051,6097559.841454354,1.66511764
56,56,1648342.227291779,6097556.417927366,5.802000046
57,57,1649510.945272811,6097556.407647811,0.629661288
58,58,1648350.043955569,6097546.115011318,4.525871904
59,59,1648357.952480155,6097535.880868949,3.061763703
60,60,1648365.961970326,6097525.749408285,2.510706279
61,61,1648374.070168042,6097515.731871082,2.302984537
62,62,1648382.187715173,6097505.725522737,2.150696994
63,63,1648390.305244186,6097495.71916675,2.208737445
64,64,1648398.422755082,6097485.712803121,1.798724153
65,65,1648406.540247859,6097475.706431852,1.507022239
66,66,1648418.689727609,6097455.715585047,1.823257019
67,67,1649443.344940939,6097450.133908279,-0.675000012
68,68,1648430.839161927,6097435.724716138,1.784212519
69,69,1649432.586917447,6097434.455583591,-0.675000012
70,70,1649296.897821347,6097421.073275817,0.524000009
71,71,1648438.929840687,6097420.737038619,1.743956228
72,72,1649288.672580659,6097411.155350407,0.500249995
73,73,1648462.840633156,6097410.07829539,1.874767852
74,74,1648446.993755138,6097400.76807218,1.858381218
75,75,1649351.145881369,6097344.820089588,-0.675000012
76,76,1649334.026003222,6097330.856448192,-0.675000012
77,77,1648381.124542065,6097324.71481944,1.608479544
78,78,1648332.121329881,6097306.702353802,1.942126582
79,79,1648406.936502797,6097307.068908342,1.5603586
80,80,1649303.146008927,6097303.40994385,-0.675000012
81,81,1648315.704170179,6097297.588425608,1.90984909
82,82,1649283.857273205,6097291.67167089,-0.675000012
83,83,1648436.68652069,6097292.169351946,1.669896753
84,84,1648797.720679757,6097284.305941107,1.013239308
85,85,1648250.231656155,6097278.012987995,1.927346972
86,86,1648369.134700907,6097277.23061492,1.889468447
87,87,1649249.963386397,6097267.280790256,-0.675000012
88,88,1648103.466682958,6097255.435683295,1.616905402
89,89,1648168.418007007,6097258.524305194,1.775407385
90,90,1648094.828385802,6097248.222668434,1.621912496
91,91,1649165.365287366,6097247.994480334,-0.675000012
92,92,1648086.600851814,6097238.308448174,1.626963387
93,93,1648323.384518904,6097237.248105352,1.744497078
94,94,1648078.377087841,6097228.389419793,1.603500001
95,95,1648070.153341825,6097218.470383966,1.657923034
96,96,1649092.425010801,6097220.743167487,-0.675000012
97,97,1648062.44926807,6097198.317698504,1.651275341
98,98,1649042.35583054,6097193.314130812,-0.638536012
99,99,1647898.410545288,6097189.494954624,1.15584732
100,100,1647936.21609225,6097192.075088286,1.407264733
101,101,1648085.637677734,6097196.811474018,1.56108878
102,102,1648247.315299459,6097241.794319521,1.759950586
103,103,1649021.875080727,6097183.462587676,-0.66094873
104,104,1647764.789682043,6097182.036330567,0.803839573
105,105,1649005.479630464,6097173.588764337,-0.648741188
106,106,1647783.749507991,6097170.381388412,0.59010526
107,107,1647841.114243957,6097170.599633557,0.805763645
108,108,1648069.629975232,6097173.640389113,1.520054057
109,109,1648980.85953282,6097153.79676546,-0.350256261
110,110,1647982.500449976,6097164.943717544,1.765792071
111,111,1648020.76210004,6097149.719890617,1.782660403
112,112,1648815.418037674,6097157.183712288,0.240683696
113,113,1648968.54955044,6097143.900717158,-0.220011119
114,114,1648036.879959518,6097139.149135702,1.626285715
115,115,1647992.433459857,6097119.836113064,1.502081082
116,116,1648772.293298198,6097115.074749636,0.672025001
117,117,1648764.068814696,6097105.156417802,0.142874989
118,118,1648913.873048789,6097096.441185189,0.134644513
119,119,1648881.028889585,6097066.73049107,0.206255102
120,120,1648845.026128555,6097043.865466472,0.07811748
121,121,1648812.661225667,6097025.190928633,-0.017400006
122,122,1647738.047881954,6097019.847755049,-9999.0
123,123,1648789.440249706,6097008.857210887,0.048330767
124,124,1648755.306195848,6096995.612311468,-0.0922
125,125,1647756.237910816,6096998.204314874,2.611635795
126,126,1647766.572872169,6096980.974101456,1.094747158
127,127,1647782.861039112,6096970.92503729,1.165324995
128,128,1648718.431490569,6096975.885799131,-0.033128471
129,129,1647790.978730202,6096960.919214302,0.921450008
130,130,1648666.520562542,6096956.973122905,-0.302506182
131,131,1648632.314095365,6096946.665967996,-0.524392867
132,132,1647799.046287893,6096940.954103864,0.021200002
133,133,1648592.879248527,6096937.444149323,-0.649036822
134,134,1648557.844828874,6096927.141572743,-0.644764718
135,135,1647823.635596653,6096911.421835504,0.978842124
136,136,1648229.729769018,6096909.542731249,0.048649071
137,137,1648182.734356246,6096879.133358092,0.475675008
138,138,1648460.523042532,6096876.919466507,0.643604147
139,139,1648407.315146284,6096899.933476727,-0.522928665
140,140,1647822.807686938,6096831.437995669,-0.119982154
141,141,1647782.830359019,6096790.568590587,1.490559086
142,142,1647569.379078842,6096772.796107426,1.371400036
143,143,1647766.404597269,6096770.327481735,2.298175126
144,144,1647749.453318325,6096751.3329133,1.476445786
145,145,1647578.866126631,6096750.576033293,1.281625303
146,146,1647593.679706083,6096732.816623051,1.166524959
147,147,1648183.146242587,6096756.158409871,-0.391357822
148,148,1648141.032253703,6096719.95018741,-0.640725012
149,149,1647552.723551711,6096713.106862352,1.192250001
150,150,1647609.91504465,6096712.805302575,1.083699984
151,151,1647707.959373824,6096712.285295908,1.315429419
152,152,1648132.808865085,6096710.031275691,-0.509850012
153,153,1648124.585580992,6096700.112249203,-0.247729238
154,154,1647544.448358186,6096693.224789168,1.166444472
155,155,1647642.490701721,6096692.707695239,4.090542878
156,156,1648100.021734824,6096690.28047766,-0.669975012
157,157,1648071.372998118,6096680.47020455,-0.675000012
158,158,1647642.983812401,6096673.299771699,0.597794645
159,159,1647675.070050514,6096673.336284112,0.153620692
160,160,1647527.950550787,6096663.423181761,1.182983342
161,161,1648058.437447754,6096666.377409739,-0.453842117
162,162,1647511.50530562,6096643.584106559,1.10897774
163,163,1648016.37365839,6096650.372362052,-0.440421581
164,164,1647503.282709984,6096633.664557784,1.029437485
165,165,1647968.927840838,6096621.238298316,-0.388725012
166,166,1647576.708961005,6096613.351993704,0.613149995
167,167,1647568.486323844,6096603.432497989,0.570199997
168,168,1647560.263802755,6096593.51287279,0.552080003
169,169,1647510.616153858,6096578.262788047,1.456380533
170,170,1646563.360669102,6096569.55032993,1.839593172
