OID,FID_,X,Y,BCE_Hokian
0,0,1649450.024884187,6098198.13109237,-0.675000012
1,1,1649550.918780176,6098004.105526445,0.403834167
2,2,1649407.195706885,6097565.688290459,-0.675000012
3,3,1649510.175531525,6097570.091119117,0.05716909
4,4,1649490.411788579,6097521.095964554,-0.356473696
5,5,1649346.937200337,6097459.95378551,0.205625
6,6,1649205.367511155,6097354.680064867,0.386708417
7,7,1649043.27128378,6097301.84765521,0.363704915
8,8,1649018.893509736,6097288.969099707,0.228899751
9,9,1648854.668470085,6097222.559943142,-0.290860114
10,10,1649039.188097514,6097183.13117287,-0.135411356
11,11,1648818.880961438,6097167.95751785,-0.541869243
12,12,1648943.023031515,6097125.23628673,-0.103433973
13,13,1648608.774214011,6097096.030940403,-0.675000012
14,14,1648743.679019309,6097085.249030939,-0.299791677
15,15,1648582.099288546,6097075.569403019,-0.530316678
16,16,1648659.730375687,6097066.461062146,0.368257682
17,17,1648465.829590048,6097042.553775196,0.532284283
18,18,1648005.138031412,6097036.368689785,0.923344345
19,19,1647938.2587206,6096999.988959458,0.596025
20,20,1648679.996621324,6096956.273850535,0.040695652
21,21,1648023.298414454,6096951.599932791,-0.675000012
22,22,1648203.962743356,6096949.029830549,-0.675000012
23,23,1647982.154683428,6096930.390493826,-0.516419592
24,24,1647874.521928383,6096908.925428199,-0.675000012
25,25,1647963.753858742,6096912.845206361,-0.178855477
26,26,1647944.804549557,6096893.082166035,-0.001322581
27,27,1648238.238919834,6096904.748581803,-0.460216429
28,28,1647929.328931184,6096875.75283336,-0.01132716
29,29,1648127.785175077,6096844.900212338,0.423982609
30,30,1648255.110404326,6096816.221169678,0.342691587
31,31,1647887.610630349,6096807.648118818,0.064976377
32,32,1648026.627587745,6096794.782295917,0.237351496
33,33,1647811.676123595,6096780.550185123,-0.675000012
34,34,1647901.94340386,6096769.132321716,0.356139546
35,35,1647879.796794848,6096761.191113194,0.44857501
36,36,1648209.650484754,6096750.01550917,0.94789505
37,37,1647751.688172809,6096719.000353254,-0.033153844
38,38,1648111.270445236,6096699.998661427,-0.667627039
39,39,1647636.095489094,6096661.514553414,0.41167102
40,40,1648012.70537705,6096659.196369817,-0.675000012
41,41,1647986.050653861,6096640.242614546,-0.675000012
42,42,1647567.838303983,6096593.47277917,0.40825
43,43,1647560.211433512,6096583.550132468,0.402249997
44,44,1647905.778350737,6096562.537919574,0.394653846
45,45,1647525.205413638,6096535.557159304,0.212833976
46,46,1647790.096136439,6096446.225227775,-0.019689399
47,47,1647777.524989325,6096414.406283277,0.438461536
48,48,1647765.809402907,6096399.380355003,-0.015703564
49,49,1647736.895215541,6096283.925832541,0.37066667
50,50,1647762.248965461,6096164.043285666,0.293400002
51,51,1647476.256327072,6096155.590037446,-0.664600012
52,52,1647525.169723214,6096135.406687927,-0.675000012
53,53,1647796.320880887,6096116.733228968,0.320421768
54,54,1647533.181841695,6096105.476127927,-0.661701311
55,55,1647851.199283834,6096058.065342423,0.372398711
56,56,1647905.888808904,6095999.161765731,0.385818599
57,57,1648020.368576185,6095870.514030259,0.186759011
58,58,1647586.346071836,6095922.204713169,-0.675000012
59,59,1647613.220331908,6095856.585752813,-0.675000012
60,60,1648042.152324832,6095848.386977234,0.242950619
61,61,1648068.623636729,6095820.92884555,0.375090089
62,62,1647899.398556831,6095804.857719755,-0.237107133
63,63,1648087.294631265,6095803.85809818,0.488035715
64,64,1647863.949925618,6095790.794985048,0.323216002
65,65,1647649.410703749,6095767.974103241,-0.675000012
66,66,1648131.632434962,6095723.714426669,0.506141174
67,67,1647664.628184136,6095727.854702277,-0.675000012
68,68,1647925.335195153,6095698.923832419,0.430024729
69,69,1648167.260460095,6095651.274901582,0.659601122
70,70,1647734.29739767,6095626.197188147,-0.675000012
71,71,1647766.657854159,6095566.248654807,-0.654636375
72,72,1648230.138891038,6095488.059925016,0.623936336
