OID,FID_,X,Y,BCE_Houhor
0,0,1607944.180421066,6153588.486895757,0.45025
1,1,1607952.392967108,6153578.518206067,0.283214288
2,2,1608403.824168509,6153588.742463987,1.227573702
3,3,1607960.605495327,6153568.549508867,0.611022212
4,4,1608457.84519453,6153568.018425166,1.200518987
5,5,1608470.307793749,6153558.860594764,0.937856596
6,6,1608504.551676064,6153548.499610084,1.244294431
7,7,1608519.61614154,6153538.8918611,1.227962282
8,8,1608535.626662099,6153536.574929538,1.153357093
9,9,1608547.846092377,6153527.829060076,1.369857093
10,10,1608568.49141451,6153517.494966774,1.288122538
11,11,1608577.103388362,6153508.185186527,1.270450024
12,12,1608108.347009358,6153488.523402385,1.212249974
13,13,1608601.161023197,6153412.998929572,0.89634783
14,14,1608757.781170448,6153278.938635503,1.444949761
15,15,1608765.983063161,6153259.007622222,0.550627313
16,16,1608774.184920175,6153239.076600967,1.15461847
17,17,1608815.203219191,6153149.382967225,3.368283349
18,18,1608922.005553278,6153079.548748771,0.949775001
19,19,1608954.859275303,6153049.632004485,0.978425001
20,20,1608206.705689759,6152969.909355167,1.089274488
21,21,1608214.317290788,6152960.668943954,1.187961533
22,22,1608979.43376317,6152959.953604735,1.526288892
23,23,1608265.130342058,6152937.060361491,1.092895168
24,24,1609238.186314086,6152780.378506864,0.8473939
25,25,1608452.99029221,6152606.815638789,1.471275023
26,26,1609727.0551719,6152530.843881256,1.333178824
27,27,1608469.351394754,6152442.502059119,1.3084286
28,28,1609825.452909783,6152301.622044018,-9999.0
29,29,1610852.58987403,6151991.656557215,1.133981997
30,30,1610869.017646482,6151981.675557612,1.141331252
31,31,1610885.445306802,6151971.694492332,0.866562936
32,32,1610901.872931506,6151961.713397454,0.99534998
33,33,1610926.341821743,6151951.460156451,1.238869493
34,34,1611209.919846305,6151821.866733788,1.526987507
35,35,1610112.572547089,6151773.344731716,0.57459377
36,36,1611279.747368144,6151771.986510532,0.957674998
37,37,1611296.174209305,6151762.004706049,1.050224984
38,38,1610149.538438315,6151753.380766231,0.829835296
39,39,1611312.601014844,6151752.022871973,0.793444445
40,40,1610025.748301556,6151823.076412551,0.398485292
41,41,1610174.185980111,6151743.391889554,1.365475005
42,42,1610194.723715957,6151733.407507694,0.894487503
43,43,1610152.558214339,6151730.69706245,0.190878399
44,44,1610210.939695403,6151726.989375654,0.676178565
45,45,1610227.357615944,6151716.652070161,0.423666652
46,46,1610187.877799549,6151710.902191397,0.186557208
47,47,1611386.490346532,6151682.200210214,0.644022227
48,48,1611394.685108568,6151662.266789407,0.699549997
49,49,1611402.87983487,6151642.333360616,0.915250008
50,50,1610246.015399036,6151672.465290389,0.283546254
51,51,1610375.395480585,6151593.742450139,-9999.0
52,52,1610367.164837465,6151583.790131895,-9999.0
53,53,1611443.902545114,6151582.512572424,0.805555555
54,54,1611468.498511635,6151532.673741436,0.804377765
55,55,1611665.446278531,6151283.384933041,0.816311121
56,56,1611673.652730463,6151273.412872803,0.823299987
57,57,1611926.789439847,6149997.996621881,1.362024948
58,58,1611951.430349446,6149988.002936034,1.253088866
59,59,1611935.150308304,6149978.266734035,1.047710494
60,60,1611967.85326666,6149978.019894229,1.14182502
61,61,1611926.750637928,6149968.111693026,0.664474997
62,62,1611292.638294052,6151301.461191084,0.354247037
63,63,1612074.581717989,6149898.186934393,1.086499991
64,64,1611885.363826318,6149868.753021377,-9999.0
65,65,1609006.229778412,6152332.901005878,0.749547267
66,66,1609970.613257981,6149721.401824992,0.326277751
67,67,1609978.809300499,6149701.469669053,-9999.0
68,68,1610003.429814009,6149671.557911286,-9999.0
69,69,1611605.303856516,6148746.555174534,-9999.0
70,70,1611579.859179477,6148723.551325156,-9999.0
71,71,1610452.394066859,6149392.67261746,0.326061431
72,72,1610832.250236908,6148684.412758852,-9999.0
73,73,1611530.91872324,6148703.491282761,-9999.0
74,74,1610865.082021248,6148654.48893419,-9999.0
75,75,1610881.503679065,6148644.507851806,-9999.0
76,76,1611448.965325251,6148648.382316083,-9999.0
77,77,1612185.395508118,6149314.790815145,0.424207729
78,78,1612056.1720004,6148394.726533277,-0.094777822
79,79,1610874.198117589,6148498.748026333,0.650444547
80,80,1610872.956613703,6148365.591013875,-9999.0
81,81,1612072.551691333,6148354.130279177,0.952600015
82,82,1610872.933018464,6148345.66768288,-9999.0
83,83,1612078.110390437,6148331.025521557,0.341264761
84,84,1612121.811150254,6148324.180317784,1.545091073
85,85,1612146.407810249,6148284.301066617,0.521109338
86,86,1610881.874738661,6148283.744353983,0.724451196
87,87,1610889.200550826,6148206.184872777,-9999.0
