OID,FID_,X,Y,BCE_Houhor
0,0,1608150.127947844,6153633.615344215,1.185850595
1,1,1608051.239212198,6153618.7148865,0.907583834
2,2,1608067.524668126,6153618.992290145,0.923795912
3,3,1608084.13482122,6153618.045426788,1.230569009
4,4,1608189.533864037,6153617.421989374,0.954839778
5,5,1607962.814942485,6153588.72520347,0.683473276
6,6,1608470.002301643,6153566.410585986,1.157481474
7,7,1607950.508283877,6153566.000326505,1.038168838
8,8,1607997.995049688,6153560.077830478,0.792936036
9,9,1607980.977972921,6153540.046875034,1.119662534
10,10,1608001.761734049,6153523.959593215,0.973757966
11,11,1608010.509732261,6153509.924120384,0.829423714
12,12,1608026.517998948,6153499.043794349,1.061653348
13,13,1608035.132315021,6153489.663739548,1.029826106
14,14,1608043.650871813,6153480.322411249,1.046115406
15,15,1608059.204191551,6153468.886259885,1.285278458
16,16,1608067.853813983,6153455.686589358,1.231322584
17,17,1608076.590264468,6153435.3607463,1.105935993
18,18,1608096.449901128,6153482.956727398,1.225135681
19,19,1608455.899272574,6153506.118506028,0.688956632
20,20,1608102.935449383,6153382.121614024,1.414140997
21,21,1608133.2713762,6153324.930655887,1.224966241
22,22,1608655.988543407,6153318.258175394,1.772637028
23,23,1608626.007950059,6153308.620179221,1.547243213
24,24,1608642.870423508,6153308.728136802,1.621204337
25,25,1608147.190490439,6153306.634829966,1.107820498
26,26,1608617.87602659,6153298.789714177,0.598701769
27,27,1608157.06470102,6153289.452697686,0.901843133
28,28,1608744.455070029,6153285.75376641,0.702283375
29,29,1608157.637398435,6153239.663279256,1.165424997
30,30,1608765.968819471,6153244.065239086,0.719781774
31,31,1608676.971362831,6153289.408999931,0.644241491
32,32,1608626.02255782,6153219.497865346,0.245250106
33,33,1608778.557521,6153219.02560506,0.43803624
34,34,1608158.538764121,6153189.265738443,0.937593747
35,35,1608173.380127422,6153207.183028985,0.723259637
36,36,1608800.79659546,6153156.574498909,2.106954896
37,37,1608839.67797906,6153129.640559281,1.259293089
38,38,1608856.109887018,6153119.663146962,0.772807023
39,39,1608172.731198085,6153140.994821238,0.738228537
40,40,1608872.541759365,6153109.685705066,0.91403448
41,41,1608888.973201266,6153099.299652628,0.918758623
42,42,1608708.09879779,6153079.958096444,0.038789552
43,43,1608913.784847022,6153079.556721349,0.890225001
44,44,1608190.58827044,6153086.387903883,1.654790094
45,45,1608197.964904936,6153060.299551548,1.623178574
46,46,1608691.262537567,6153064.258235751,0.3651516
47,47,1608930.519668231,6153065.204261324,0.925455152
48,48,1608946.638595732,6153049.640006488,0.899200003
49,49,1608954.84020783,6153030.052542749,1.025481075
50,50,1608191.393790822,6152999.793349782,1.609960794
