OID,FID_,X,Y,BCE_Houhor
0,0,1609721.101668522,6152400.53931695,-9999.0
1,1,1609042.318740522,6152387.361994522,0.311910699
2,2,1609081.620753137,6152382.079684094,0.132499964
3,3,1609563.607495551,6152423.899215614,0.089093174
4,4,1609024.050837452,6152352.251533869,-9999.0
5,5,1609727.034465879,6152351.738899745,-9999.0
6,6,1609780.296011963,6152351.478143766,-9999.0
7,7,1609648.654482123,6152344.704771991,-9999.0
8,8,1609703.057528865,6152325.646840384,-9999.0
9,9,1609777.440951306,6152302.407521659,-9999.0
10,10,1609627.993605257,6152291.664878926,-9999.0
11,11,1609656.128863027,6152303.527791279,-9999.0
12,12,1609506.223352554,6152284.047612153,-9999.0
13,13,1609652.811943749,6152281.881527863,-9999.0
14,14,1609514.760269377,6152274.431075021,-9999.0
15,15,1609640.47150549,6152271.93285758,-9999.0
16,16,1609627.962306298,6152261.780061008,-9999.0
17,17,1609800.582249567,6152262.006233423,-9999.0
18,18,1609834.220567636,6152251.804400775,-9999.0
19,19,1609841.829160223,6152241.834641451,-9999.0
20,20,1609517.268293453,6152241.241585778,0.077757553
21,21,1609389.462657784,6152223.287418061,-9999.0
22,22,1609431.772017615,6152219.075474934,0.116999955
23,23,1609407.50300059,6152204.860544623,-9999.0
24,24,1609463.501669293,6152202.589713377,-9999.0
25,25,1609529.261055392,6152202.521781927,-9999.0
26,26,1609416.07063218,6152192.697345134,-9999.0
27,27,1609608.299820933,6152131.913267639,-9999.0
28,28,1609841.786544618,6152156.577489344,-9999.0
29,29,1609701.377772651,6152087.009745882,-9999.0
30,30,1609701.73225747,6152062.878709078,-9999.0
31,31,1609825.007945273,6152042.824533245,-9999.0
32,32,1609893.942340097,6152060.533675987,-9999.0
33,33,1609656.706149282,6152046.28728165,-9999.0
34,34,1609783.273427488,6151991.207727355,-9999.0
35,35,1609697.336668351,6151968.35171159,-9999.0
36,36,1609947.477055194,6151932.910681286,-9999.0
37,37,1609583.507151332,6151917.175696636,-9999.0
38,38,1609939.847890411,6151823.545362945,-9999.0
39,39,1610117.371969795,6151777.489992474,1.670037776
40,40,1609732.348024089,6151768.659065052,-9999.0
41,41,1609949.940447087,6151768.402612015,-9999.0
42,42,1609984.624073316,6151812.26274037,0.264004652
43,43,1610008.288588508,6151748.539436709,-9999.0
44,44,1609939.364775614,6151728.137055925,-9999.0
45,45,1610128.766621368,6151703.799607756,-9999.0
46,46,1609758.181271948,6151709.243321273,-9999.0
47,47,1609919.778860366,6151690.614036099,-9999.0
48,48,1610086.8770451,6151723.563391503,-9999.0
49,49,1609760.323945363,6151664.88192223,-9999.0
50,50,1610076.979027431,6151666.218307054,-9999.0
51,51,1609923.204375139,6151634.292451488,-9999.0
52,52,1609738.07639737,6151629.613414083,-9999.0
53,53,1609500.398908176,6151659.887032617,-9999.0
54,54,1610145.062633746,6151574.280468669,-9999.0
55,55,1609964.225855983,6151564.516673664,-9999.0
56,56,1610001.032527734,6151569.561274162,-9999.0
57,57,1610060.197927456,6151567.478110994,-9999.0
58,58,1609503.931765268,6151555.042550561,-9999.0
59,59,1609537.146263981,6151555.008144217,-9999.0
60,60,1609495.681544432,6151525.166196218,-9999.0
61,61,1609740.043225092,6151527.261077749,-9999.0
62,62,1609526.968105426,6151534.083716659,-9999.0
63,63,1609684.715352182,6151515.007316227,-9999.0
64,64,1609717.919174459,6151505.010638812,-9999.0
65,65,1609956.664595216,6151510.100714232,-9999.0
66,66,1609676.089080457,6151489.338942586,-9999.0
67,67,1609701.296026283,6151489.881462727,-9999.0
68,68,1611155.0883848,6151501.653105817,-9999.0
69,69,1609528.496846895,6151465.362464563,-9999.0
70,70,1609520.58374269,6151435.485779067,-9999.0
71,71,1609673.754418416,6151443.288658069,-9999.0
72,72,1611368.256903266,6151413.192115547,0.042968706
73,73,1610002.43784701,6151411.589114035,-9999.0
74,74,1610029.806742747,6151405.059259189,-9999.0
75,75,1609585.958962531,6151395.571304456,-9999.0
76,76,1609996.918617917,6151394.724879065,-9999.0
77,77,1609520.19502925,6151385.678035075,-9999.0
78,78,1609917.151180457,6151464.894149895,-9999.0
79,79,1611386.096545879,6151364.156146059,-9999.0
80,80,1609980.437384939,6151355.304848755,-9999.0
81,81,1609958.394164233,6151349.439981571,-9999.0
82,82,1611408.969233417,6151339.824184859,-0.005840526
