OID,FID_,X,Y,BCE_Kaipar
0,0,1710847.369524937,6003494.303344532,0.525552145
1,1,1710862.933923776,6003482.189384568,2.167961521
2,2,1710878.429188621,6003439.096160972,-0.251679996
3,3,1710886.842900628,6003418.33060381,1.233596142
4,4,1710900.781355112,6003401.439940833,0.866893754
5,5,1710918.816629994,6003388.753670935,-0.350525005
6,6,1710899.699040518,6003366.622270864,2.024368402
7,7,1710925.133872435,6003365.77307352,-0.434000001
8,8,1710896.694558336,6003323.589900288,0.960072694
9,9,1710885.399844016,6003304.4652126,0.903975165
10,10,1710871.412257551,6003270.685163294,-0.032114409
11,11,1710863.69070223,6003220.593517804,-0.312600017
12,12,1710609.035221892,6003193.353087019,1.699624988
13,13,1710616.868907307,6003173.321823873,1.802924968
14,14,1710862.334750362,6003169.318364393,1.684649998
15,15,1723266.673220529,6002984.30470629,1.278418762
16,16,1723242.152348421,6002978.090348838,1.309456134
17,17,1723215.585290109,6002962.274105101,1.006666678
18,18,1723206.670656178,6002953.192741206,0.958288894
19,19,1723192.41528607,6002924.55249986,0.387482957
20,20,1710566.906876983,6003059.343101587,1.625574984
21,21,1723188.174760816,6002865.810397645,-0.388475001
22,22,1710631.150096986,6003023.649547905,0.958949988
23,23,1723196.120080613,6002855.731846465,0.283500001
24,24,1723204.748917133,6002874.352516138,1.410628078
25,25,1723217.429466233,6002833.493597441,1.388210491
26,26,1710663.113957811,6002993.346937804,3.728225042
27,27,1723204.32124427,6002830.174095737,0.709550462
28,28,1710671.073374602,6002983.280135439,4.477084553
29,29,1710663.399340878,6002914.354056467,2.047124223
30,30,1710678.150316106,6002903.461664177,2.003538476
31,31,1710645.522094642,6002894.10942027,1.750749967
32,32,1713168.32512441,6002861.636479829,1.68672501
33,33,1710639.526449959,6002862.866492964,2.024148148
34,34,1707789.830170841,6002790.036311593,1.750925
35,35,1708040.533592517,6002791.926593197,1.601053887
36,36,1707797.669810657,6002770.007703818,3.99480001
37,37,1708064.481540737,6002766.715754655,1.502229856
38,38,1710591.348239892,6002736.809599687,2.096199989
39,39,1713255.200466123,6002701.052552574,1.624175012
