OID,FID_,X,Y,BCE_Kaipar
0,0,1710831.671184905,6003494.943105561,0.610065059
1,1,1710847.053938565,6003469.392048604,1.107199989
2,2,1710887.346323319,6003399.961733849,1.948322573
3,3,1710895.085286804,6003389.50620813,1.959746495
4,4,1710893.377785227,6003407.232998072,0.997421843
5,5,1710885.732456763,6003319.268178698,1.753407406
6,6,1710877.981211922,6003299.171668446,1.67493545
7,7,1710872.013816653,6003288.004308033,1.341352954
8,8,1710885.210415552,6003289.518429189,-0.464558443
9,9,1710876.872111672,6003269.6918595,0.194662492
10,10,1710560.68918867,6003193.731370731,1.513083363
11,11,1710549.599246358,6003183.660200753,1.379054661
12,12,1710586.506047116,6003197.917445214,1.517996197
13,13,1710592.022419786,6003173.635930621,1.505591833
14,14,1710608.846258498,6003178.406311982,1.743212496
15,15,1710537.666293285,6003164.026433857,1.478717394
16,16,1710584.23468422,6003163.567119279,1.445785703
17,17,1710562.326716054,6003160.184563166,1.359975742
18,18,1723254.832801896,6002983.908381983,1.213000002
19,19,1723282.844734445,6002984.076838437,1.17462499
20,20,1710621.15618963,6003153.706900842,1.77778548
21,21,1723229.781824593,6002972.37713302,1.125234038
22,22,1710632.545352355,6003133.985851116,1.868918343
23,23,1710542.384416091,6003137.335178066,1.582077466
24,24,1723201.182683246,6002950.64930684,0.273000002
25,25,1710551.871731353,6003111.546663491,1.616649552
26,26,1710560.56034615,6003095.426796863,1.566857148
27,27,1723182.848988154,6002924.322685244,-0.413939387
28,28,1710580.788421531,6003099.393463989,1.51463724
29,29,1710599.025371756,6003054.155203441,1.586714259
30,30,1710566.817357001,6003044.494232722,1.609493693
31,31,1723185.122453194,6002891.082579287,-0.400706661
32,32,1723196.260406269,6002865.696537107,0.661574994
33,33,1710623.654165909,6003023.74433409,1.435666676
34,34,1723188.034444374,6002855.845707118,-0.377324997
35,35,1710574.616535228,6003024.585251112,1.641120333
36,36,1710631.033277237,6003014.411605694,0.966981487
37,37,1710647.069041905,6003003.515997461,1.841480507
38,38,1710655.028486439,6002993.449210498,1.675987315
39,39,1710662.987912362,6002983.382415714,2.165000029
40,40,1723204.289996995,6002833.663665099,0.615240744
41,41,1723219.374510745,6002795.805478575,1.033727265
42,42,1723235.284903981,6002765.480203721,0.875666665
43,43,1723243.390425314,6002755.198194117,1.11828574
44,44,1713154.550063695,6002867.879074207,1.773165238
45,45,1723196.884700262,6002721.719873754,1.429639969
46,46,1723258.364871312,6002719.740499873,0.408736358
47,47,1710662.275158645,6002930.008912964,2.034309261
48,48,1723202.273946802,6002701.79654775,1.419405406
49,49,1723209.932945934,6002686.136051366,1.458550033
50,50,1710783.177968466,6002866.430007195,1.917089361
51,51,1713186.872252084,6002834.549190309,1.619795493
52,52,1723290.459469646,6002675.203864123,1.118727272
53,53,1710550.804360676,6002831.761148433,1.514600015
54,54,1723218.152575901,6002661.373520871,1.488006921
55,55,1710587.911628978,6002814.706675127,1.47068421
56,56,1723281.952699271,6002645.423732232,-0.436285706
57,57,1713215.382167605,6002761.164206881,1.60590909
58,58,1707765.843574183,6002818.095404586,1.81454167
59,59,1708293.524274779,6002809.529684582,2.390333335
60,60,1710530.51295846,6002785.734892349,1.199909105
61,61,1707604.28090106,6002812.453781134,1.468175457
62,62,1707749.488835024,6002810.66643556,1.553928605
63,63,1710522.89133879,6002775.865076561,0.586287503
64,64,1710713.328904252,6002774.04090847,1.72581818
65,65,1708015.202751502,6002796.746762227,1.573016386
66,66,1708186.997974237,6002773.418165872,1.646559954
67,67,1710607.927672798,6002838.996092655,1.7631601
68,68,1707595.092683127,6002804.248306314,1.908048787
69,69,1707630.371306646,6002785.172869779,1.431171719
70,70,1707783.541800846,6002784.426356427,1.699670015
71,71,1710582.559471971,6002738.333863509,1.719193076
72,72,1712726.739373059,6002712.31038556,1.223666657
73,73,1713247.463954975,6002706.135825809,1.428345426
74,74,1708048.45480013,6002770.517052255,1.534439466
75,75,1708112.630687856,6002754.704315972,0.654649132
76,76,1708153.038945216,6002755.100555059,1.597458368
77,77,1708169.305310493,6002755.655319693,1.571928535
78,78,1713255.080862921,6002691.814575056,2.484886774
79,79,1723192.51100672,6002556.205176247,1.991507662
80,80,1723207.920541095,6002556.766718649,1.311321391
81,81,1707619.750584998,6002760.842277583,1.469717956
82,82,1708080.414701331,6002747.31357129,0.485551725
83,83,1708185.03089185,6002749.712224663,1.640531544
84,84,1708221.48864836,6002774.149445006,1.790163599
85,85,1710586.334441396,6002715.342155736,2.136742849
86,86,1723185.282778818,6002545.833704183,1.993888874
87,87,1723257.042199549,6002545.906874934,0.665096149
88,88,1707660.286502352,6002757.566013267,1.382664629
89,89,1708136.718165552,6002736.126177618,1.621982447
90,90,1723207.639834182,6002536.837328018,1.342589287
91,91,1707668.29853309,6002727.318457619,1.448141598
92,92,1710529.682823464,6002686.285371601,0.91282142
93,93,1723167.157655253,6002517.190478622,1.971911387
94,94,1723256.620969348,6002516.012786238,1.281559978
95,95,1707809.269668939,6002736.170271074,1.724867983
96,96,1710577.083000362,6002689.313071589,1.961825079
97,97,1710850.340723185,6002717.170473332,1.507831498
98,98,1710905.678293066,6002671.35914895,1.531999967
99,99,1723158.884517664,6002507.400931878,1.918674985
100,100,1723263.976319061,6002505.942466411,1.220474996
101,101,1707638.48347801,6002739.840421447,2.098787839
102,102,1707829.150821276,6002699.857679346,1.613862543
103,103,1723150.641633234,6002497.572138416,2.029287492
104,104,1708200.783332807,6002685.503886485,1.589854598
105,105,1723142.426276426,6002488.44786236,2.013153872
106,106,1723285.312758436,6002491.519295987,1.464338126
107,107,1707669.130035675,6002692.717522757,1.149179469
108,108,1708208.905891898,6002675.236255719,1.625425015
109,109,1710567.397168523,6002653.263146677,1.363564193
110,110,1707828.87141517,6002677.191056027,1.495206218
111,111,1710844.534385775,6002632.269631715,2.045325561
112,112,1710931.716965338,6002648.66122961,1.536378791
