FID,X,Y,BCE_Kaipara_Harbour_System_Seagrass
0,1723246.050026360433549,6002492.217978301458061,0.780142882000000
1,1709943.050025938777253,6002397.687572519294918,1.707440110000000
2,1709995.595998456468806,6002338.188815598376095,1.573675237000000
3,1723288.592486977810040,6001957.427516584284604,-0.559962954000000
4,1723217.681776538956910,6001906.932157324627042,-0.390473665000000
5,1723205.580081134801731,6001883.657434185966849,-0.572250023000000
6,1712755.920046365121379,6002020.579853693954647,0.899409837000000
7,1712719.867293676361442,6001960.701344612054527,-0.906964312000000
8,1712725.588606100063771,6001952.589153051376343,-0.900833362000000
9,1712693.072226654738188,6001891.611918392591178,0.530714313000000
10,1712677.514610802521929,6001867.447265062481165,0.099141723000000
11,1723002.260714377043769,6001722.258787366561592,0.414466663000000
12,1712670.328362699598074,6001846.527063646353781,0.392234220000000
13,1713143.776671929750592,6001851.195234540849924,1.477666642000000
14,1712514.564634069800377,6001829.755441498942673,1.428874033000000
15,1712777.231934876879677,6001693.810447609052062,1.269977778000000
16,1723005.343814655672759,6001491.258686207234859,0.799333341000000
17,1723036.835199487395585,6001430.945727303624153,0.619068631000000
18,1723063.010751457186416,6001419.080467886291444,0.912965217000000
19,1723101.183866678038612,6001396.473147347569466,0.699274136000000
20,1723176.535299071809277,6001362.906799385324121,0.574563470000000
21,1723611.336575785186142,6001334.935991760343313,0.368674994000000
22,1723269.304500303696841,6001338.446979679167271,0.966880983000000
23,1689469.543872983660549,6001686.878831788897514,0.090333329000000
24,1711758.663642295869067,6001394.797590533271432,0.355892564000000
25,1711734.284141450421885,6001385.143130596727133,0.250225003000000
26,1723766.815223712241277,6001237.055807698518038,0.885713588000000
27,1689608.444385990500450,6001619.949546601623297,0.024809518000000
28,1723753.105158052174374,6001206.473058752715588,0.511292494000000
29,1723810.649183256085962,6001171.641441635787487,1.399983370000000
30,1689705.040779351955280,6001579.097878866828978,0.369691668000000
31,1689728.867579884827137,6001566.933390799909830,0.352489359000000
32,1689837.471144799608737,6001516.583800734020770,0.559900001000000
33,1689886.003347253194079,6001487.551004863344133,0.186628201000000
34,1723606.943573673255742,6001065.896659783087671,-0.969285744000000
35,1709871.749876614892855,6001237.922388205304742,0.343541667000000
36,1712346.658266128739342,6001208.071761590428650,-0.649036376000000
37,1689959.434013893827796,6001455.862292350269854,0.428475001000000
38,1709879.159612787421793,6001228.095057670958340,0.372500005000000
39,1689978.319321640767157,6001446.297720930539072,0.413718313000000
40,1689993.267972767353058,6001442.569947778247297,0.654250003000000
41,1690002.343574167694896,6001435.375089552253485,0.482839281000000
42,1709937.005270219175145,6001198.636641293764114,1.642849991000000
43,1723691.296631404664367,6001010.198209883645177,
44,1690058.950944448122755,6001406.007948031648993,0.353012660000000
45,1709960.513174521736801,6001172.177883060649037,3.975379320000000
46,1709968.222488712752238,6001157.917111908085644,4.176822539000000
47,1712272.714159140130505,6001129.090748473070562,-0.662375007000000
48,1690106.506427261978388,6001386.049154928885400,0.609109512000000
49,1724007.119132275227457,6000966.206420989707112,0.890000002000000
50,1711464.082139535574242,6001119.504835465922952,0.088597404000000
51,1724018.211755256401375,6000950.178551781922579,0.558173076000000
52,1712256.162773265503347,6001099.404636923223734,-0.648125001000000
53,1723720.649012713925913,6000954.407902437262237,
54,1724045.446715298341587,6000940.183488325215876,0.913666685000000
55,1690218.543199708918110,6001334.312505408190191,0.655890112000000
56,1712239.739418060751632,6001079.683065274730325,-0.635749996000000
57,1723742.826083589345217,6000924.641604263335466,
58,1709919.689585190499201,6001167.409845946356654,0.622596272000000
59,1708027.100786473136395,6001102.126018330454826,0.517311481000000
60,1709992.962969656568021,6001091.907244351692498,1.422865106000000
61,1723763.174195953411981,6000891.001387457363307,
