OID,FID_,X,Y,BCE_Kawhia
0,0,1762978.080102536,5788226.963816846,0.405113928
1,1,1762993.675023726,5788216.716893545,1.113624991
2,2,1762959.379196432,5788210.753936746,0.689478996
3,3,1763009.243377475,5788206.433465937,1.377602582
4,4,1762938.090287528,5788197.882814422,0.660799992
5,5,1762994.338652394,5788190.083309908,1.194688652
6,6,1763016.063267812,5788186.64360955,2.940152297
7,7,1762901.138188749,5788174.199345223,0.583761905
8,8,1761675.306257757,5788153.204752957,1.018249989
9,9,1762850.138992992,5788130.040868272,0.532254553
10,10,1762987.773150643,5788147.614043557,1.21637682
11,11,1762832.017850719,5788109.605035916,0.374649999
12,12,1762959.749995905,5788097.726987536,1.064655322
13,13,1761544.238396142,5788105.940546166,0.959812477
14,14,1762817.881453312,5788076.200744055,0.323777783
15,15,1761663.24552964,5788122.215204252,1.24412178
16,16,1761626.226395718,5788064.427385132,1.032379755
17,17,1762803.731665083,5788047.708934083,0.260155912
18,18,1761582.662211784,5788054.967726012,1.853895637
19,19,1761558.820954385,5788045.81836576,1.301662472
20,20,1762792.764580521,5788021.49084339,0.399709089
21,21,1762871.22364149,5788009.017262847,0.672549009
22,22,1762781.309176309,5788004.337019867,0.486759828
23,23,1762863.155528307,5787999.933210026,0.644362506
24,24,1761530.236144192,5788028.583167605,1.646807308
25,25,1762854.844678744,5787980.277402249,0.777635602
26,26,1762767.957814191,5787971.903312367,0.608005079
27,27,1762759.475582382,5787942.169021091,0.612959994
28,28,1762846.313118001,5787940.784700136,1.263955563
29,29,1761504.080520512,5787975.913226693,2.144432087
30,30,1761481.943801872,5787940.545883382,0.844790436
31,31,1762750.966792473,5787907.580455041,1.014745224
32,32,1761370.959036836,5787910.134109859,0.790320752
33,33,1761414.582008074,5787909.647430806,0.838783035
34,34,1761436.578525499,5787915.120086121,0.800343021
35,35,1761362.715164972,5787900.117248467,0.818275002
36,36,1761354.634526903,5787890.30490365,0.835506337
37,37,1761341.154035001,5787876.158620192,0.866650277
38,38,1761322.354342411,5787861.234581809,0.911924512
39,39,1762732.288788897,5787773.390105717,0.594370381
40,40,1761278.865044055,5787785.381374565,1.011677429
41,41,1762716.124326948,5787753.768019543,0.543267847
42,42,1762700.158807062,5787744.11423929,0.628945431
43,43,1761256.185597431,5787763.522204243,1.022717787
44,44,1762684.312684679,5787724.485745449,0.652320748
45,45,1761225.254271398,5787748.694852402,1.020194836
46,46,1761691.372636928,5787733.399788629,1.830795311
47,47,1762943.501831628,5787679.21417335,0.788135131
48,48,1761118.876048161,5787725.920198227,1.251739126
49,49,1761516.43516279,5787697.62983744,1.164241234
50,50,1761492.447568407,5787683.263409087,0.98257896
51,51,1762919.63115868,5787654.760402108,1.001704781
52,52,1761072.662554625,5787674.989274889,1.171007015
53,53,1760797.095873552,5787612.122856233,1.587124974
