OID,FID_,X,Y,BCE_Kawhia
0,0,1762954.256107278,5788217.504493834,0.398721519
1,1,1762975.782066855,5788205.033436585,1.044393402
2,2,1762926.086579347,5788178.774326963,0.694750006
3,3,1763004.035019478,5788182.603997137,1.4991114
4,4,1761687.210102931,5788156.921526959,1.071634335
5,5,1762983.908523044,5788127.274749265,1.201363633
6,6,1761675.1230777,5788143.963293894,1.076901936
7,7,1762841.893026028,5788120.025438873,0.492099997
8,8,1761690.631346692,5788133.015704583,3.075256459
9,9,1762967.93241792,5788112.521971082,1.136708871
10,10,1761671.610544482,5788119.071580921,1.675890375
11,11,1761666.07935111,5788093.745929443,1.242552666
12,12,1762892.170832322,5788049.799644175,0.713428582
13,13,1761583.406653488,5788085.568646961,1.056596965
14,14,1761515.457438808,5788026.191749312,0.718045456
15,15,1761530.465194167,5788016.666498217,1.859527773
16,16,1761513.33131161,5788003.756873993,1.066598236
17,17,1761496.948124641,5787937.349258581,0.756847823
18,18,1761481.558663611,5787927.681750642,0.586946661
19,19,1762751.351631968,5787892.640754052,1.7912857
20,20,1761588.721791881,5787878.825664782,1.0724612
21,21,1761614.152182766,5787845.069814062,0.900309076
22,22,1761217.969985198,5787753.231385032,1.084871806
23,23,1761161.415596002,5787740.842575087,1.259756274
24,24,1761209.594746861,5787734.344893514,1.010444456
25,25,1762943.686393668,5787688.455782391,0.770452824
26,26,1761124.285221807,5787715.965650005,1.125114903
27,27,1761502.915972742,5787704.127947041,0.722771276
28,28,1761547.953882088,5787696.278505542,0.940282999
29,29,1762927.699226025,5787669.765456531,0.758685179
30,30,1761098.441574646,5787696.652108389,1.134784327
31,31,1761563.708790073,5787686.935948875,0.862394356
32,32,1762675.817177303,5787665.578150612,0.531147541
33,33,1762683.596221188,5787655.581491589,0.441155164
34,34,1761579.19457035,5787666.830673816,0.925657536
35,35,1761727.082921483,5787662.72991573,0.992664923
36,36,1762706.129849525,5787634.24914851,1.040116877
37,37,1761601.666785854,5787646.180573662,0.816673484
38,38,1761720.986105134,5787643.714522963,0.957891285
39,39,1761618.257341512,5787606.641150623,0.852192298
40,40,1761625.449818558,5787596.50411063,0.862338455
41,41,1762925.389719915,5787570.088398285,0.745000007
42,42,1761041.290453448,5787598.059265671,1.305106363
43,43,1761640.736255744,5787576.155804333,0.797515168
44,44,1760504.621054854,5787577.268636339,1.04360784
45,45,1760512.224143406,5787562.887881292,1.019374991
46,46,1760519.967906854,5787547.569449927,0.987254537
47,47,1760555.713870966,5787547.657812901,0.952292444
48,48,1761670.165737464,5787525.055779288,0.962480001
49,49,1762687.664753043,5787504.828903531,0.722974996
50,50,1762695.528335924,5787495.010619017,2.671293329
51,51,1762758.406600132,5787493.436513508,0.244552176
52,52,1762713.733469895,5787491.148206297,1.243402364
53,53,1760820.231434731,5787567.108504819,1.393616928
54,54,1761678.251586303,5787495.191983782,0.950426675
55,55,1762735.770296715,5787481.83493126,1.294523663
56,56,1762761.950221794,5787473.421168022,1.460284804
57,57,1761686.038848297,5787486.186945227,0.97293334
58,58,1762773.753795585,5787463.473319118,1.810472216
59,59,1760971.908334277,5787479.035584902,1.020362496
60,60,1763198.706640211,5787434.982944723,0.823767856
61,61,1760952.018416815,5787470.183125381,1.107104167
62,62,1761424.413133676,5787435.408467132,2.053761595
63,63,1761408.076526048,5787410.788514923,2.461685194
64,64,1760464.051148009,5787409.267346132,0.930755567
65,65,1762803.118140342,5787362.903805588,0.611700018
66,66,1763217.049820544,5787387.45998546,1.012258127
67,67,1760453.414044871,5787379.560160399,1.004552641
68,68,1760819.408745262,5787379.089375574,1.084023316
69,69,1763107.966399842,5787337.636352232,0.316086594
70,70,1763145.427968754,5787326.145279779,0.668777775
71,71,1760794.207170482,5787370.548510282,1.735847874
72,72,1760997.137174604,5787358.871138768,1.266125004
73,73,1763062.458010935,5787317.832784819,0.176851353
74,74,1763196.644568696,5787322.558225826,1.132747842
75,75,1765578.634114671,5787266.076483721,1.380604644
76,76,1760816.180883811,5787352.986671291,1.171014723
77,77,1760941.495621663,5787369.244746231,1.28337974
78,78,1765569.28479779,5787246.897410797,1.381577443
79,79,1760823.697019808,5787339.889229683,1.700118167
80,80,1760460.337646843,5787329.58863423,1.079717982
81,81,1760471.869996136,5787357.049159904,1.013598424
82,82,1762832.703234032,5787272.770094704,0.715072725
83,83,1760468.068328392,5787309.73838352,1.085093368
84,84,1760491.300159953,5787309.217164955,0.956148127
85,85,1765552.847063269,5787207.382228344,1.67192187
86,86,1760474.918547562,5787299.359645238,1.063979151
87,87,1762863.991449395,5787251.992839494,0.746950004
88,88,1760494.997282772,5787288.641718125,1.043709098
89,89,1760971.914245761,5787279.59148107,0.956347279
90,90,1762830.455746513,5787250.869474097,1.075732955
91,91,1765567.813607086,5787197.540790927,1.021277786
92,92,1760483.038815165,5787279.319259954,1.172050651
93,93,1762848.092463329,5787238.106977366,1.191109591
94,94,1762863.687307825,5787228.266920665,0.770947381
95,95,1765204.595317518,5787174.990063859,1.039610396
96,96,1765244.164450102,5787173.980802256,0.93864813
97,97,1760503.91600729,5787269.397574794,1.067144871
98,98,1762879.446757211,5787213.392832537,0.710462977
99,99,1765219.584249887,5787164.714174426,0.856054529
100,100,1765629.911839959,5787156.597404276,0.909074071
101,101,1762895.10094657,5787203.565861885,0.662714271
102,102,1763060.06594652,5787198.212605572,-0.097249995
103,103,1765204.191401179,5787155.053582011,0.826900027
104,104,1765393.379289676,5787151.218340168,0.897769234
105,105,1765637.901937896,5787146.047075981,0.901648141
106,106,1760473.727740051,5787209.63355366,0.967650001
107,107,1764470.083525457,5787120.031781387,0.690199993
108,108,1760461.511314071,5787189.929624564,0.880960013
109,109,1764619.500022891,5787107.251895255,0.897037037
110,110,1765604.846110604,5787087.299009372,0.817490901
111,111,1765577.636402559,5787078.255658302,0.79952883
112,112,1764414.301128384,5787091.23949886,0.468875002
113,113,1764560.79275488,5787104.13983289,0.893591682
114,114,1764653.65183808,5787088.689351533,0.666067427
115,115,1765029.256065006,5787083.802509968,0.50023899
116,116,1763140.036116522,5787056.649640476,0.59333332
117,117,1762950.819981951,5787004.105207209,0.625460962
118,118,1765448.738881508,5786901.19821884,0.750107682
119,119,1762912.997055347,5786941.871744987,-0.535499996
120,120,1764174.029278564,5786921.563642922,0.313938594
121,121,1765419.497620332,5786891.611245833,0.708418188
122,122,1765455.846753552,5786881.893467839,1.251065566
123,123,1765475.115317285,5786871.864630825,1.170906979
124,124,1763022.59986615,5786909.971773777,0.779981476
125,125,1765490.328701569,5786860.573148863,1.424042884
126,126,1760383.417093191,5786968.800989001,0.99717525
127,127,1761509.115132306,5786929.912857739,1.847825032
128,128,1760413.517589428,5786943.479176586,1.273039208
129,129,1763014.97881317,5786890.786270188,1.032912278
130,130,1765371.143761948,5786832.549706288,0.65770884
131,131,1762930.449489762,5786897.454223503,0.795273584
132,132,1763092.744952557,5786868.67957298,1.397446432
133,133,1765355.176505655,5786822.900809085,0.638299983
134,134,1765331.171998237,5786813.623141996,0.605678557
135,135,1761491.852009495,5786880.853798705,3.320194017
136,136,1767467.063892412,5786749.150675615,-0.108816309
137,137,1767474.756564209,5786739.747201275,1.166225008
138,138,1765058.79908782,5786769.656063088,0.247084112
139,139,1765224.330562931,5786766.303159649,0.609333318
140,140,1765203.980202311,5786755.431581991,0.702603764
141,141,1767284.963001103,5786713.725803736,-0.152312505
142,142,1762941.384021844,5786791.927251191,0.152962266
143,143,1763076.42629308,5786789.732482529,0.6453158
144,144,1767278.485052424,5786704.128151254,0.0584375
145,145,1761450.99448259,5786811.396778288,0.842914872
146,146,1763083.369229208,5786779.071216954,0.83135525
147,147,1767284.553925731,5786693.788960703,-0.076186662
148,148,1767297.401157754,5786700.727789406,-0.058142242
149,149,1767450.837677839,5786692.024471682,-0.039981594
150,150,1763986.426224917,5786754.811128789,0.584966578
151,151,1767318.461161725,5786680.904399992,0.483777468
152,152,1767427.124538509,5786671.516820437,-0.12405455
153,153,1763973.332947259,5786731.140516001,0.545675008
154,154,1764968.212571583,5786712.122156383,0.336976853
155,155,1767339.117249767,5786662.751347696,0.463374996
156,156,1767434.53138081,5786662.212458286,-0.317326906
157,157,1764946.605636366,5786701.53510893,0.289248366
