OID,FID_,X,Y,BCE_Kawhia
0,0,1761205.974057535,5787751.841957185,1.350340196
1,1,1762917.875850402,5787580.72832827,0.703137256
2,2,1762998.831920938,5787498.462866091,0.866103881
3,3,1760611.727489981,5787350.59495363,0.739589118
4,4,1761450.237194403,5786792.936299538,0.888457443
5,5,1761450.780181502,5786771.510494035,1.575481059
6,6,1760519.131063613,5786730.421382684,0.670422233
7,7,1761431.89097839,5786637.335370851,3.348405381
8,8,1760562.868743102,5786559.68504545,0.368294115
9,9,1765030.622090808,5786399.781737421,0.48452542
10,10,1764909.929065459,5786308.577466527,-0.051882631
11,11,1766991.801937222,5786260.994140876,0.741725019
12,12,1765851.506981462,5786243.999745308,0.694890127
13,13,1765705.64219197,5786196.656709516,0.369596776
14,14,1765687.025018874,5786192.241936045,0.636908539
15,15,1766960.743828468,5786092.096022845,-0.80698751
16,16,1761915.017796886,5786162.082002922,0.999536852
17,17,1763162.216719799,5786135.825948519,-0.182150286
18,18,1761961.369388516,5786149.221201696,1.080640544
19,19,1763142.729998096,5786112.026152793,-0.186662866
20,20,1763138.715786691,5786070.670932684,-0.22081481
21,21,1760484.860668577,5786118.470198836,1.040820534
22,22,1763123.874814278,5786059.878903442,-0.207703699
23,23,1766608.243448111,5785961.403567423,0.977826664
24,24,1763099.440160298,5786020.893953762,-0.195074072
25,25,1766527.847390876,5785919.946253593,0.508442294
26,26,1761993.880892618,5785973.438701371,0.895551704
27,27,1762974.613579059,5785945.464390272,-0.258232876
28,28,1760475.715958535,5786009.687345588,0.898565218
29,29,1763025.546102098,5785969.740112884,-0.166877451
30,30,1762946.351874364,5785926.569560961,-0.312869791
31,31,1762988.370154669,5785926.595134466,-0.261439343
32,32,1762853.138873817,5785911.006887909,-0.34809091
33,33,1762912.412416429,5785905.342604143,-0.360685715
34,34,1762947.297152986,5785904.268707652,-0.358636369
35,35,1763026.907945114,5785905.5452229,-0.090977828
36,36,1760665.389755037,5785910.056595197,0.055876191
37,37,1760700.016506279,5785894.735986166,0.005077619
38,38,1761944.735726926,5785844.025163648,1.169948065
39,39,1761315.974844183,5785853.55169377,-0.136349207
40,40,1761939.070260371,5785801.016209832,1.212781201
41,41,1760769.044717631,5785797.941801495,-0.085113205
42,42,1761363.435419497,5785806.915480115,-0.239998006
43,43,1760457.723832797,5785774.536781812,0.308907408
44,44,1760489.249203082,5785773.916066366,0.234293579
45,45,1760642.36847413,5785761.477451519,-0.070860651
46,46,1761480.324077934,5785654.617597323,-0.377411222
47,47,1760206.833071877,5785647.542771004,0.427959998
48,48,1761428.965083788,5785631.665265153,-0.455016835
49,49,1761507.18423151,5785619.387654588,-0.298347866
50,50,1761736.664792003,5785561.575914097,-0.29574336
51,51,1760108.249686618,5785585.543756492,0.546891432
52,52,1760188.806343362,5785560.062176341,-0.030218186
53,53,1760164.522661713,5785551.190528138,0.075872688
54,54,1760137.579507365,5785530.269435415,-0.02211111
