OID,FID_,X,Y,BCE_Lyttel
0,0,1582516.902549919,5173055.676188051,1.10992792
1,1,1582343.37099642,5172971.472480971,0.421089548
2,2,1582263.624103853,5172817.233990207,0.526071417
3,3,1579748.119046637,5172654.114456214,-0.383312538
4,4,1579729.634245901,5172611.644463466,-9999.0
5,5,1579199.950524935,5172230.997938168,0.500600043
6,6,1579184.715487658,5172221.688761706,0.342080035
7,7,1579114.460097479,5172159.095914033,-0.222666691
8,8,1576809.519481531,5171964.090765538,-9999.0
9,9,1575025.574215262,5171839.839484387,-0.585000025
10,10,1575027.802429728,5171786.572030512,-0.525491976
11,11,1575011.991578565,5171739.244114176,-0.961333295
12,12,1574988.305085548,5171701.524655026,-0.774285668
13,13,1577697.345544888,5171701.39845155,-0.964666615
14,14,1574953.076114012,5171590.239168788,-0.109048347
15,15,1573932.477412688,5171524.027517674,-0.347076899
16,16,1584209.942257307,5171240.833452168,1.844822224
17,17,1584233.036808093,5171240.880768432,0.688658064
18,18,1584503.342288981,5171237.319051065,1.784617233
19,19,1584194.685162818,5171221.421155334,3.022461502
20,20,1584326.497411994,5171221.154102118,0.667362677
21,21,1584456.841366579,5171221.52128896,2.000555574
22,22,1584166.851969099,5171201.184725594,-9999.0
23,23,1584159.231980301,5171192.388170284,-9999.0
24,24,1584602.086466655,5171161.934156722,0.39575001
25,25,1584660.295817625,5171132.330394373,-0.470011882
26,26,1584108.804820832,5171127.715063279,-0.031676226
27,27,1584094.798620095,5171110.867328399,-0.695111106
28,28,1584718.362259,5171112.635160611,-0.102891212
29,29,1584743.548878281,5171112.375387387,-0.824224971
30,30,1584758.979083563,5171093.169246323,-0.060867874
31,31,1584799.04939911,5171073.03461584,-0.58459395
32,32,1584827.404227588,5171054.284699197,-0.428249992
33,33,1583895.06328112,5171020.92543239,1.472999994
34,34,1584861.32988506,5171031.255900431,-0.093824246
35,35,1583841.337911636,5171010.496504935,-0.544525024
36,36,1584906.718051318,5171013.188152968,-0.826090864
37,37,1583764.059656334,5170991.053186094,-0.283094732
38,38,1583754.033706757,5170981.09754049,-0.597468119
39,39,1583598.635275016,5170960.024686212,1.393884916
40,40,1583638.134956219,5170961.52656696,0.705520826
41,41,1583733.014793999,5170968.522315978,0.946734638
42,42,1585413.284226526,5170966.70637252,-9999.0
43,43,1583509.481161209,5170936.642786511,1.522590915
44,44,1584980.845311767,5170958.002484079,0.653604768
45,45,1583463.867969682,5170920.279807402,0.772562497
46,46,1583415.886320397,5170900.182666508,1.491027767
47,47,1583399.373634872,5170889.878335205,0.702937514
48,48,1583327.008998973,5170880.925358634,-0.346576907
49,49,1583380.738735324,5170880.190565003,0.286053104
50,50,1581773.184294967,5170772.913120986,0.308628782
51,51,1572934.414513048,5170727.706634594,0.241129632
52,52,1581721.832211679,5170755.639648948,-9999.0
