OID,FID_,X,Y,BCE_Lyttel
0,0,1584499.696334855,5173838.083553403,1.80181484
1,1,1584480.641044652,5173823.910061065,0.885666689
2,2,1584451.284729264,5173675.646688689,0.958060592
3,3,1584423.100608463,5173645.652193846,2.294681793
4,4,1584198.309067417,5173325.880987007,-0.790956502
5,5,1583709.162327928,5173317.818555068,-0.782499969
6,6,1583621.976284325,5173274.616328038,-0.980999947
7,7,1583495.182903742,5173234.399831608,-0.793285665
8,8,1583469.85391398,5173214.384601305,-0.721499988
9,9,1583451.849780056,5173164.458103592,-9999.0
10,10,1582727.071440947,5173122.575947541,-0.744281285
11,11,1582850.28651349,5173089.947974224,-0.895999968
12,12,1582610.960567631,5173082.519169021,1.657083335
13,13,1582528.706923101,5173071.973962179,-0.215333292
14,14,1583332.861960893,5173044.213717692,0.919925928
15,15,1583420.925229441,5173074.977664435,-0.016560807
16,16,1583415.88986316,5173045.379564491,-9999.0
17,17,1582439.859321063,5173020.056335972,-0.222199955
18,18,1582513.231612639,5173022.406452741,-0.590727229
19,19,1582969.199928629,5173040.131633352,-0.868666619
20,20,1583316.849496094,5173024.852687482,-9999.0
21,21,1582374.803270866,5173003.131612514,-0.902399981
22,22,1582966.327467124,5172977.902288933,0.069464332
23,23,1582371.764875644,5172951.942076965,0.039899217
24,24,1581102.895605347,5172895.138589765,-0.552090881
25,25,1581117.984449798,5172897.821966001,-0.358791645
26,26,1581077.752540855,5172886.15632195,-0.896823515
27,27,1581009.645189689,5172862.799266128,-0.830847641
28,28,1582325.472662454,5172876.811872589,-0.636085693
29,29,1580960.635487265,5172833.178326908,-0.715904745
30,30,1580937.23020813,5172813.141182712,-0.741894046
31,31,1579922.48632317,5172782.048905807,-0.896428534
32,32,1580803.987342025,5172787.060038776,-0.381404235
33,33,1581842.688847159,5172782.107800953,-9999.0
34,34,1579883.933238869,5172763.159617267,0.026346127
35,35,1579963.095828252,5172778.278065749,-0.346157887
36,36,1580755.657845434,5172768.18220256,-0.680086908
37,37,1582261.760527681,5172765.112524445,-0.668533362
38,38,1580012.550393655,5172746.055649946,-0.419831708
39,39,1581807.124277414,5172751.00377147,1.047681838
40,40,1581932.049207344,5172762.46456916,-9999.0
41,41,1580099.470703161,5172735.793308211,-0.277452814
42,42,1581778.343875602,5172730.526062224,1.519104502
43,43,1582115.214954152,5172732.390786017,0.326936749
44,44,1582133.339864627,5172732.815816252,-0.123771388
