OID,FID_,X,Y,BCE_Mahura
0,0,1749213.183165264,5970761.574581396,-9999.0
1,1,1749185.400887548,5970752.084902099,-9999.0
2,2,1749345.183268153,5970748.926391857,-9999.0
3,3,1749386.820988389,5970748.961861008,-9999.0
4,4,1749125.667082205,5970731.897668635,0.617448765
5,5,1749459.242787886,5970718.039871154,-9999.0
6,6,1749494.575722233,5970696.715778721,-9999.0
7,7,1749113.361194195,5970699.570119845,-0.059457134
8,8,1749502.602478193,5970686.801487691,-0.401470543
9,9,1749514.515119474,5970676.62721597,-0.35714701
10,10,1749129.428580395,5970667.077381955,0.090874998
11,11,1749598.763936825,5970655.234617893,-0.128675662
12,12,1749552.682892671,5970640.216751241,-0.179481863
13,13,1749582.121278286,5970615.44690947,-0.354545444
14,14,1749605.371812635,5970605.277765821,-0.554565168
15,15,1749702.636508792,5970603.596221074,-0.286412505
16,16,1749621.887323186,5970594.296913549,-0.469639969
17,17,1749799.137072087,5970591.952893872,0.153662499
18,18,1749636.547887063,5970584.061977633,-0.290487459
19,19,1749895.473349443,5970570.353514334,0.10219048
20,20,1749991.459590273,5970528.816628173,0.515107153
21,21,1749918.77960481,5970520.107153584,-0.706
22,22,1749967.62569489,5970452.841944726,-0.039777772
23,23,1750028.632327263,5970348.738392184,0.097074997
24,24,1750044.941597957,5970343.471405426,-0.594555557
25,25,1750035.237388887,5970298.781103368,-0.259702135
26,26,1750115.522270607,5970247.546238923,0.537913561
27,27,1750139.517759838,5970237.161468521,0.421571422
28,28,1750163.513193991,5970226.776629631,0.26385714
29,29,1750211.676849401,5970215.972316368,0.019525001
30,30,1750177.069342001,5970117.361322102,0.471119185
31,31,1750161.265513768,5970097.224221486,-0.203224995
32,32,1750153.049248458,5970088.125072429,-0.223568631
33,33,1750281.946303975,5970089.355047333,0.818320939
34,34,1750221.860646647,5970118.736240127,0.232131275
35,35,1750152.690857132,5970067.467275102,-0.241269229
36,36,1750139.203516476,5970057.372925746,0.006052979
37,37,1750464.10095576,5969902.561582651,-9999.0
38,38,1750409.652309611,5969930.084305058,0.247227638
39,39,1750511.158531827,5969792.05455086,-0.001810471
40,40,1750542.20523312,5969755.583585588,-0.088437971
41,41,1750562.024489879,5969741.360973317,-0.382611997
42,42,1750579.247216061,5969727.76984833,-9999.0
43,43,1750589.699056381,5969710.973642386,-9999.0
44,44,1750605.463453022,5969690.762099421,-9999.0
45,45,1750612.758235155,5969680.666537812,-9999.0
46,46,1750685.450958496,5969659.401086916,-0.021422703
47,47,1750922.821404301,5969406.111719638,-9999.0
48,48,1750938.410614197,5969375.933924571,-9999.0
49,49,1750986.742607562,5969375.090699817,0.449699991
50,50,1750946.29209966,5969365.82781179,-9999.0
51,51,1751010.560763839,5969354.737795635,0.515036144
52,52,1750847.020637913,5969215.903315519,0.749269238
53,53,1751048.401751944,5969214.516429645,0.415189866
54,54,1751024.062252281,5969204.972659204,0.637558325
55,55,1750926.212700398,5969221.03380852,0.6578537
56,56,1750966.536215228,5969178.212358426,0.761236923
57,57,1750996.268649946,5969185.566008489,0.758473668
58,58,1750980.746971818,5969159.762139213,0.816863067
59,59,1751111.211591269,5969153.607871658,0.503974194
60,60,1750918.142965306,5969147.210213516,0.81410714
61,61,1750958.577619756,5969146.303635436,0.845385237
62,62,1751015.341860122,5969083.704708165,0.894274514
63,63,1751019.851174413,5969051.473368238,0.869463242
64,64,1751039.893986179,5969034.826051317,0.843666673
65,65,1751068.282524976,5969024.968318775,0.748849997
66,66,1751083.108867055,5968894.91399703,1.040249974
67,67,1751755.636254141,5968683.769716755,-0.441090921
68,68,1751257.720035783,5968892.23450912,0.738753214
69,69,1751747.696800482,5968659.080889805,-0.468291129
70,70,1751739.414949595,5968644.179525471,-0.484146323
