OID,FID_,X,Y,BCE_Mahura
0,0,1749240.251978142,5970758.169924506,1.326041367
1,1,1749125.171692088,5970742.610582262,4.54602944
2,2,1749326.30476744,5970744.67125024,2.064840012
3,3,1749117.851134283,5970732.578999328,3.236749977
4,4,1749496.040149462,5970678.964918566,1.240091178
5,5,1749107.256606838,5970665.494787038,0.198648149
6,6,1749137.763967852,5970715.674202261,-0.05128834
7,7,1749518.199112873,5970656.626538503,0.765650003
8,8,1749535.283884845,5970637.988774222,0.931144776
9,9,1749557.878908296,5970621.051238954,0.344237507
10,10,1749750.975139349,5970602.760096661,0.229623114
11,11,1749718.570734727,5970583.584752156,-9999.0
12,12,1749764.40588129,5970583.616051558,-0.36579108
13,13,1749843.279176364,5970581.22571567,-0.017437496
14,14,1749879.502125498,5970580.554506881,2.911888901
15,15,1749983.064460869,5970518.792349925,-0.464117631
16,16,1749894.524220321,5970515.542936916,-0.269773102
17,17,1749918.43440887,5970500.176031789,-0.025530119
18,18,1750006.895134511,5970498.844673032,-0.546769229
19,19,1750038.934166995,5970478.151084743,0.031187491
20,20,1749665.964734666,5970605.694802839,-0.091611457
21,21,1749978.47268864,5970449.54063829,0.229864864
22,22,1749997.961741846,5970438.986962125,0.051975
23,23,1750005.845332573,5970428.88178733,-0.040500002
24,24,1750013.604803066,5970404.176631965,0.096709676
25,25,1750021.267015263,5970388.740289364,0.063850002
26,26,1750029.755931751,5970425.52659533,-0.539278024
27,27,1750028.977794191,5970368.66952191,-0.028399996
28,28,1750038.865088106,5970313.923243715,-0.232841391
29,29,1750098.545923235,5970197.997829718,1.535035702
30,30,1750235.340067009,5970195.825651271,-0.375914894
31,31,1750114.48522612,5970187.752829214,0.047279991
32,32,1750147.792212553,5970206.141973882,0.085674107
33,33,1750227.097148392,5970175.83039306,-9999.0
34,34,1750275.267400821,5970174.792979262,-9999.0
35,35,1750162.47581089,5970166.983213372,0.724144576
36,36,1750307.324196093,5970155.227241345,-9999.0
37,37,1750322.911401265,5970134.091311714,-9999.0
38,38,1750241.824827653,5970096.824953707,0.872468752
39,39,1750258.455411027,5970087.643080068,0.888061217
40,40,1750274.328636475,5970077.141037133,0.859191487
41,41,1750290.212231456,5970066.635392837,0.769698121
42,42,1750306.103737112,5970056.126997493,0.697606565
43,43,1750175.368464654,5970108.434090897,-0.027123304
44,44,1750322.02319136,5970045.320921782,0.608823525
45,45,1750330.203458685,5970035.646908892,0.588320756
46,46,1750338.363838063,5970026.108411592,0.576729718
47,47,1750353.224069563,5970014.142987902,0.525712498
48,48,1750361.029413428,5969994.17788131,0.596807695
49,49,1750369.026432696,5969979.763153947,0.894547288
50,50,1750376.628243578,5969964.016768138,1.190312524
51,51,1750400.192518164,5969933.599950667,0.555974993
52,52,1750407.883497762,5969913.507379335,0.606820516
53,53,1750400.643752518,5969893.401621576,0.989912275
54,54,1750415.433815509,5969893.640168195,0.50723215
55,55,1750415.078909395,5969846.422582918,0.175156652
56,56,1750486.708872969,5969812.451329096,0.383405063
57,57,1750494.834767408,5969788.755880653,0.526255813
58,58,1750503.058560788,5969773.815182338,0.55422222
59,59,1750518.133752983,5969762.147505886,0.472670884
60,60,1750542.791203958,5969740.484191396,0.254712173
61,61,1750557.988665983,5969727.747581059,0.160496346
62,62,1750573.832030346,5969716.788011255,-0.275600013
63,63,1750599.849974214,5969684.47462764,-9999.0
64,64,1750632.677543009,5969645.182135702,-9999.0
65,65,1750653.602307946,5969621.601293929,-9999.0
66,66,1750454.302628503,5969915.765344162,-0.13516433
67,67,1750763.087528197,5969604.911082999,0.346411761
68,68,1750670.778611673,5969603.410374748,-9999.0
69,69,1750719.915845616,5969579.776743486,-9999.0
70,70,1750697.359283163,5969595.024210982,-0.737000036
71,71,1750738.648362832,5969558.917604945,-0.511927749
72,72,1750772.026893938,5969538.332522142,1.255352953
73,73,1750810.321424975,5969548.078702075,0.28774335
74,74,1750787.964195549,5969528.086207659,-0.346548412
