OID,FID_,X,Y,BCE_Mahura
0,0,1749206.573854926,5970761.687878828,-9999.0
1,1,1749301.218555993,5970758.631716787,1.479500061
2,2,1749172.62997256,5970712.429907236,1.099062514
3,3,1749481.820279684,5970705.797550275,-9999.0
4,4,1749164.401730364,5970702.603189051,-0.238192272
5,5,1749534.693918753,5970678.464149185,-9999.0
6,6,1749119.443488274,5970663.450145527,0.064999998
7,7,1749646.130151202,5970624.383113518,-0.416151504
8,8,1749766.40328915,5970578.372490314,-0.516400033
9,9,1749753.207660684,5970553.344670732,-9999.0
10,10,1749845.707129009,5970541.295693304,-9999.0
11,11,1749885.968821291,5970550.689477889,-0.583999947
12,12,1749910.724075851,5970520.245610754,-0.620749958
13,13,1749942.823648152,5970509.7849178,-0.522942666
14,14,1749934.263422256,5970480.044453497,0.053443642
15,15,1749963.602960853,5970486.886145696,-0.407873834
16,16,1749980.742441843,5970491.619198735,-0.557952361
17,17,1750014.02330166,5970424.234942912,-0.264787502
18,18,1750047.000843836,5970428.76299637,-0.593285728
19,19,1750050.40443346,5970364.973866239,-9999.0
20,20,1750083.71325375,5970277.874825971,0.422350644
21,21,1750098.332104044,5970261.104756663,0.443915498
22,22,1750139.338731639,5970240.683992335,0.536997695
23,23,1750137.716925575,5970196.305592302,-9999.0
24,24,1750218.856446863,5970188.780321148,-0.156232698
25,25,1750270.005004034,5970166.671456808,-9999.0
26,26,1750299.114315458,5970128.922468165,-0.412811251
27,27,1750381.261561865,5970073.232951315,-9999.0
28,28,1750464.968094587,5969952.388400396,-0.121787501
29,29,1750476.940472185,5969902.338345316,-9999.0
30,30,1750555.875106363,5969807.329907815,-0.073340899
31,31,1750577.281421367,5969770.195884041,-0.492413785
32,32,1750616.375853176,5969711.724029104,-0.666999976
33,33,1750647.619122934,5969639.486311971,-9999.0
34,34,1750727.484325811,5969620.264829167,-0.00050611
35,35,1750775.703265001,5969593.972352158,0.38883333
36,36,1750883.023919131,5969447.103579661,-0.612737272
37,37,1750934.583536065,5969381.176322344,-0.583473693
38,38,1751014.655270361,5969360.145713161,0.522293567
39,39,1751006.22272168,5969334.427379635,0.13994253
40,40,1751006.273259858,5969315.521132128,-0.270180301
41,41,1751034.619114148,5969314.442299188,0.503843139
42,42,1751058.263008063,5969284.123655262,0.454611101
43,43,1751018.12362081,5969284.519857964,-9999.0
44,44,1751053.916788806,5969253.247464093,0.075864224
45,45,1751099.814906702,5969178.038486619,-0.382823512
46,46,1751180.865677481,5969127.981406577,-0.582202891
47,47,1751297.948708916,5968995.756141505,-9999.0
48,48,1751336.097504336,5968950.455419615,-9999.0
49,49,1751358.742598963,5968914.345995335,-9999.0
50,50,1751382.520238528,5968891.800131237,-9999.0
51,51,1751399.15926393,5968872.490814062,-9999.0
52,52,1751465.746755583,5968697.030720328,0.55127847
53,53,1751456.086304221,5968668.352590923,0.439779998
54,54,1751382.426962481,5968643.917865902,0.510341566
55,55,1751419.593972622,5968650.327675131,0.927253641
56,56,1751401.361401896,5968630.165196165,0.81903704
57,57,1751525.84309768,5968596.287499231,-9999.0
58,58,1751563.4033246,5968518.82239902,-9999.0
59,59,1750788.435686699,5968355.811885206,3.509540165
60,60,1750823.035166432,5968338.964915103,0.670476163
61,61,1751574.128282711,5968394.283097223,-9999.0
62,62,1751718.845738237,5968305.936176031,0.804446802
63,63,1751588.852041136,5968279.702827886,-9999.0
64,64,1750917.933180893,5968257.914536924,0.869523802
65,65,1751621.157748968,5968409.24754789,0.546753324
66,66,1750884.488518573,5968226.419224483,0.682702688
67,67,1751625.237200967,5968208.323615544,-9999.0
68,68,1750966.321282598,5968204.857956097,0.513846148
69,69,1751072.975053817,5968161.343364595,0.73573771
70,70,1751664.386748837,5968156.403276908,-9999.0
71,71,1751723.816658984,5968192.855621557,0.360733954
72,72,1751701.659306102,5968129.898646835,-9999.0
73,73,1751786.355174161,5968105.045685052,-0.075614004
74,74,1751129.483515526,5968110.298244004,0.871250004
75,75,1751798.758050682,5968072.152837795,-9999.0
76,76,1751849.823977718,5968063.774871492,3.184742834
77,77,1751507.159783516,5968061.389174675,-9999.0
78,78,1751743.760148117,5968109.325397564,-0.639599949
79,79,1751793.200943852,5968045.314552573,-9999.0
80,80,1751179.359825228,5968082.196729813,3.225401113
81,81,1751454.80811433,5968035.158358036,0.449500017
82,82,1751864.734808614,5968013.95153279,0.683471699
83,83,1751841.072334587,5968009.382634521,-9999.0
84,84,1751726.241834444,5967926.663921057,-0.147139998
85,85,1751919.909119371,5967913.248517727,0.977341777
86,86,1751750.184099324,5967910.726189531,0.253627274
87,87,1751828.46501134,5967908.210072689,-0.346571402
88,88,1751776.798546233,5967901.834141756,0.378549309
89,89,1751868.276290733,5967915.308065085,0.603413854
90,90,1751963.141183461,5967838.556843956,0.59780252
91,91,1751791.192361466,5967808.93718686,-9999.0
92,92,1751804.023584353,5967782.17519421,0.385837011
93,93,1751691.482556859,5967758.007031526,-0.469854542
94,94,1751780.233904808,5967756.248682911,-0.133333283
95,95,1752023.210794548,5967780.455532959,0.722910122
96,96,1751711.595226335,5967747.133879814,-9999.0
97,97,1751766.139440917,5967755.623497731,0.283330679
98,98,1751723.665403706,5967720.205729575,-9999.0
99,99,1752153.053388131,5967713.874834436,0.862943453
100,100,1751742.940324764,5967658.084224429,0.525778805
101,101,1751705.767756538,5967644.576896068,-9999.0
102,102,1751726.398938508,5967617.868876179,-9999.0
103,103,1751751.545506793,5967619.880542665,0.522572192
104,104,1751778.981707444,5967608.127571659,0.536638057
105,105,1751855.294110931,5967549.907963632,-0.408459453
106,106,1751827.463121843,5967534.354295601,-9999.0
107,107,1751917.081945592,5967552.997190236,0.459473974
108,108,1752325.274850341,5967521.538884546,1.019857134
109,109,1752355.897334472,5967506.876697781,0.816499985
110,110,1751906.863866056,5967512.284148188,-9999.0
111,111,1751945.175537136,5967503.85743231,-9999.0
112,112,1751964.87156693,5967477.127969155,0.465276107
113,113,1751959.878638805,5967434.107492029,-9999.0
114,114,1752052.572127847,5967437.450136011,-9999.0
115,115,1752092.756905243,5967436.641228296,0.583209056
116,116,1752108.684105012,5967421.510211667,0.655316468
117,117,1752120.589105174,5967411.332039836,0.639756091
118,118,1752004.492124105,5967410.347986188,-9999.0
119,119,1752072.942277078,5967401.888387242,-9999.0
120,120,1752087.836356194,5967381.275124251,-9999.0
121,121,1752107.807613558,5967371.681996304,-9999.0
122,122,1752149.455221553,5967374.224316813,0.768209915
123,123,1752706.156051477,5967350.735797126,-9999.0
124,124,1752135.731865183,5967356.237675867,-0.258142854
125,125,1752111.220794615,5967336.731422665,-9999.0
126,126,1752148.33379265,5967314.434147422,-9999.0
127,127,1752199.536649427,5967289.007122155,0.70056659
128,128,1752921.769248852,5967248.646455145,0.437207209
129,129,1752174.490450186,5967249.184809525,-9999.0
130,130,1752222.127263107,5967230.108060297,0.662824999
131,131,1752203.060475729,5967201.682651717,0.047022953
132,132,1752251.473288156,5967174.017209734,0.666153847
133,133,1753153.344547,5967063.976791553,1.014210524
134,134,1753971.786591073,5967063.795741487,0.407023805
135,135,1752316.053247456,5967058.411626807,0.518012339
136,136,1752311.142269218,5967024.181353413,-0.492888922
137,137,1752235.788322391,5967075.598628841,-0.457812513
138,138,1752277.382215289,5967016.706229293,-9999.0
139,139,1752298.799184264,5967009.4456664,-9999.0
140,140,1752363.23734367,5967009.037262192,0.060145837
141,141,1752253.69473546,5967003.724016775,-9999.0
142,142,1752495.236853106,5967001.539996,0.396442737
143,143,1752153.491197162,5966992.066425666,0.026578302
144,144,1752310.615605235,5966994.284402668,-9999.0
145,145,1752286.673984654,5966969.086528032,-9999.0
146,146,1752332.742337678,5966977.382252656,-9999.0
147,147,1752358.319897052,5966958.55329655,-9999.0
148,148,1752595.3277814,5966974.323832766,0.233166282
149,149,1752438.230963876,5966947.837989439,-0.727481482
150,150,1752398.197175916,5966940.148479249,-0.926600033
151,151,1753194.917273858,5966945.655987845,1.165337546
152,152,1753996.841550421,5966913.195919706,0.514656488
153,153,1752726.107213915,5966926.693354728,0.090345624
154,154,1753632.329611447,5966913.579251372,-0.342569657
155,155,1752782.676968018,5966906.465206022,0.113929146
156,156,1753573.903968939,5966892.516806769,-0.205027398
157,157,1753669.965150226,5966890.678897465,-0.338631917
158,158,1752340.405169352,5966904.008253336,-9999.0
159,159,1752433.456018412,5966900.690251034,-9999.0
160,160,1752812.176637584,5966885.746598857,-0.266516665
161,161,1752353.813507219,5966880.565017363,-9999.0
162,162,1752478.92824521,5966876.31732765,-9999.0
163,163,1752583.545617631,5966876.148845842,-9999.0
164,164,1753973.70518456,5966869.545768036,0.208516758
165,165,1752554.626076228,5966865.372983103,-9999.0
166,166,1752703.956547706,5966871.333590792,-0.870321438
167,167,1752923.569857648,5966862.925929187,0.260782003
168,168,1753018.817165535,5966861.23846119,-0.10533431
169,169,1752389.70323997,5966867.256354403,-9999.0
170,170,1753667.785194401,5966829.2104717,0.044680164
171,171,1753891.584513417,5966827.64989808,0.143366199
172,172,1752488.775756191,5966852.491502526,-9999.0
173,173,1753680.795835876,5966807.976787854,0.092273972
174,174,1752591.263409436,5966821.353237529,-9999.0
175,175,1752944.165086097,5966809.230986216,-0.735252335
176,176,1752629.487186869,5966804.239149988,-9999.0
177,177,1752681.672633033,5966803.518904819,-9999.0
178,178,1752968.147767968,5966798.837906778,-0.749227269
179,179,1753680.24407553,5966785.826396137,-0.330636363
180,180,1753924.33852341,5966787.374899857,-0.506457612
