OID,FID_,X,Y,BCE_Manaia
0,0,1816613.362801349,5920397.789212087,-0.177352957
1,1,1816609.180397979,5920375.876940526,-0.081000002
2,2,1818072.446918468,5920343.475228094,0.494971428
3,3,1820248.466124297,5920277.70386444,1.280176981
4,4,1816589.646368869,5920357.522132758,-0.870379723
5,5,1820277.568651693,5920260.700578913,1.488538439
6,6,1816597.735392231,5920337.368375214,0.37053998
7,7,1820361.518902077,5920210.393314115,1.069147024
8,8,1820369.271955186,5920194.897638516,1.121489196
9,9,1820376.938988194,5920170.592775441,1.0138481
10,10,1820642.188062838,5920161.202298376,1.041541515
11,11,1820704.132130544,5920112.247676916,1.360975038
12,12,1816466.551533425,5920202.388141158,-0.795798784
13,13,1816385.277750966,5920189.267523236,-0.153803844
14,14,1816480.931798227,5920180.75407513,-0.920649984
15,15,1817861.319525021,5920295.102560333,-0.049309063
16,16,1820108.862414946,5920076.477186674,0.742510627
17,17,1816373.210795166,5920171.912181965,-0.758389832
18,18,1816488.183575688,5920150.647694731,-0.899999976
19,19,1817609.394449834,5920126.493020055,-0.795999962
20,20,1819116.163260583,5920088.732489167,0.737112923
21,21,1816359.74401997,5920143.937894564,-0.719850005
22,22,1817585.523905226,5920112.706743795,-0.711046144
23,23,1819307.347348901,5920064.308761522,0.643999983
24,24,1816487.676792126,5920130.712554371,-0.899999976
25,25,1816349.454305683,5920124.135703045,-0.963
26,26,1817563.41429337,5920099.022891356,-0.731162283
27,27,1816487.170006961,5920110.777413506,-0.899999976
28,28,1815589.619487666,5920123.573158914,-0.963
29,29,1818545.899224732,5920048.217624567,0.647300006
30,30,1815565.708679572,5920117.2604001,0.191103455
31,31,1816469.851124858,5920117.564814843,-0.791088838
32,32,1815636.599960729,5920102.436040065,-0.963
33,33,1816005.697400974,5920092.354475735,-0.963
34,34,1815997.451326829,5920083.316933974,-0.958703703
35,35,1816462.121469403,5920071.518112248,-0.849886076
36,36,1816341.399037396,5920069.583144231,-0.536539565
37,37,1817498.683971328,5920058.785991998,-0.574104133
38,38,1816341.031846937,5920044.874537776,-0.010574081
39,39,1815989.777723162,5920057.329867513,-0.787973394
40,40,1816913.106631526,5919997.244519336,-0.89813331
41,41,1816876.945847199,5919991.144458193,-0.899999976
42,42,1815970.146101558,5920018.180991499,-0.846346633
43,43,1818511.925939394,5919930.226664621,0.303845238
44,44,1818494.504662399,5919919.872099667,0.159530864
45,45,1819189.899359219,5920009.697948175,0.267555876
46,46,1816442.367098239,5919989.193814847,-0.503938701
47,47,1818482.231663926,5919910.212818388,-0.027900001
48,48,1819925.379930743,5919854.652179826,0.167829629
49,49,1815938.99999981,5919966.972739573,-0.779391862
50,50,1817439.985777723,5919932.165526983,-0.577825291
51,51,1817410.643156016,5919887.342218933,-0.611178959
52,52,1815882.204192308,5919908.954788879,-0.796969603
53,53,1815864.465736965,5919897.183486683,-0.791555556
54,54,1815856.201675543,5919887.419096994,-0.958974683
55,55,1819034.22018094,5919843.915429076,-0.975592508
56,56,1817389.2995056,5919852.649201608,-0.186354912
57,57,1818972.375550487,5919797.88058929,-0.996074076
58,58,1818954.363839803,5919787.317554478,-0.96466892
59,59,1818445.077955932,5920001.786521182,0.525618449
60,60,1818789.514498221,5919917.393027692,0.282035369
61,61,1817024.007655556,5919807.86540243,-0.899999976
62,62,1818736.951627301,5919770.130020818,-0.36268085
63,63,1817360.177124062,5919764.38140822,0.407194965
64,64,1821021.231356924,5919665.150302133,1.063225006
65,65,1817374.12320853,5919787.298556418,-0.492747357
66,66,1818700.231840435,5919731.302759196,-0.720766187
67,67,1817383.320394227,5919728.881269566,-9999.0
68,68,1817113.929517703,5919695.855972663,-0.899999976
69,69,1817101.655276462,5919686.197051638,-0.899999976
70,70,1817374.164171687,5919684.231690353,-0.279863017
