OID,FID_,X,Y,BCE_Manaia
0,0,1818055.256600146,5920416.579819343,1.316548379
1,1,1818061.096428561,5920369.844019608,0.5116
2,2,1818028.793565675,5920360.69696686,0.425088048
3,3,1818072.859006223,5920359.568756366,0.568443034
4,4,1817992.210933377,5920340.957471483,0.223620004
5,5,1820203.256977324,5920274.208748231,1.175931844
6,6,1817947.144091903,5920302.94207003,-0.022775
7,7,1820195.682934988,5920245.594414792,1.01137499
8,8,1816592.121633295,5920388.162811999,-0.89069937
9,9,1817910.562128877,5920283.202644908,-0.174901959
10,10,1820294.219459353,5920246.181974147,1.17342708
11,11,1817749.678078433,5920268.298066891,-0.390785716
12,12,1820365.031992192,5920185.22305943,1.027843762
13,13,1820382.056698056,5920157.296233476,0.980623851
14,14,1816624.89796884,5920236.400924216,-0.891197716
15,15,1820456.301913516,5920139.342947884,0.953890908
16,16,1818115.891587158,5920195.710226515,0.087829934
17,17,1816642.179667982,5920216.549015556,-0.899999976
18,18,1820752.202812778,5920111.001715526,1.322900029
19,19,1820647.634929287,5920103.938646452,0.924642869
20,20,1820735.920886131,5920101.449396621,1.534886116
21,21,1820775.823263028,5920100.616323775,1.063053561
22,22,1816669.713101597,5920195.900660353,-0.899799979
23,23,1816681.477481293,5920185.627420309,-0.899999976
24,24,1820607.994158404,5920172.389179626,0.999653941
25,25,1816693.240998239,5920175.353763466,-0.891157209
26,26,1818439.787713904,5920130.733584407,0.935824991
27,27,1820695.963211885,5920094.751785251,1.081870069
28,28,1816381.895604333,5920176.860689378,-0.290714287
29,29,1819535.261952744,5920097.123823016,0.49575714
30,30,1820098.854053858,5920083.977635037,0.810913978
31,31,1816023.743686469,5920171.688047993,-0.963
32,32,1816704.59642598,5920160.10376811,-0.899999976
33,33,1818460.597228396,5920110.991694836,0.827408797
34,34,1819556.750747472,5920082.262148025,0.30910909
35,35,1820109.733819021,5920068.513065063,0.711480746
36,36,1816480.425037243,5920160.81894358,-0.905817414
37,37,1818504.458828032,5920099.555610856,0.798513044
38,38,1819462.665762002,5920070.880534828,0.372874998
39,39,1819572.692392469,5920072.402840906,0.002111106
40,40,1820124.662974629,5920056.293288141,0.569535717
41,41,1818076.725724213,5920132.382159722,-0.27514546
42,42,1818418.735850903,5920091.376866589,0.954649997
43,43,1819266.372823608,5920069.054211225,0.582824561
44,44,1819299.616994877,5920065.101455934,0.621578938
45,45,1819588.283505071,5920061.500565455,-0.486888891
46,46,1818520.605300438,5920086.010162447,0.700804552
47,47,1819091.587708018,5920069.105467527,0.978378906
48,48,1819439.685730369,5920050.328761145,-9999.0
49,49,1816719.759751186,5920114.835427883,-0.899999976
50,50,1819117.925881886,5920079.762383996,0.716641454
51,51,1819243.480549483,5920050.159556588,0.693287497
52,52,1819283.326297022,5920049.410246295,0.325333325
53,53,1819307.703960776,5920055.815101928,0.538958314
54,54,1819323.350247605,5920047.946418968,0.551906674
55,55,1819430.849248652,5920041.178227487,0.189333325
56,56,1819235.156245729,5920040.474962232,0.810000009
57,57,1816479.28481716,5920115.964885266,-0.937093448
58,58,1819098.95824177,5920043.980267076,0.926433335
59,59,1818709.072455262,5920033.887961712,0.781333347
60,60,1819154.654985891,5920027.585718741,0.340622637
61,61,1819411.007687387,5920015.851351152,0.238545453
62,62,1816470.386405644,5920081.282028375,-0.939945831
63,63,1816744.61290812,5920082.803533053,-0.899999976
64,64,1818032.096949982,5920041.054349472,-0.639469381
65,65,1818387.950393193,5920038.801999754,0.928017048
66,66,1818723.374423025,5920026.084445906,0.653861333
67,67,1818846.367782992,5920017.909863259,0.713399994
68,68,1819162.300527519,5920013.154884442,0.168208337
69,69,1819250.390927631,5920009.432716023,-0.013944448
70,70,1819266.432882402,5920009.746960794,-0.071691356
71,71,1819402.637390962,5920006.229789886,0.227753082
72,72,1818585.189791655,5920017.286624259,0.744925001
73,73,1818777.301342673,5920012.151896312,0.5795818
74,74,1819105.944026554,5920003.903596127,0.758324992
75,75,1819299.492192963,5920010.006727165,-0.019650333
76,76,1819394.362033771,5919996.477732726,0.27021519
77,77,1816002.624025074,5920076.53646839,-0.963
78,78,1817487.34763019,5920035.421876165,-0.787126574
79,79,1818368.036902387,5920012.88371554,1.529489337
80,80,1818540.550282686,5920033.060753716,0.704446014
81,81,1818576.755490456,5920007.327627466,0.651196423
82,82,1818801.265575899,5920002.49057289,0.556018185
83,83,1819233.873166126,5919990.636784506,-0.232525006
84,84,1819330.168907465,5919987.955796641,-0.114912283
85,85,1820876.087799681,5919947.998062694,0.977763658
86,86,1816793.815498777,5920033.142435554,-0.899999976
87,87,1817478.826940037,5920015.691296585,-0.806150015
88,88,1818375.537263367,5919992.743037187,1.098240704
89,89,1818561.291965627,5919988.444035589,0.603823172
90,90,1819439.943954129,5919990.13303843,-0.246769701
91,91,1815996.566450203,5920048.430235611,-0.963
92,92,1816386.209064019,5920166.288116259,-0.940057734
93,93,1816332.827206803,5920024.732177852,-0.414678569
94,94,1819112.516733756,5919954.064617471,0.143054548
95,95,1819873.772304834,5919934.241295099,0.1012
96,96,1819865.503366915,5919924.480503693,0.143240506
97,97,1820890.818251817,5919897.744056423,1.022210515
98,98,1815759.462139246,5920118.212233159,-0.954551367
99,99,1815981.977505915,5920026.358662102,-0.96076875
100,100,1816922.580871191,5919992.098540431,-0.898397453
101,101,1819096.137205436,5919934.3362999,0.678899993
102,102,1815963.38297971,5920004.389054997,-0.963
103,103,1816347.934057684,5919994.627205675,-0.8519
104,104,1818125.933702011,5919942.555138278,-0.481106219
105,105,1818376.325848057,5919932.341633615,0.067447514
106,106,1816443.691610973,5919977.233043861,-0.927782608
107,107,1817428.976096964,5919947.145639702,0.529424998
108,108,1818150.010170976,5919928.704468533,-0.435800001
109,109,1818157.922840016,5919918.326298814,-0.472425913
110,110,1818489.397938533,5919932.114955951,0.110778639
111,111,1818734.593782825,5919903.734090067,0.443200001
112,112,1818365.809416249,5919903.224959898,-0.0796
113,113,1818173.121976244,5919898.391184198,-0.555418205
114,114,1818461.535218342,5919890.996757254,-0.198872717
115,115,1819951.305524299,5919868.433250399,0.165979499
116,116,1820999.499257219,5919821.959537972,2.550899947
117,117,1819853.240748207,5919870.430401441,0.093567124
118,118,1815929.976178777,5919938.7443435,-0.963
119,119,1817419.691905946,5919897.512135278,-0.848133288
120,120,1818188.634108471,5919878.045414083,-0.555578971
121,121,1818485.057881595,5919870.444880937,-0.147037031
122,122,1819831.141159456,5919835.599007527,0.115531645
123,123,1820031.447027189,5919831.152757181,0.349960005
124,124,1820063.474189379,5919829.597822397,0.380649997
125,125,1819822.891120636,5919826.564987275,0.101836364
126,126,1818204.146164015,5919857.699611762,-0.559035738
127,127,1818845.199052933,5919840.319672476,0.111269231
128,128,1821029.202690067,5919783.318702075,1.198000014
129,129,1818492.302053897,5919840.336456709,-0.222509089
130,130,1815856.454386604,5919897.386463617,-0.491407413
131,131,1815884.502991814,5919897.026380717,-0.963
132,132,1818349.654642479,5919863.187050059,-0.250012988
133,133,1818519.542768489,5919833.051951372,-0.204449135
