OID,FID_,X,Y,BCE_Manaia
0,0,1816612.22043663,5920422.510881023,-0.667091204
1,1,1818039.629528644,5920351.031333283,0.373005146
2,2,1818070.133943413,5920306.708035789,0.360740662
3,3,1816585.477901303,5920310.172626406,-0.859247765
4,4,1816601.991324266,5920311.281367616,-0.189527276
5,5,1816603.896572472,5920287.340305649,-0.883224977
6,6,1816611.526011862,5920272.180421253,-0.877799976
7,7,1818103.317890249,5920227.691352008,0.162768362
8,8,1816623.179634115,5920246.341294582,-0.894022198
9,9,1816643.717933309,5920237.148424346,-0.347798378
10,10,1816419.772904977,5920236.024339468,-0.963
11,11,1816656.985016799,5920223.989871158,-0.219027005
12,12,1816650.191594563,5920216.344762386,-0.899999976
13,13,1816391.961949831,5920217.451910418,-0.796020408
14,14,1816454.960686164,5920209.672114043,-0.536894736
15,15,1816659.42811029,5920200.477855092,-0.899982536
16,16,1816696.805028199,5920183.427318201,-0.644470567
17,17,1816681.223965394,5920175.659689843,-0.899999976
18,18,1815981.379560089,5920187.099286387,-0.963
19,19,1815958.603949166,5920184.718756265,-0.963
20,20,1816029.537798542,5920172.734160502,-0.963
21,21,1816356.882473049,5920188.882524736,-9999.0
22,22,1816711.125274103,5920153.634500599,-0.881106773
23,23,1816006.885564178,5920171.287665026,-0.809685714
24,24,1815876.486974255,5920140.001223718,-0.963
25,25,1817744.836828177,5920078.912378075,-9999.0
26,26,1815506.817307744,5920139.525379539,-0.963
27,27,1815810.503591559,5920129.64747439,-0.963
28,28,1816363.696436749,5920132.436080801,0.459045453
29,29,1816749.995077099,5920093.148814337,-0.87153844
30,30,1815460.708941097,5920118.323344091,-0.963
31,31,1816023.563445414,5920112.304297186,-0.919908277
32,32,1817615.621765049,5920041.916345594,-9999.0
33,33,1817657.070205248,5920044.519765723,-9999.0
34,34,1815653.310963148,5920084.468672499,-0.963
35,35,1816776.067269613,5920054.711330188,-0.899999976
36,36,1815681.425298738,5920067.662426974,-0.963
37,37,1815743.42788715,5920073.404918112,-0.963
38,38,1816309.98507151,5920051.389144117,-0.963
39,39,1816332.749513865,5920039.875616366,-0.464920344
40,40,1815451.322450096,5920094.221898087,-0.963
41,41,1816332.441738788,5920014.833710163,-0.843897434
42,42,1816350.765265548,5920018.381446655,1.181137498
43,43,1816484.636892851,5920011.100398782,-0.899999976
44,44,1816853.166175778,5920001.723561998,-0.844399977
45,45,1816340.176457084,5920004.797904102,-0.833524999
46,46,1816879.013543403,5919993.287149919,-0.894362767
47,47,1815979.406278877,5920003.982271736,-0.963
48,48,1816355.945797407,5919994.423252045,-0.556437495
49,49,1818414.646439897,5919931.893683494,-0.064970832
50,50,1816455.818566536,5919979.838985061,-0.963
51,51,1818452.396981269,5919930.453993424,-0.092594936
52,52,1819089.099931144,5919904.118516909,0.079737281
53,53,1819536.002489755,5919893.083377371,0.262600003
54,54,1816403.128603056,5919958.315087774,-0.759308267
55,55,1817734.591797837,5919923.79627783,-0.99000001
56,56,1817011.364235116,5919917.901016519,-0.873574977
57,57,1817019.121640489,5919907.729256917,-0.713374981
58,58,1819005.720575686,5919846.871121231,0.424625004
59,59,1815897.017346044,5919916.305224903,-0.960325
60,60,1818013.321101449,5919863.125105605,-0.507693752
61,61,1818516.749792635,5919849.480711782,0.189948722
62,62,1819774.547404634,5919817.109986314,0.061189527
63,63,1819814.520428181,5919816.036110396,-0.031292882
64,64,1815844.437775834,5919897.690508017,0.287012819
65,65,1818088.064946225,5919841.10697764,-0.470155969
66,66,1817971.079340337,5919828.556758076,-0.42265272
67,67,1818066.42138392,5919801.381570458,-0.360535709
68,68,1817705.400056686,5919790.671300292,-0.911732143
69,69,1817016.638569693,5919768.155619762,-0.899999976
70,70,1817664.324122958,5919751.824942445,-0.931200003
71,71,1817392.696049952,5919748.588805947,-9999.0
72,72,1817672.393709454,5919741.241939059,-0.878800012
73,73,1817011.051413667,5919748.349959794,-0.897987398
74,74,1817911.852080446,5919753.343561743,-0.404932632
75,75,1817827.558744746,5919712.111296068,-0.557106482
76,76,1817391.153304077,5919698.75798702,-9999.0
77,77,1817717.244350956,5919699.534279239,-0.784720714
78,78,1817966.967866283,5919674.264121949,-0.831196421
79,79,1817744.557055333,5919673.701281351,-0.713816387
80,80,1817449.681043324,5919672.639676399,-9999.0
81,81,1817047.343602691,5919669.57985129,-0.377490631
82,82,1819015.484219881,5919597.487330331,-0.323689664
83,83,1819279.534475527,5919595.47696017,-0.046761469
84,84,1817308.038037451,5919630.610204111,-0.158953104
85,85,1819007.049752997,5919587.528751426,-0.367746836
86,86,1819141.46846638,5919590.744387924,0.023204918
87,87,1817668.2584042,5919592.138488223,-9999.0
88,88,1817411.294381962,5919568.5802074,-0.660359844
89,89,1818904.93451042,5919529.724963267,-0.208027517
90,90,1818836.404496447,5919523.751402589,-0.293887172
91,91,1818370.684510329,5919474.41040457,-0.524851841
92,92,1818611.016932969,5919468.242940263,-0.76665455
93,93,1818619.085106723,5919457.658970402,-0.761454555
94,94,1819206.175579716,5919435.967409053,0.033634989
95,95,1818978.757817789,5919428.87005369,-0.066321427
96,96,1818975.470504521,5919402.109892336,-0.075047617
97,97,1818184.798216754,5919409.155543146,-0.410133332
98,98,1818303.373275842,5919443.96955405,-0.533556596
99,99,1818262.958614554,5919399.041092888,-0.568462452
100,100,1819093.920469174,5919380.821922431,0.0509375
101,101,1819065.368949175,5919361.608137066,0.04924375
102,102,1818145.190215113,5919381.163562783,-0.584132946
103,103,1818324.009586199,5919367.90445536,-0.618244812
104,104,1818322.554664911,5919336.811421771,-0.639449268
105,105,1818898.638524821,5919479.475612154,-0.191815765
106,106,1819051.258265059,5919332.157231168,0.071390566
107,107,1818101.168047203,5919353.158451057,-0.725930739
108,108,1818286.740323808,5919326.950393391,-0.644517863
109,109,1818354.270106767,5919310.367813859,-0.494799997
110,110,1818250.388038383,5919310.148339991,-0.655982585
111,111,1818960.393986951,5919278.149504671,0.093881662
112,112,1818247.081548058,5919234.504717181,-0.679433525
113,113,1818780.857153382,5919214.524968347,-0.326481478
114,114,1818211.831591694,5919219.154818158,-0.716392853
115,115,1817389.441644697,5919253.562904511,-0.899999976
116,116,1817946.70870907,5919196.02376121,-0.941755589
117,117,1817890.382945631,5919232.528262082,-9999.0
118,118,1818836.496599114,5919261.077348487,-0.171105061
119,119,1818193.766174156,5919139.824486082,-0.570214289
120,120,1817864.815135899,5919128.300898101,-9999.0
121,121,1818721.362568048,5919099.967058938,-0.185342175
122,122,1817357.371745622,5919135.602286948,-0.899999976
123,123,1817800.120782297,5919099.832563559,-9999.0
124,124,1817555.722369457,5919086.717994797,-0.899999976
125,125,1817751.674139908,5919086.110698558,-9999.0
126,126,1817767.469573391,5919070.544155857,-9999.0
127,127,1818085.539217642,5919062.603067303,-0.345510642
