OID,FID_,X,Y,BCE_Mangon
0,0,1649989.316920693,6129726.07303134,0.640275009
1,1,1649627.890728846,6129619.74720905,0.170391723
2,2,1649680.137572448,6129624.947079526,0.40850215
3,3,1649668.865470518,6129608.274521543,0.086479421
4,4,1649971.753774217,6129566.498183148,0.455580052
5,5,1649401.437541254,6129536.218292752,0.142375102
6,6,1649216.365763801,6129331.780132808,0.079930389
7,7,1649228.119940083,6129311.793552427,-0.246588712
8,8,1648363.073677449,6129236.719990366,-0.077058806
9,9,1648420.364991097,6129216.491237682,0.043400581
10,10,1649215.673649722,6129237.280243835,-0.181123499
11,11,1649190.037004715,6129177.650057147,0.080196114
12,12,1649190.688493937,6129131.942944726,-0.227615389
13,13,1649198.811302362,6129117.683613237,-0.372999997
14,14,1649229.26403094,6129072.583845982,-0.347749756
15,15,1649288.6017043,6129042.480995387,-0.69104759
16,16,1649266.848081804,6129039.732905732,0.521129329
17,17,1648017.486007154,6129009.411191174,-9999.0
18,18,1649298.294537406,6129004.879104018,0.281253888
19,19,1648039.733603839,6128995.457506371,-0.525666714
20,20,1649280.079473497,6128982.752584356,0.250275016
21,21,1648058.321488174,6128978.581071932,-9999.0
22,22,1648085.497616888,6128948.875604489,-0.289909073
23,23,1649161.75124339,6128935.571727149,-0.214947927
24,24,1648104.508045777,6128925.932977282,0.042687524
25,25,1648143.945048991,6128889.196275551,-0.720935456
26,26,1648160.291035565,6128879.147587118,-9999.0
27,27,1648164.285366964,6128859.201817193,-0.815250024
28,28,1648164.127529743,6128829.315541159,0.087650937
29,29,1650648.263796205,6128776.01021479,0.678408332
30,30,1649101.038484477,6128836.828584613,0.89525457
31,31,1649049.265663042,6128754.861954158,-0.439918906
32,32,1648143.291889385,6128727.814019381,0.264362927
33,33,1650778.507659413,6128605.924945021,0.601988878
34,34,1650794.850215255,6128595.871523549,-0.044087498
35,35,1648160.3063063,6128624.255786628,-9999.0
36,36,1649006.605148817,6128668.147412881,-0.1033942
37,37,1650843.877667714,6128565.711074564,0.706708325
38,38,1648228.32521628,6128564.973439462,-9999.0
39,39,1648203.115896511,6128576.196372757,0.220683626
40,40,1648228.951128791,6128516.637986009,0.451587281
41,41,1648213.568807381,6128487.843053306,0.582699107
42,42,1651113.885819406,6128464.577590218,0.71070773
43,43,1651171.054503569,6128424.407291167,0.391774988
44,44,1648202.024082177,6128449.881309449,0.162587238
45,45,1651187.396308959,6128414.353154999,-0.334857159
46,46,1648211.163608894,6128420.609748553,-0.546222241
47,47,1651203.738078569,6128404.298988984,0.286175017
48,48,1651220.079812402,6128394.244793128,-0.08200003
49,49,1651236.421510454,6128384.190567425,0.173505624
50,50,1649075.724141728,6128457.545756986,0.46730059
51,51,1648194.450179796,6128360.923729733,-9999.0
52,52,1651277.219245483,6128349.093597066,0.723812485
53,53,1649074.504643283,6128332.061624578,0.937189091
54,54,1648157.23997156,6128301.346134045,-9999.0
55,55,1648125.671360821,6128274.946380815,-0.15893281
56,56,1648501.109555339,6128209.862176474,-9999.0
57,57,1648521.393926096,6128169.904913278,-9999.0
58,58,1648176.842090448,6128131.882154284,-9999.0
59,59,1651284.131322232,6128124.801129423,1.266979089
60,60,1650921.489298154,6128322.629844178,0.621453038
61,61,1650880.613233555,6127803.948876915,0.267383178
62,62,1650863.9734282,6127788.733917987,0.121017542
63,63,1650872.074379153,6127768.694453468,0.30805063
64,64,1650862.710364457,6127559.26850586,0.718408147
65,65,1650862.750971042,6127539.475628247,0.633220771
66,66,1648878.71467523,6127530.403308314,-0.546269191
67,67,1648903.415658909,6127550.195664636,-0.620771378
68,68,1648843.869332533,6127510.098565384,-0.418096911
69,69,1648812.917124499,6127490.906184959,-0.254074992
70,70,1650850.030109203,6127602.88238648,0.657710136
71,71,1650878.299244595,6127424.431470484,2.414349743
72,72,1650878.36876791,6127399.91435148,0.530625003
73,73,1650870.02550519,6127373.91490156,0.146273381
74,74,1648857.285324385,6127356.176091366,0.173229359
75,75,1648861.082539999,6127246.569334986,-0.189499996
76,76,1648861.697326181,6127188.144319237,-0.166453782
77,77,1650886.376057659,6127231.681458876,1.230093375
78,78,1650934.224091758,6127130.58275913,0.536202514
79,79,1651195.570637651,6126949.828441749,1.137188889
80,80,1651236.279981948,6126909.681535685,0.967037975
81,81,1649912.762592886,6126897.748755023,0.087445299
82,82,1651249.98279632,6126892.796038941,1.045830367
83,83,1649969.657498479,6126886.894115617,-0.021494115
84,84,1650223.778883426,6126885.497442941,0.111260504
85,85,1650318.04979562,6126884.97758851,-0.144799996
86,86,1649842.178316951,6126889.414556715,1.422758839
87,87,1650162.243112633,6126875.873898291,0.398240001
88,88,1648965.361333396,6126872.41947435,-0.021125
89,89,1649776.853879857,6126858.061739299,0.413749997
90,90,1650063.669361428,6126867.907230826,0.585169126
91,91,1650350.619547435,6126844.947989009,0.177333332
92,92,1649407.0983932,6126839.643680491,4.765727997
93,93,1649754.785517341,6126840.433450975,0.662425678
94,94,1649727.506213338,6126828.44380109,0.49746393
95,95,1648989.685950002,6126822.476708323,0.080025974
96,96,1650368.22065657,6126827.187513543,0.091452196
97,97,1649000.56096705,6126812.052643046,0.061448276
98,98,1650383.189011231,6126804.918267537,0.143825002
99,99,1650397.250692009,6126792.128042825,0.121734423
100,100,1649139.091464008,6126789.44998426,0.297782337
101,101,1649457.265114991,6126770.139565167,2.593967792
102,102,1649031.352346718,6126769.093541212,0.341201196
103,103,1649104.781642376,6126780.039667386,0.369152774
104,104,1649518.553819278,6126766.194829235,0.836801959
105,105,1649080.860027477,6126746.927246258,0.476452603
106,106,1650419.458139549,6126752.394121545,0.236092373
107,107,1649586.874699666,6126709.553037277,3.156070185
108,108,1649644.663960353,6126669.496552195,5.202740527
109,109,1649206.341261796,6126691.43228736,0.089422867
110,110,1650474.140851557,6126644.445031319,0.315711291
111,111,1650488.794883376,6126545.549974447,0.398985075
112,112,1650504.714709007,6126545.222202179,-0.229950007
113,113,1649115.433065742,6126540.019856502,-0.501972829
114,114,1649594.4460434,6126510.575395185,0.704105248
115,115,1649102.732090482,6126503.071055584,-0.721542355
116,116,1650506.152654058,6126502.829875984,-0.223365215
117,117,1649110.607135766,6126443.254087374,-0.410366651
118,118,1650528.100958741,6126435.505669907,-9999.0
119,119,1650528.421227582,6126415.783307827,-9999.0
120,120,1649118.696793835,6126423.285667687,0.086531047
121,121,1649126.786467641,6126403.317227174,0.135483199
122,122,1650512.414374992,6126411.649240372,0.123438777
123,123,1650527.824803846,6126385.694962711,-0.826249965
124,124,1649147.11782224,6126373.320327054,-0.088999977
125,125,1649162.056085838,6126356.63572098,-0.034076914
126,126,1650520.068540715,6126336.011501553,0.22318987
127,127,1649175.619231757,6126338.298105144,-0.647857113
128,128,1650538.35113114,6126328.35251563,-0.278999996
129,129,1650550.25398444,6126261.101218008,-0.19294197
130,130,1649240.969933727,6126207.913204964,-0.777101118
131,131,1650967.163244667,6126758.266153025,0.694056852
132,132,1650739.420266655,6126165.106163431,1.730545494
133,133,1650723.879796302,6126156.197468078,0.429561325
134,134,1649236.041775807,6126145.478571626,-0.45575
135,135,1649584.57361467,6126091.822279189,2.245989569
136,136,1649424.248882151,6126082.911149946,0.292907689
137,137,1649537.81856391,6126406.870580214,0.561802413
138,138,1649396.104022479,6126073.101243157,-0.074821423
139,139,1650601.299703097,6126114.945911268,-0.209387686
140,140,1650756.108148047,6126055.665441157,0.298300001
141,141,1649491.353902667,6126071.955583975,-0.293970117
142,142,1650641.243279376,6126036.379542243,-9999.0
143,143,1649534.801006563,6126032.294423522,-0.508662761
144,144,1650772.165773766,6126025.484336345,0.395857132
145,145,1650788.728405449,6126025.596350147,0.418116682
146,146,1650805.066261535,6126015.542819264,0.488475002
147,147,1650788.399295484,6125996.962982898,1.383012535
148,148,1649673.706289358,6125981.930378532,0.743733826
149,149,1650772.057639755,6125975.876920866,0.284124984
150,150,1649706.384224921,6125961.82729896,1.598290976
151,151,1649722.668721305,6125941.813629624,4.294988129
152,152,1650672.090265021,6125954.483948053,0.365281379
153,153,1650819.514993597,6125666.776099494,-0.462999965
154,154,1650720.997063394,6125728.880128425,0.454587143
155,155,1649507.549352381,6125852.579869978,0.449985207
156,156,1649925.728139785,6125601.980185685,1.333362505
157,157,1650737.760561711,6125597.494471783,-0.400999963
158,158,1649942.011546221,6125581.966048031,1.83137811
159,159,1650909.174169403,6125576.613389424,0.310789486
160,160,1650204.535551113,6125557.467503372,-9999.0
161,161,1650286.035872157,6125540.224023215,-9999.0
162,162,1650109.632656151,6125523.448920776,1.610014262
163,163,1650326.907101785,6125520.073442916,0.585537514
