OID,FID_,X,Y,BCE_Mangon
0,0,1649960.677262888,6129736.188873431,0.659855763
1,1,1649981.71482101,6129726.114678051,0.73262747
2,2,1649955.864387533,6129716.293864252,1.058690893
3,3,1649948.706606426,6129695.916597716,1.020343135
4,4,1650001.873673869,6129706.656010972,0.624243701
5,5,1650021.674620633,6129675.879434971,0.484807021
6,6,1649932.725261211,6129665.866145916,1.02076363
7,7,1649488.525477586,6129619.944941254,0.898408179
8,8,1649512.900161595,6129609.326574992,0.166912277
9,9,1649604.974992231,6129628.554925617,0.444845283
10,10,1649447.417908259,6129600.24306445,0.746076926
11,11,1649683.322220062,6129601.269604551,0.013235356
12,12,1649832.704387068,6129578.22199918,0.840020016
13,13,1649426.725322228,6129564.758814011,-0.011726154
14,14,1649750.371657553,6129548.26035816,0.371052632
15,15,1649373.075758124,6129500.293834707,-0.161375001
16,16,1649330.178236504,6129481.134631115,0.038412698
17,17,1650045.237696502,6129456.053788249,-0.350443249
18,18,1649228.826520601,6129361.600030564,0.07159375
19,19,1649224.565419332,6129331.735892752,-0.136908044
20,20,1648322.187568427,6129246.800487018,0.603171053
21,21,1648416.733373547,6129206.334799507,-9999.0
22,22,1649207.467535541,6129202.317172758,-0.287833334
23,23,1648436.609221247,6129187.246044678,-0.58185712
24,24,1648452.898464557,6129166.506757659,-0.391193732
25,25,1649198.47885888,6129137.653002246,-0.20528508
26,26,1649198.8387509,6129088.257551703,-0.091675326
27,27,1649207.025263661,6129068.669237141,0.192
28,28,1649251.527113996,6129051.071591208,0.361260215
29,29,1649272.193632334,6129032.904279852,0.263670915
30,30,1649296.039265114,6129030.30568025,0.32689153
31,31,1647999.646766309,6128998.608364869,2.407540963
32,32,1648017.699784056,6128990.681791617,0.880767852
33,33,1648034.093056856,6128979.958130743,0.680842871
34,34,1649256.197224245,6128971.684617057,3.332587561
35,35,1648042.635750565,6128970.822398864,0.938632427
36,36,1649173.380649422,6128963.403677473,0.548000002
37,37,1648058.306826241,6128959.487615224,-9999.0
38,38,1649156.943569718,6128953.511181235,1.54941557
39,39,1649173.273177499,6128943.479563993,-0.689476158
40,40,1648068.562383265,6128978.793614422,-0.698199975
41,41,1649132.185043811,6128923.757251437,1.782639583
42,42,1649156.767181951,6128923.643771005,-0.609592508
43,43,1648083.083880528,6128926.616950961,0.633074391
44,44,1649124.786664261,6128913.259131775,2.065573798
45,45,1648099.077577705,6128914.623715882,-0.263516106
46,46,1648107.621203915,6128900.110877931,-0.510999983
47,47,1648129.702706962,6128911.470468391,0.050450024
48,48,1649116.19944448,6128893.495829942,1.776347477
49,49,1648116.122183658,6128890.92073267,1.704522206
50,50,1648160.343624677,6128889.109634953,-9999.0
51,51,1648131.732881603,6128879.477632344,-0.61848146
52,52,1649107.675599875,6128873.752636943,1.157660209
53,53,1648160.238382156,6128869.185505954,-0.732333308
54,54,1648148.511651877,6128856.140196418,2.217245913
55,55,1649092.336907288,6128843.494158615,-9999.0
56,56,1648155.980931678,6128839.320917056,1.019803583
57,57,1649132.847401085,6128870.67257305,-0.391926658
58,58,1649083.690484644,6128823.724145077,5.597330411
59,59,1649106.868039072,6128824.492990676,0.250945461
60,60,1650599.238607035,6128806.897601656,0.128150942
61,61,1648680.57057027,6128806.64895383,-0.504600005
62,62,1648696.968935602,6128806.561398661,-0.264025001
63,63,1649090.362376752,6128804.657095701,0.34453571
64,64,1650615.577680091,6128796.116486251,0.395393257
65,65,1648705.114853247,6128796.55566456,-0.412300654
66,66,1649058.352786819,6128793.613205571,5.422500134
67,67,1648168.749235294,6128824.642166377,0.29733538
68,68,1649074.019949431,6128783.887913439,0.223423085
69,69,1650640.064625838,6128776.055740204,0.638283332
70,70,1648156.839065501,6128743.01357989,-9999.0
71,71,1648124.247556015,6128699.460653743,3.054749984
72,72,1650685.202293633,6128722.258001492,0.988640959
73,73,1649007.761534709,6128660.442401431,-0.623924541
74,74,1648154.955298175,6128645.060040182,-9999.0
75,75,1648991.24623067,6128635.644152137,0.316387504
76,76,1648136.21367545,6128666.728425751,-0.337694469
77,77,1649015.773168862,6128625.530968408,-0.7704373
78,78,1648999.61960529,6128616.987990088,0.189706972
79,79,1650756.032699415,6128628.123765009,0.663356093
80,80,1650798.894233785,6128585.886578374,0.859199992
81,81,1648152.804336836,6128607.874507594,0.346074106
82,82,1648186.838359039,6128602.009182104,-9999.0
83,83,1649008.010089331,6128592.321353282,2.075414634
84,84,1650811.141291158,6128576.583985744,0.83638597
85,85,1650827.479701511,6128565.802479561,0.723000306
86,86,1648177.308452257,6128578.147670843,2.722405847
87,87,1650843.822132076,6128555.748960943,0.694622408
88,88,1650893.01597908,6128555.474592677,0.733116903
89,89,1648220.15250117,6128569.997859037,-9999.0
90,90,1649032.384347535,6128579.51163388,0.247621061
91,91,1649056.339562104,6128545.613771928,-9999.0
92,92,1651003.590718845,6128534.93204844,1.039282345
93,93,1649032.020066179,6128541.523304204,0.516864863
94,94,1651028.539457306,6128514.202831933,1.056027003
95,95,1648234.742159898,6128538.04095968,-9999.0
96,96,1649040.245072982,6128521.903285893,0.511757139
97,97,1649072.603553874,6128520.620237411,-0.695642831
98,98,1651048.350704391,6128504.998659513,0.764181814
99,99,1648810.184724233,6128512.066032765,0.170570832
100,100,1651064.692787691,6128494.944747592,0.783771936
101,101,1649048.486887006,6128502.341867006,2.099202597
102,102,1651077.104328689,6128485.057131521,0.775638667
103,103,1648210.631552237,6128533.030254781,1.668128686
104,104,1651103.464098168,6128471.848375024,0.74467548
105,105,1648211.426922337,6128470.420234896,-0.607185209
106,106,1651117.931383526,6128454.941106796,0.68569807
107,107,1648219.573122269,6128460.414792689,-9999.0
108,108,1648859.031144734,6128447.049052753,-9999.0
109,109,1649090.573783002,6128474.163630245,-0.37207344
110,110,1649072.147828877,6128435.942436643,4.176058483
111,111,1651149.906033312,6128433.137449749,0.696231435
112,112,1651175.098032829,6128414.422171103,-0.352637506
113,113,1650719.951075561,6128397.039943377,0.294600002
114,114,1648205.843693814,6128422.916702831,-0.186485267
115,115,1649083.000316725,6128399.747191362,1.282887182
116,116,1649104.809209377,6128410.86077576,-0.658082658
117,117,1651214.377081049,6128386.440544713,0.037328769
118,118,1649088.143407271,6128361.13834762,0.251037497
119,119,1651263.40024674,6128350.973681265,0.666619786
120,120,1649088.009350009,6128336.233084438,-0.284048689
121,121,1649056.345672101,6128325.46533292,2.885086477
122,122,1648111.989347475,6128271.697846696,0.105774999
123,123,1648141.767599788,6128268.558805852,-0.408488358
124,124,1648114.19296679,6128244.943443845,0.105625001
125,125,1648144.521147538,6128221.714272596,0.90915556
126,126,1648427.823197882,6128220.290448884,-0.269167037
127,127,1648435.465469262,6128199.900238582,0.024354693
128,128,1648468.160861134,6128200.907476718,0.375661119
129,129,1648497.503286059,6128190.994945356,0.957023876
130,130,1648513.24831929,6128179.910628656,-0.429980181
131,131,1648527.995285786,6128177.839681427,-9999.0
132,132,1648176.943545672,6128151.078346803,-9999.0
133,133,1648515.273734169,6128159.613457347,0.676363614
134,134,1648522.766785603,6128140.875741422,-9999.0
135,135,1651243.985265684,6128186.362423306,0.893361762
136,136,1648161.767145551,6128123.144050793,-9999.0
137,137,1648184.689932299,6128128.54072611,-9999.0
138,138,1648693.298649339,6128119.176560773,-9999.0
139,139,1648168.681225876,6128114.579875717,-9999.0
140,140,1648214.09388551,6128111.095641862,-0.284118807
141,141,1651175.083045476,6128120.971214535,0.900639978
142,142,1648684.993716695,6128099.296236816,-0.458125021
143,143,1648219.116493294,6128084.792022976,-9999.0
144,144,1648767.230528127,6128081.092087134,-9999.0
145,145,1648234.67866817,6128073.540512829,-0.77811112
146,146,1648250.644158465,6128062.344793064,-0.650189218
147,147,1651045.785586166,6128046.74126588,0.694101693
148,148,1648274.803069693,6128051.664958603,-0.420962497
149,149,1649020.65211027,6128007.836369994,-9999.0
150,150,1648317.14455864,6127974.333858344,0.069042635
151,151,1649036.513275324,6127908.127123156,-9999.0
152,152,1650856.303325432,6127853.328171233,0.243726781
153,153,1650826.248443299,6127609.416240671,0.37946154
154,154,1650854.552910206,6127539.521359187,0.427651171
155,155,1648854.120577327,6127530.535127178,-0.430645573
156,156,1648813.023741785,6127510.830448808,-0.260799989
157,157,1648833.412060529,6127490.79645671,-0.381581815
158,158,1648812.783862415,6127466.000783035,-0.155537502
159,159,1650870.143039098,6127394.979036034,0.278054167
160,160,1650877.761272626,6127291.058948955,0.727380002
161,161,1648844.641574679,6127291.488260185,-0.084266666
162,162,1650869.50399885,6127250.322905464,0.800280693
163,163,1648865.941175993,6127387.6522136,0.048648445
164,164,1650885.154588715,6127244.889505293,2.921876124
165,165,1648868.316968739,6127231.5868931,-0.209156867
166,166,1648860.663553471,6127221.665483663,-0.194874996
167,167,1650901.68312437,6127200.73969329,0.883122804
168,168,1648876.731706566,6127191.896523119,-0.22352631
169,169,1648881.737038831,6127156.796970155,-0.236758152
170,170,1650923.108381102,6127139.395402588,0.474422453
171,171,1648901.004255862,6127131.991911201,-0.285152554
172,172,1650934.199905798,6127121.382264681,0.476982454
173,173,1648884.555484848,6127122.117725029,-0.225982455
174,174,1651007.529061573,6127040.544634251,1.031488901
175,175,1648884.796314455,6127042.533042437,-0.137864866
176,176,1648896.546706886,6127075.211251474,-0.223147884
177,177,1648892.385854984,6127022.247343267,-0.171487807
178,178,1648916.225227469,6127020.470396327,-0.278631581
179,179,1651048.29805381,6127001.194675936,1.015937502
180,180,1648899.878809707,6127002.282331715,-0.181000002
181,181,1648908.567205365,6126982.310901601,-0.059500002
182,182,1651097.144949391,6126970.509907809,0.61500001
183,183,1651113.484192123,6126960.455853563,0.61500001
184,184,1648916.060090138,6126962.345874816,-0.050551013
185,185,1648929.623675176,6126977.928413224,-0.236311906
186,186,1648924.74853694,6126942.37431515,-0.118925003
187,187,1648949.120412271,6126932.485479683,-0.256174098
188,188,1648932.839019764,6126922.406114575,-0.128387495
189,189,1648949.349645201,6126912.559425862,-0.187839286
190,190,1650285.202857168,6126905.288029054,-0.311403498
191,191,1650314.443725822,6126894.958318539,-0.195181811
192,192,1648940.902727034,6126897.456860794,0.067375796
193,193,1649448.951557808,6126889.938039274,-0.681241385
194,194,1650285.246430268,6126884.494506005,0.084226416
195,195,1651190.832841674,6126920.702580176,0.913173754
196,196,1648949.019946439,6126882.46965463,0.133461539
197,197,1648963.171880279,6126891.298782668,-0.124596959
198,198,1649457.428975073,6126879.521010771,-0.740448284
199,199,1650203.113051413,6126876.492722901,0.388550719
200,200,1650302.054380565,6126876.171757391,0.045161289
201,201,1649481.633250208,6126869.835844877,-0.640771941
202,202,1649524.096333191,6126870.135457066,-0.621707324
203,203,1650318.144658967,6126865.317494441,0.221756759
204,204,1648957.135367576,6126862.531050122,0.204297301
205,205,1650036.818788885,6126859.642766681,1.274742568
206,206,1650964.884967741,6126851.496642638,0.111298246
207,207,1649465.499071184,6126852.025837417,-0.287244436
208,208,1649489.954523243,6126849.033141314,-0.29946
209,209,1648965.694420696,6126849.207534277,0.14505234
210,210,1649401.80874388,6126860.971831011,0.673658636
211,211,1649522.621652832,6126838.794027542,-0.237734691
212,212,1649901.124997685,6126884.478633088,-0.054458716
213,213,1650334.950259564,6126842.034667356,0.405286551
214,214,1650350.342466086,6126860.320015172,-0.061237633
215,215,1648974.204678142,6126833.419305352,0.196821429
216,216,1649539.249858297,6126830.948329221,0.216346151
217,217,1649555.356656322,6126828.653176764,0.219418181
218,218,1650350.660452181,6126825.221216645,0.446904758
219,219,1648982.059178601,6126823.1422968,0.201436622
220,220,1649640.945148314,6126821.036356813,0.207370111
221,221,1651022.474778553,6126811.528970928,0.763486194
222,222,1649407.532257981,6126810.463272161,0.334877193
223,223,1651006.024216733,6126801.658589075,0.70465516
224,224,1648992.112104761,6126805.295156799,0.277999995
225,225,1648999.879300221,6126794.76471385,0.31934483
226,226,1649431.962351517,6126780.443551917,-0.239538438
227,227,1649137.994661445,6126784.726128353,0.611224139
228,228,1650948.328980861,6126766.908374796,0.173142859
229,229,1649467.778181709,6126760.120051997,1.743860148
230,230,1649522.188149972,6126759.096592642,-0.156779992
231,231,1650399.75120884,6126761.227722903,0.459026895
232,232,1650940.333621327,6126752.009388232,0.1106
233,233,1649100.770739519,6126765.204991255,0.318000007
234,234,1649501.644637495,6126749.973795661,-0.115226827
235,235,1649534.433985736,6126749.795630647,0.252123529
236,236,1650407.795000752,6126745.3688253,0.477804172
237,237,1650964.581995605,6126732.198233248,1.152815324
238,238,1649053.440540349,6126745.079350705,0.525318173
239,239,1649171.850476757,6126743.937775021,0.236428569
240,240,1650416.143632367,6126731.912140342,0.490924377
241,241,1650923.771941575,6126722.214581109,0.076949999
242,242,1650424.35795784,6126715.667818578,0.515119661
243,243,1649181.56760571,6126726.426801962,0.210500002
244,244,1649564.842171615,6126737.463067602,0.364087187
245,245,1650948.003907763,6126702.419400434,0.370657892
246,246,1649195.674688501,6126701.719197356,0.385575157
247,247,1650440.300131131,6126690.986591565,0.51894563
248,248,1650931.579633127,6126682.525460873,0.839789464
249,249,1649584.763187862,6126686.562028885,0.495234238
250,250,1649204.173050925,6126682.604024374,0.463315789
251,251,1649607.778160563,6126670.046001105,-0.006683331
252,252,1650448.645203442,6126671.794910584,0.7287258
253,253,1649212.671076669,6126663.490238048,0.277978252
254,254,1650900.387053994,6126685.573900362,0.289059079
255,255,1649639.659660876,6126660.73034269,1.365555524
256,256,1650462.605732537,6126648.465460952,1.086521339
257,257,1649221.169713243,6126644.373726597,0.282857149
258,258,1650472.478215267,6126620.443265297,0.862052636
259,259,1649229.692778119,6126625.069821503,0.284285716
260,260,1649237.573532714,6126604.369121543,0.374266666
261,261,1649119.296212878,6126762.354323828,-0.00706672
262,262,1649668.70711508,6126622.855782397,0.300135556
263,263,1650480.568813516,6126590.576857495,0.728102511
264,264,1649709.757064458,6126580.207959392,0.595224511
265,265,1649726.09708598,6126570.156395624,0.657840018
266,266,1650488.458345442,6126570.218383323,0.433777782
267,267,1649127.645743351,6126562.711247713,-0.369400002
268,268,1649742.433098425,6126559.37677555,0.744333334
269,269,1650460.914828792,6126698.432288318,-0.140674423
270,270,1650847.394473392,6126559.856217772,0.074630873
271,271,1649110.062205609,6126552.859992675,-0.069020008
272,272,1649750.575887866,6126549.369900282,0.802799981
273,273,1649116.551952507,6126532.480654714,-0.719659565
274,274,1649758.664271455,6126529.400882566,1.361013378
275,275,1649106.884321905,6126513.011102881,-0.757035395
276,276,1649715.794858739,6126510.582311321,0.913590916
277,277,1650824.348855672,6126503.391297935,0.209448274
278,278,1650510.260975302,6126508.483560698,-0.211021149
279,279,1650537.061446302,6126465.343331033,-9999.0
280,280,1649095.098492569,6126463.559878104,-0.395442619
281,281,1649593.41003272,6126501.143119553,0.727611055
