OID,FID_,X,Y,BCE_Mangon
0,0,1649724.422151413,6129567.623559675,0.555980395
1,1,1649743.43676816,6129552.739708709,0.584250005
2,2,1649875.922078943,6129515.065282158,-0.119309623
3,3,1649963.244250221,6129457.230986137,0.191499997
4,4,1650003.966884868,6129437.287396356,-0.173438594
5,5,1650036.351724431,6129441.62132982,-0.243291768
6,6,1650106.439401321,6129401.652476703,0.202211426
7,7,1648248.245655729,6129245.590202999,3.839853932
8,8,1648253.75236852,6129230.822384839,-0.477061539
9,9,1648213.605433838,6129225.773948457,0.726181292
10,10,1648428.564713486,6129216.447545659,-0.119205121
11,11,1648477.427264365,6129156.39276406,-0.133257412
12,12,1648437.883192256,6129167.839445767,-0.322115836
13,13,1648491.008325758,6129130.479300021,-0.157662964
14,14,1648506.819209812,6129105.589503828,-0.653294588
15,15,1648552.47307463,6129048.728595071,-9999.0
16,16,1648042.133097526,6129018.515543952,-9999.0
17,17,1648558.636457487,6129006.539792469,-9999.0
18,18,1648558.537789949,6128986.622004433,-9999.0
19,19,1650493.527763596,6128966.153595545,-0.294855553
20,20,1648075.969977883,6128976.772626568,-0.499148126
21,21,1649247.502704668,6128961.834302289,0.3787375
22,22,1649148.655967214,6128938.612153555,1.013999998
23,23,1650509.733368843,6128931.195443332,-0.090720832
24,24,1648127.756996937,6128929.130929206,-9999.0
25,25,1648148.149999352,6128909.098599476,-9999.0
26,26,1648118.500097245,6128902.054658741,0.773567121
27,27,1648582.917324558,6128891.849626462,0.145111086
28,28,1648183.89076812,6128863.585815583,-9999.0
29,29,1648582.824411361,6128840.114521773,-0.707504355
30,30,1648631.068995396,6128814.87287148,2.32205097
31,31,1648604.533143846,6128813.142389924,-0.397026678
32,32,1648179.329500867,6128816.527910015,-9999.0
33,33,1648647.716437412,6128801.707431029,0.099384613
34,34,1648618.970818052,6128787.052554238,-0.528854576
35,35,1649041.276954276,6128774.697243946,0.659740253
36,36,1649075.084900455,6128778.220737307,0.682339862
37,37,1650560.500632783,6128787.220002144,-0.161778337
38,38,1649022.637829598,6128757.028028945,-0.209629446
39,39,1650538.831848427,6128722.378273034,-0.283953643
40,40,1649684.69789852,6128672.303669529,-9999.0
41,41,1649766.471143739,6128632.008246529,-9999.0
42,42,1650560.171915615,6128638.168918756,-0.2069057
43,43,1649400.604216943,6128627.866427576,-9999.0
44,44,1649532.144757116,6128622.945255626,-9999.0
45,45,1649810.857106478,6128611.464962297,-9999.0
46,46,1649827.536997158,6128601.411449616,-9999.0
