OID,FID_,X,Y,BCE_Manuka
0,0,1757887.328026059,5911947.258767913,-0.020145462
1,1,1757926.753215456,5911946.52561298,-0.570666615
2,2,1757859.948498875,5911941.121145148,-9999.0
3,3,1757910.564388197,5911936.856713725,-9999.0
4,4,1757950.573063191,5911936.112611567,-0.275249945
5,5,1757830.361986484,5911928.37781722,-9999.0
6,6,1757974.393029649,5911925.699329493,0.153500039
7,7,1758014.030651058,5911905.02201029,0.415461575
8,8,1757765.792498472,5911899.667858968,-0.827975022
9,9,1757100.720143989,5911901.339272753,0.491905665
10,10,1757281.992691398,5911896.720816851,-0.090063494
11,11,1757069.27672221,5911892.640253101,0.572693278
12,12,1757234.686851779,5911890.430531959,0.221519555
13,13,1757207.849343013,5911883.428857028,-0.274670834
14,14,1757689.221151489,5911871.180304194,-0.657437505
15,15,1757009.275657962,5911879.64981067,0.683186441
16,16,1757661.304252985,5911863.317533374,-0.790784664
17,17,1757721.043170308,5911860.618974627,-0.319622629
18,18,1758133.128382412,5911852.954992423,-9999.0
19,19,1752003.900781392,5911956.773551099,0.765633027
20,20,1756976.224473148,5911863.456071575,0.554291399
21,21,1757636.957885116,5911852.023925154,-0.76833332
22,22,1752027.726176962,5911939.535116636,0.670259248
23,23,1757556.440478018,5911833.038319479,0.473632661
24,24,1756869.670725811,5911833.406725838,0.80177779
25,25,1757596.466632664,5911829.630068382,-0.730365251
26,26,1756886.804679058,5911828.758173672,0.641405067
27,27,1756934.083134731,5911839.568091298,0.616099319
28,28,1751970.631529454,5911895.693690572,0.566725004
29,29,1751993.524117694,5911915.961855944,0.606304293
30,30,1751954.093256338,5911866.080633235,0.503899997
31,31,1756836.0111108,5911770.347568464,0.583981471
32,32,1756827.104543204,5911756.865398916,0.589421873
33,33,1751938.629913478,5911837.986240969,0.416950111
34,34,1752409.465478326,5911807.57822994,0.374084504
35,35,1752364.180033249,5911798.91460579,0.417251908
36,36,1751907.442948906,5911814.673924597,0.539343562
37,37,1758390.028261632,5911679.027611351,-9999.0
38,38,1758369.832065932,5911669.083829716,-9999.0
39,39,1751886.317316284,5911780.31915746,0.211235578
40,40,1752295.524198382,5911782.990302487,0.462557075
41,41,1756797.880861365,5911719.852333395,0.417934048
42,42,1758470.142802958,5911639.281558115,-9999.0
43,43,1751675.727652733,5911741.453095903,0.489025312
44,44,1751645.207282083,5911724.811109648,0.491509431
45,45,1751860.779472436,5911737.977447161,0.109720383
46,46,1751628.963378415,5911699.917600412,0.447272723
47,47,1752249.18011774,5911705.676648397,0.117404426
48,48,1758488.087175115,5911572.162293453,0.178475004
49,49,1756746.480205231,5911588.469923041,0.585777779
50,50,1752431.788791479,5911683.040826769,0.69085677
51,51,1756751.323986326,5911579.47888332,0.71279487
52,52,1752406.421351989,5911648.611913683,0.497749999
53,53,1756790.226507272,5911518.941164319,0.437675009
54,54,1751629.22849652,5911602.70907659,0.04025
55,55,1756822.047645092,5911508.383564607,0.215075004
56,56,1756838.749841374,5911519.121369991,0.001524907
57,57,1756829.864845166,5911498.26926657,0.192275002
58,58,1751580.865190549,5911583.633634043,0.260874998
59,59,1751596.867536771,5911583.347957308,0.153375002
60,60,1751612.869954732,5911583.062219271,0.050999999
61,61,1756840.342527278,5911487.702268397,0.180035088
62,62,1751564.68483111,5911573.952755866,0.318624999
63,63,1751604.690785842,5911573.238672874,0.04875
64,64,1751544.510156103,5911564.6939415,0.410373838
65,65,1751496.477901029,5911556.460199464,0.864390254
66,66,1751516.16399004,5911555.080966931,0.597272732
67,67,1751483.577878578,5911535.181656747,0.729333346
68,68,1752444.259398417,5911518.12603653,0.283035714
69,69,1751491.78485501,5911525.406012541,0.634749987
70,70,1751503.608768465,5911515.225405772,0.583874989
