OID,FID_,X,Y,BCE_Manuka
0,0,1757902.748035999,5911946.971866972,0.784793092
1,1,1757830.547131719,5911938.344129791,-0.486928544
2,2,1757921.295149945,5911939.980478005,-9999.0
3,3,1758006.612411261,5911905.16006071,-0.344999949
4,4,1758021.84670565,5911894.906567914,0.414650022
5,5,1757069.549209007,5911900.20788458,0.682763164
6,6,1757237.471818217,5911896.973688492,0.507085721
7,7,1758037.822454708,5911884.438169944,0.063857203
8,8,1757181.142300703,5911890.771513628,-0.172648144
9,9,1757213.30674411,5911889.974855401,-0.123937502
10,10,1757288.317576636,5911892.43258681,-0.116087623
11,11,1757725.228823535,5911870.511458253,-0.064538459
12,12,1757226.733949154,5911874.059215077,-0.326805012
13,13,1757359.382589197,5911870.711148367,-0.459275515
14,14,1757677.126117915,5911866.419934839,-0.808138374
15,15,1757696.608243207,5911861.077298843,-0.782957981
16,16,1756943.66805598,5911850.517358566,0.735000014
17,17,1757596.640035408,5911841.827677367,-0.424031234
18,18,1757516.105040517,5911836.663451846,-0.307145626
19,19,1752010.141464868,5911943.582257135,0.674303955
20,20,1757051.437252129,5911875.565444368,0.381920763
21,21,1757524.420324238,5911824.188212419,-0.019800001
22,22,1757560.074692869,5911824.328514652,-0.476961129
23,23,1757596.263631775,5911822.329356449,-0.819634634
24,24,1752019.15510176,5911914.563331421,0.567370386
25,25,1758180.052269769,5911802.432321417,-0.492999941
26,26,1751994.814250852,5911905.230648817,0.584100007
27,27,1751978.825038182,5911887.654512527,0.543669851
28,28,1758190.169762363,5911777.117390594,-9999.0
29,29,1752057.124993014,5911838.747634074,0.58285321
30,30,1751956.241599246,5911847.402305036,0.427217162
31,31,1756866.582658286,5911797.102313661,0.494877445
32,32,1752073.210035085,5911813.373478521,0.430500008
33,33,1752064.878033813,5911804.078819772,0.444678575
34,34,1752081.046066789,5911803.990244344,0.485025002
35,35,1758390.207607976,5911688.643478532,0.203333346
36,36,1752088.869014514,5911793.880615369,0.429250006
37,37,1752080.523977738,5911783.859216216,0.362018184
38,38,1752096.691967922,5911783.770723662,0.352687496
39,39,1752399.897958604,5911791.235778697,0.376838024
40,40,1756793.539335534,5911698.338223299,0.363112494
41,41,1758417.655096971,5911658.22170753,-9999.0
42,42,1752107.753620982,5911766.631255494,0.335446201
43,43,1758389.645640332,5911668.375047401,-9999.0
44,44,1758425.470624262,5911648.105885687,-9999.0
45,45,1758465.071246809,5911645.953935066,-0.044000001
46,46,1752299.642089762,5911771.773807098,0.393386248
47,47,1758480.652736981,5911629.200032277,-9999.0
48,48,1752415.696100835,5911728.403626737,0.194999998
49,49,1751654.962768569,5911731.854444438,0.495208333
50,50,1751671.561883033,5911732.284902716,0.463018873
51,51,1751716.396366749,5911737.342503244,0.36719314
52,52,1751839.577348473,5911728.555019134,0.030573048
53,53,1752375.216134776,5911723.379598182,0.064727272
54,54,1758536.58923094,5911606.353036906,-9999.0
55,55,1751897.627678435,5911770.573340001,0.14609142
56,56,1751643.188181256,5911712.1255468,0.455312502
57,57,1752139.579901243,5911728.750277554,0.055342519
58,58,1758580.754560859,5911583.647310529,-9999.0
59,59,1762225.659555535,5911515.619376674,1.08568966
60,60,1752259.90278343,5911707.910027133,0.142843749
61,61,1758591.189329243,5911573.079069844,-9999.0
62,62,1751811.811880592,5911705.652711842,-0.078019532
63,63,1752167.549145995,5911688.354696645,-0.103181814
64,64,1758599.417468084,5911564.305141648,-9999.0
65,65,1762192.919837241,5911494.403191874,2.213888857
66,66,1758495.995559862,5911567.029671117,0.087294125
67,67,1751628.073435079,5911676.877305862,0.361005031
68,68,1762368.320895652,5911474.646635791,1.246792469
69,69,1756761.358160617,5911633.452540812,0.544989086
