FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
0,1757910.539837597403675,5911953.722872691228986,0.815563622000000
1,1757759.923159686848521,5911907.262998279184103,0.130218913000000
2,1757313.548071968602017,5911903.151274419389665,
3,1757129.313899214379489,5911909.118082165718079,
4,1757197.211642778944224,5911885.286867826245725,-0.267468752000000
5,1757444.664902532007545,5911863.740394348278642,-0.210886373000000
6,1757718.499021107796580,5911867.312381712719798,0.907000000000000
7,1757242.154628559248522,5911862.853235077112913,-0.660050860000000
8,1757351.820679210359231,5911863.727133953943849,-0.592471575000000
9,1757653.002199196955189,5911851.710578545928001,-0.888339272000000
10,1757700.993195785209537,5911850.934823056682944,-0.815550854000000
11,1757619.377320744097233,5911843.589143623597920,-0.754011266000000
12,1757847.552199879661202,5911877.569568499922752,-0.514249452000000
13,1758060.492131951963529,5911837.629078892990947,0.502786938000000
14,1758092.656832550419495,5911828.782472027465701,0.742813388000000
15,1758124.663387714885175,5911828.186505419202149,
16,1757816.415131534682587,5911823.951152170076966,-0.429003106000000
17,1756935.967025385936722,5911825.665308804251254,0.426580950000000
18,1757528.335952528519556,5911830.553018616512418,0.005316015000000
19,1752037.080725271720439,5911907.224679999053478,1.135220662000000
20,1757576.334548993036151,5911808.158381634391844,-0.784497647000000
21,1757795.552463938714936,5911797.968413875438273,-0.459053977000000
22,1751959.844282728387043,5911889.239682898856699,0.567605810000000
23,1758179.096716880332679,5911742.427816843613982,0.081000054000000
24,1758170.909500293899328,5911732.610349331051111,-0.061499938000000
25,1756811.783516814932227,5911745.600848235189915,0.489375006000000
26,1752053.924129494931549,5911824.451291039586067,0.373098486000000
27,1758398.612043960019946,5911697.878820328041911,0.582627916000000
28,1758425.267899162368849,5911676.651958906091750,-0.951499999000000
29,1752436.752778285415843,5911777.671443455852568,0.432999996000000
30,1752112.605072870384902,5911778.495251888409257,0.410250775000000
31,1752095.023898077197373,5911762.312700520269573,0.240370372000000
32,1752393.671569614904001,5911759.245409265160561,0.223312500000000
33,1757045.650797809008509,5911674.321973795071244,-0.564119279000000
34,1758216.849644145229831,5911651.994556872174144,0.418428622000000
35,1758450.388820251915604,5911628.439536832273006,0.726074082000000
36,1758514.516708938870579,5911623.342255907133222,
37,1752166.758696301607415,5911731.972736959345639,2.860000017000000
38,1756989.087753284256905,5911645.458232839591801,-0.398560736000000
39,1757092.440253669396043,5911667.344362211413682,-0.400769705000000
40,1751783.340259206481278,5911728.889738717116416,0.215327510000000
41,1751816.561367129208520,5911722.368736497126520,0.034795826000000
42,1752167.455082010710612,5911712.714414610527456,2.279649114000000
43,1751871.069127850001678,5911708.252490443177521,-0.279454539000000
44,1752023.094508795533329,5911705.531920930370688,-0.166886793000000
45,1752140.479989006649703,5911700.055658748373389,-0.011246229000000
46,1757036.362596953287721,5911629.511386746540666,-0.413211741000000
47,1752030.876251961570233,5911675.081310621462762,-0.321203706000000
48,1752206.439443649258465,5911676.751891983672976,-0.091590412000000
49,1751863.061209911480546,5911672.775134643539786,-0.468301891000000
50,1752082.802248526830226,5911654.997506782412529,-0.501788997000000
51,1752153.976463298080489,5911674.845386697910726,-0.306050979000000
52,1752414.828010031022131,5911638.490040497854352,0.652000011000000
53,1751909.820414293324575,5911637.369565043598413,-0.736799991000000
54,1752122.451577255735174,5911634.347972499206662,-0.595869153000000
55,1758490.384710283018649,5911552.319844094105065,0.328328418000000
56,1751906.060630529886112,5911618.282969400286674,-0.842186904000000
57,1751619.700487352907658,5911616.970191487111151,0.148533333000000
58,1758519.146934290416539,5911492.385782716795802,-0.195636359000000
59,1758675.501460767351091,5911481.459499356336892,
