OID,FID_,X,Y,BCE_Mouter
0,0,1600728.620776206,5445368.482428241,0.453249998
1,1,1601223.984450811,5446920.504524721,1.026508472
2,2,1604398.020845377,5440691.108090823,1.573365855
3,3,1602269.617424413,5442805.852380342,1.531166636
4,4,1602253.058789229,5443455.482937056,1.275597424
5,5,1602977.503324379,5443055.496842684,0.87335592
6,6,1601474.470106784,5446020.015064147,1.464333342
7,7,1603282.13079523,5443805.323146951,0.95469878
8,8,1604350.314106792,5440524.140416488,1.818736775
9,9,1601341.867381641,5447140.152374745,1.287670056
10,10,1601217.284779115,5445594.155443246,1.518563145
11,11,1600734.176995711,5445463.727102813,2.355160481
12,12,1599988.559547504,5445017.166275117,1.362812632
13,13,1602260.995707705,5442783.160806362,2.038241705
14,14,1600993.896749616,5446466.805842431,1.522450984
15,15,1601571.537372356,5447368.540972278,0.889846419
16,16,1601598.294542275,5447352.252196215,1.180014759
17,17,1601617.712408979,5447327.086542284,1.004203717
18,18,1601551.489471768,5447320.738450006,0.16975
19,19,1601487.387102926,5447285.860053098,0.618973327
20,20,1601468.53220776,5447265.91975729,0.635300003
21,21,1601453.447572813,5447245.978660946,0.682799985
22,22,1601618.835860335,5447271.707542408,1.015196722
23,23,1601427.05063782,5447216.067696839,0.471727656
24,24,1601413.653524811,5447188.906831014,0.452800948
25,25,1601353.913601653,5447175.535407395,0.807249991
26,26,1601556.230089686,5447179.630725862,0.996249996
27,27,1601374.252714612,5447131.315329544,0.518043333
28,28,1601347.855593046,5447096.418041239,0.610924997
29,29,1601337.699150477,5447070.629538061,0.719057688
30,30,1601317.685965493,5447046.563250783,0.735400015
31,31,1601306.32780348,5447085.205994554,0.961421366
32,32,1601251.224507444,5447021.836597369,0.988083182
33,33,1601523.213400826,5447011.612629185,1.184000075
34,34,1601257.356643656,5446997.442332218,0.852400014
35,35,1601279.97669148,5446996.70965587,0.610174998
36,36,1601507.470692471,5446950.113714789,1.097826847
37,37,1601495.106974335,5446913.171823782,1.216944443
38,38,1601542.946033844,5446880.708630946,1.164906592
39,39,1601589.088715643,5446857.04016497,1.104199996
40,40,1601623.01390033,5446837.08858675,1.235787473
41,41,1601636.524451617,5446754.285524178,1.175133791
42,42,1601730.748609136,5446719.170641194,1.138467399
43,43,1601701.260350709,5446678.269324983,1.041166643
44,44,1601694.43675117,5446667.744888213,1.033308843
45,45,1601521.63174727,5446700.522904842,1.193620497
46,46,1601661.255496027,5446630.183564274,1.126749992
47,47,1601667.885146547,5446542.744666456,1.106981125
48,48,1601470.601524387,5446527.986835225,1.019763279
49,49,1601744.338647723,5446513.788737438,1.145353629
50,50,1601553.209051583,5446490.630021604,1.138269346
51,51,1601767.589071214,5446459.040912668,1.029272713
52,52,1601143.686209139,5446640.891176144,1.035331962
53,53,1601122.292938544,5446409.053283906,0.52504763
54,54,1601177.341827641,5446393.212055816,-9999.0
55,55,1601777.472606266,5446388.309728335,1.039300007
56,56,1601311.252948802,5446344.425639907,0.392416666
57,57,1601590.120602718,5446345.168059872,0.550209909
58,58,1601368.570739334,5446342.004697467,0.28506666
59,59,1601604.052577897,5446328.517421974,0.548100011
60,60,1601611.589908845,5446319.272446746,0.305788461
61,61,1601020.124254939,5446316.263316102,1.026154196
62,62,1601434.000648675,5446322.903881572,-0.181999996
63,63,1601566.191200431,5446248.236758955,2.325409854
64,64,1601784.38616755,5446260.3317888,0.726759999
65,65,1601327.199871401,5446052.204083301,1.088149996
66,66,1601559.355611246,5445995.007590605,0.816906985
67,67,1601400.242503328,5446037.052514265,1.159084786
68,68,1600923.008554329,5446262.654456198,1.159999838
69,69,1600842.756942256,5445907.75906433,1.124566714
70,70,1601354.828311321,5445866.351789901,1.319909058
71,71,1601496.572622308,5445860.2880704,0.993130446
72,72,1602039.023842291,5445773.067479191,2.715723598
73,73,1602056.105780235,5445754.582166592,1.71147714
74,74,1602073.644470828,5445681.284187031,1.797118838
75,75,1601917.60379475,5445690.629461936,1.107754593
76,76,1602120.301799502,5445660.243031359,1.253375715
77,77,1600585.103099653,5445608.78538402,0.895647935
78,78,1600742.295778104,5445647.836704103,1.180775111
79,79,1600784.347238255,5445624.097673551,0.914309335
80,80,1601219.47741281,5445597.527465492,1.62989479
81,81,1602139.134704724,5445600.418892122,1.468950011
82,82,1600728.862477712,5445590.72351729,0.75591305
83,83,1601175.834646965,5445586.627107473,1.132375002
84,84,1601844.563422895,5445594.564733001,2.440433332
85,85,1602108.825268015,5445590.660123345,1.243923102
86,86,1602150.006264836,5445590.164282213,1.63685914
87,87,1600628.210930333,5445592.239557469,0.961771257
88,88,1601866.878395485,5445578.697567366,2.536891899
89,89,1602164.902961835,5445580.076948645,1.883253584
90,90,1601877.294800007,5445563.237806829,1.980670399
91,91,1600571.249674621,5445541.08163633,0.79223077
92,92,1601916.165181378,5445520.414147669,1.367014608
93,93,1602083.559828324,5445548.770480248,0.884431215
94,94,1600503.092198693,5445451.337905854,0.940076923
95,95,1600744.603730244,5445462.38837574,0.393668854
96,96,1602148.633232878,5445447.53974771,0.896109149
97,97,1602287.215995787,5445386.525230471,1.439387345
98,98,1602304.778106538,5445370.838404316,1.276473681
99,99,1600736.925636583,5445341.420641163,2.046774988
100,100,1600706.771270595,5445331.451534904,1.309324992
101,101,1602262.881604952,5445357.394283057,1.162321522
102,102,1600586.154049483,5445284.341504433,0.555581404
103,103,1600235.618583952,5445132.040184112,0.288586664
104,104,1600299.004911641,5445135.294769653,0.27321739
105,105,1600886.968572578,5445091.007877751,0.641999994
106,106,1602131.441932155,5445071.900599788,1.27228573
107,107,1600369.341475998,5445301.636893569,1.052492714
108,108,1600117.322393511,5445012.882498148,0.919748694
109,109,1601091.186596271,5444887.669141307,0.427150337
110,110,1600451.429094689,5445116.44746948,1.141908609
111,111,1601130.040893084,5444814.518919815,0.539874993
112,112,1601146.351748048,5444792.185366534,0.410022829
113,113,1601170.537870984,5444735.080253336,0.406116283
114,114,1601122.118558834,5444721.462365117,0.862290441
115,115,1602307.625228802,5444702.77468619,1.324234299
