OID,FID_,X,Y,BCE_Mouter
0,0,1601514.005241467,5447101.371553343,0.545196583
1,1,1601458.855864277,5447051.915167602,0.298481013
2,2,1601269.53115787,5447022.039171809,1.04306905
3,3,1601446.298672382,5446991.171616345,0.33517476
4,4,1601427.099465373,5446975.42194858,0.418749079
5,5,1601596.626451282,5446847.066455471,1.063347828
6,6,1601611.704060527,5446837.09109152,1.106199979
7,7,1601626.781629131,5446827.115686587,1.167695649
8,8,1601619.235119718,5446797.201179223,1.031749991
9,9,1601611.690871191,5446777.25872108,1.025257136
10,10,1601592.839119925,5446767.290786768,0.97218666
11,11,1601509.134593926,5446885.437561821,0.617933071
12,12,1601622.991763765,5446737.367966219,1.102587498
13,13,1601181.912416338,5446727.480515194,0.800325007
14,14,1601608.561416295,5446720.879271163,1.154358956
15,15,1601664.451695692,5446698.19914522,0.992555536
16,16,1601708.317261324,5446689.33377573,0.995499996
17,17,1601555.121984299,5446682.536370419,1.07338999
18,18,1601694.605903919,5446677.519337869,1.006642838
19,19,1601655.08524361,5446657.395201773,1.184950012
20,20,1601682.557879435,5446664.318793264,1.031238982
21,21,1601661.961473333,5446639.302111127,1.09429028
22,22,1601543.800802105,5446627.692414273,0.995249985
23,23,1601655.940329695,5446618.458990941,1.044607156
24,24,1601526.743549353,5446612.263030186,1.031594288
25,25,1601626.715225032,5446528.682529448,0.825714266
26,26,1601702.110807366,5446527.936606331,0.96834546
27,27,1601547.547420815,5446517.998894928,0.962093336
28,28,1601166.797842442,5446508.097514695,0.903000008
29,29,1601196.956176961,5446508.821391242,0.799346955
30,30,1601558.854640628,5446508.024428757,1.000262493
31,31,1601743.573709473,5446507.98270438,0.975759985
32,32,1601159.806465739,5446498.12655891,0.890479156
33,33,1601484.591072418,5446508.4176093,0.852647792
34,34,1601519.023753017,5446494.559805903,1.043245805
35,35,1601577.699221055,5446488.076249232,1.020979999
36,36,1601758.646819919,5446483.04892926,0.938613336
37,37,1601543.20108762,5446474.665996486,1.085965422
38,38,1601558.846135189,5446468.136161847,1.181662508
39,39,1601588.454429805,5446468.12978687,0.888919998
40,40,1601080.084133932,5446448.278434863,1.226633352
41,41,1601759.998021703,5446451.323739231,0.889030004
42,42,1601068.782703361,5446433.35309263,0.572968563
43,43,1600985.83375755,5446398.431398263,0.825684214
44,44,1601083.843530715,5446378.473404824,0.870724989
45,45,1601777.470181615,5446378.337659948,0.87151427
46,46,1601442.361719433,5446369.020440996,0.059333333
47,47,1601119.864492154,5446362.178690688,0.529913504
48,48,1601291.619718751,5446367.537221571,0.33509411
49,49,1601577.67124382,5446358.439346214,0.465353338
50,50,1601212.007059166,5446338.564995839,0.651909099
51,51,1601346.978491135,5446354.549724548,0.256354462
52,52,1601347.318472537,5446820.636461905,0.533101602
53,53,1601478.462281687,5446490.738446271,0.442168554
54,54,1601607.365582736,5446338.11595638,0.423551334
55,55,1601784.996209529,5446323.48944731,0.688473686
56,56,1601446.427201635,5446320.355430461,-0.178499998
57,57,1601331.307300157,5446300.902426106,0.127031748
58,58,1601389.172989881,5446288.673131533,0.631280001
59,59,1601577.994625465,5446317.536461694,0.541254104
60,60,1601460.792616182,5446268.715032671,0.227849994
61,61,1601618.096847551,5446281.714811509,0.16520173
62,62,1601745.151766479,5446295.254475239,0.533923402
63,63,1601655.643963445,5446263.108943734,0.686733333
64,64,1600993.349117452,5446249.257613506,0.744857129
65,65,1601687.253736762,5446258.831484482,0.506770644
66,66,1601528.639070772,5446233.798908005,0.32342431
67,67,1600994.229103188,5446207.479279221,1.026727262
68,68,1601513.399130539,5446189.132265432,-0.423903843
69,69,1601566.591939537,5446193.902589019,0.764803731
70,70,1601664.324555029,5446139.7633474,-9999.0
71,71,1601000.275912054,5446119.855145189,0.943232552
72,72,1601626.624246656,5446119.827688282,-9999.0
73,73,1600917.941225731,5446099.278138589,1.143925015
74,74,1600929.218373068,5446089.634686945,1.129316846
75,75,1600952.499976166,5446075.042955284,1.275333285
76,76,1601015.795043089,5446079.525553253,0.862647062
77,77,1601438.137275323,5446078.521402268,0.663647057
78,78,1601332.58803876,5446069.298079451,0.84994783
79,79,1601430.596355456,5446069.279562682,0.932628558
80,80,1601447.745847579,5446069.276181346,0.728090888
81,81,1601317.508038798,5446059.328747181,1.036371415
82,82,1601347.648674569,5446059.344439029,0.960028583
83,83,1601422.297043528,5446064.004683873,1.031999946
84,84,1601340.123483528,5446049.35256208,1.15977502
85,85,1601310.51509745,5446039.385854911,1.040294111
86,86,1601438.127608878,5446029.389797874,0.800924994
87,87,1601468.545889336,5446014.425627471,1.350366309
88,88,1601555.948779391,5446009.674097481,0.438911114
89,89,1601568.356490741,5445999.446778132,0.030999997
90,90,1601431.169228422,5446010.155111441,1.005941191
91,91,1601800.299339324,5445996.066736519,-0.037064814
92,92,1602112.290542373,5445958.601197255,0.150666649
93,93,1601679.207097976,5445949.766285505,-9999.0
94,94,1602074.11236582,5445939.488312676,-0.111419372
95,95,1602120.086075935,5445939.305812373,-9999.0
96,96,1601338.547201488,5445982.081249629,1.105558875
97,97,1602031.589464746,5445922.326115942,-0.001253099
98,98,1601980.904807873,5445899.625863014,0.682937497
99,99,1601636.587123351,5445896.221486586,-0.125169701
100,100,1602130.289383188,5445893.545122243,-9999.0
101,101,1601664.815067007,5445879.760538249,-9999.0
102,102,1601344.488168964,5445868.733943514,1.347270266
103,103,1601484.641349634,5445865.034672287,-9999.0
104,104,1601359.495076633,5445860.933474736,1.284967488
105,105,1601476.33837824,5445859.856863112,1.326830169
106,106,1601931.89124287,5445859.750659542,1.110176456
107,107,1600834.830164773,5445850.19073633,1.067075518
108,108,1601502.172730392,5445849.879530091,1.144839983
109,109,1602069.984149585,5445852.293458232,-0.846000016
110,110,1602036.171580536,5445846.596732619,-9999.0
111,111,1601663.59545431,5445847.681046671,-0.584795582
