OID,FID_,X,Y,BCE_Nelson
0,0,1624252.575991241,5432079.406246663,1.757157522
1,1,1627270.25635178,5438080.818785673,1.625112593
2,2,1624275.581303103,5432041.379430352,2.575974267
3,3,1627519.87752231,5437311.446081446,1.676929813
4,4,1627587.032052027,5437137.051724312,3.471711282
5,5,1627640.914662972,5436989.239087601,1.89389606
6,6,1627639.119554861,5436949.934566565,1.909649968
7,7,1627586.583560626,5436883.381836799,1.623235266
8,8,1627571.519114677,5436873.372450423,1.519257164
9,9,1627556.45561894,5436863.371132289,1.446666642
10,10,1627540.767029773,5436843.71459079,1.962185169
11,11,1627535.050170066,5436816.365922598,2.280652067
12,12,1627554.149776701,5436753.202853221,2.150200028
13,13,1627540.112798276,5436724.893121104,2.861261918
14,14,1627397.610748194,5436624.268978638,2.205231848
15,15,1627363.856352051,5436582.982023048,1.646919779
16,16,1627358.206514785,5436545.2573625,1.387142882
17,17,1627346.71720374,5436531.845906639,1.462745115
18,18,1627329.33535062,5436509.896107727,1.445062741
19,19,1627178.743664075,5436465.420260047,1.224970975
20,20,1627273.7666986,5436478.255467799,1.633878456
21,21,1627026.811591864,5436387.323124775,2.117021297
22,22,1627007.237594767,5436363.61888715,1.559394071
23,23,1626997.522291445,5436346.523637665,1.786449265
24,24,1626870.883734909,5436164.76596516,1.570718766
25,25,1626840.112212278,5436115.282979784,2.177551136
26,26,1626830.55228252,5436098.335039474,2.547882357
27,27,1626823.146005918,5436088.201315676,2.72861904
28,28,1626800.008391108,5436048.618194479,2.784016943
29,29,1626776.639731267,5435988.51046441,2.32972003
30,30,1626764.319821074,5435934.210742167,2.007685984
31,31,1626754.926671608,5435873.63183891,2.671812477
32,32,1626754.770381153,5435833.766289858,2.955898046
33,33,1626749.49073513,5435798.946832896,2.281206333
34,34,1626746.172271371,5435750.68047563,2.841196595
35,35,1626739.302110758,5435719.1171767,2.137371443
36,36,1626738.307607447,5435690.961146448,2.607853908
37,37,1626731.413490839,5435639.568971271,2.310871772
38,38,1626722.552924643,5435585.839099806,1.599232294
39,39,1626699.319158997,5435430.527927074,2.633723391
40,40,1626684.571748349,5435390.417595038,2.064704891
41,41,1626669.882367063,5435346.266504481,2.202921992
42,42,1626661.180449723,5435321.376492945,2.798923046
43,43,1626648.995934632,5435303.996817508,1.894059046
44,44,1626634.08492171,5435273.657171081,1.802474572
45,45,1626623.751634755,5435241.555867089,2.699148138
46,46,1626609.287652744,5435216.530516001,2.133656483
47,47,1626596.209919395,5435193.758077764,1.902149819
48,48,1626571.357049358,5435131.559769694,2.81428791
49,49,1626543.567452531,5435081.350283458,2.856124989
50,50,1626490.203208764,5434988.523962426,2.462839955
51,51,1626476.793613673,5434920.735039183,2.267115802
52,52,1626502.342180639,5434742.662637364,1.318599984
53,53,1626493.058392167,5434254.07424133,1.722124989
54,54,1626476.289454023,5434194.873945281,2.196720966
55,55,1626469.412926459,5434174.817238302,2.378951621
56,56,1626457.168910056,5434149.473684877,1.507710464
57,57,1626447.218796996,5434110.027869473,2.290733344
58,58,1626439.471302999,5434085.984318442,2.28622748
59,59,1626418.942925746,5434024.025051372,2.017995166
60,60,1626392.18237172,5433953.204797136,1.767560939
61,61,1626365.979342349,5433871.44824144,1.442346048
62,62,1626287.292298978,5433646.911163179,0.950525422
63,63,1626269.182531732,5433610.841203171,1.19933331
64,64,1626238.978694949,5433560.951866082,1.368749976
65,65,1626231.931440713,5433550.139809413,1.817200017
66,66,1626217.845486516,5433528.543780108,2.123875014
67,67,1626138.959773496,5433464.20917373,0.53299537
68,68,1626008.1265292,5433358.305270101,0.912625001
69,69,1625992.431855563,5433340.35744461,1.568697698
70,70,1625909.918855188,5433299.106613368,0.853684223
71,71,1623823.829556846,5432832.257453285,-0.895806276
72,72,1623514.043314546,5432618.858118211,-0.910000026
73,73,1623076.901344762,5432522.008557552,-0.910000026
74,74,1623270.915631836,5432376.4236869,3.408842148
75,75,1624337.306391877,5432108.139822681,0.675901964
76,76,1624216.478647524,5432097.989402142,1.724586699
77,77,1624435.218607825,5432103.059129182,0.662871142
78,78,1623490.310298242,5432090.397184418,-0.910000026
79,79,1624201.396029114,5432088.067157548,1.770633315
80,80,1624402.699046856,5432096.257780157,1.019370966
81,81,1624166.395903958,5432039.459215753,1.608184845
82,82,1624051.671613717,5431956.861890385,0.520327274
83,83,1624034.341328493,5431939.634434304,0.803674802
84,84,1623997.484130209,5431919.266399563,0.265353741
85,85,1623707.877300686,5431890.243353622,0.08035909
86,86,1623971.081323964,5431889.618570425,0.749351356
87,87,1623741.728041989,5431887.917291411,0.205787234
88,88,1623963.099264711,5431880.980178736,1.083590934
89,89,1623948.268398674,5431870.454963802,1.266436344
90,90,1623880.631433627,5431851.570029539,0.634716972
91,91,1622434.846823522,5431850.733320527,4.096660229
92,92,1623829.990632731,5431860.883889209,0.518042138
93,93,1623641.815525756,5431856.757715469,0.838318184
94,94,1622394.554183444,5431804.664789824,3.417506626
95,95,1623379.884056313,5431762.502782703,-0.757890645
96,96,1623589.784274317,5431766.733822742,0.734460116
97,97,1621664.527662798,5431747.027653911,-0.602906693
98,98,1623579.475907526,5431741.074308556,1.638428588
99,99,1621624.130000083,5431498.344553919,2.435131518
