OID,FID_,X,Y,BCE_Nelson
0,0,1627047.813436545,5438543.611403587,1.881859889
1,1,1626967.886855311,5438450.499691109,1.991722197
2,2,1626316.119667401,5437366.099312332,1.742750005
3,3,1627580.833826001,5437122.086822471,3.390877566
4,4,1627639.838648108,5436942.366933872,1.789721527
5,5,1627601.807874557,5436902.918105643,1.491079979
6,6,1627526.9567228,5436813.14674093,1.472565257
7,7,1626160.821164174,5436788.61870577,-0.884722249
8,8,1626163.350323003,5436763.321341445,-0.910000026
9,9,1627525.909678579,5436713.598600342,2.043013561
10,10,1625854.090093595,5436609.853336726,2.660999954
11,11,1626234.544380024,5436559.21293025,-0.433919994
12,12,1627359.444523162,5436554.751646172,1.459225814
13,13,1625816.263213183,5436550.112712349,2.57576922
14,14,1626630.598285922,5436547.956627634,-0.117006624
15,15,1626305.37882802,5436518.691548551,-0.005557692
16,16,1625790.016409515,5436499.640082547,2.459873741
17,17,1627223.919198081,5436465.251660451,1.239899987
18,18,1627095.510267651,5436457.760497781,1.071166641
19,19,1626195.692150694,5436424.452997439,0.16125123
20,20,1627045.137201115,5436423.275027106,0.97685785
21,21,1626258.158166272,5436405.043723708,0.28705121
22,22,1627026.74281185,5436407.012709,1.227508345
23,23,1626086.564878813,5436389.837282098,-0.548941181
24,24,1626196.252383825,5436379.847990082,0.20145098
25,25,1627015.7023775,5436376.620294094,1.475923641
26,26,1626236.743658782,5436373.566975391,0.264708741
27,27,1626259.259257808,5436353.541128828,0.243028572
28,28,1626726.398249166,5436347.629243545,-0.379283022
29,29,1626973.910230196,5436317.915184551,1.104386581
30,30,1626959.767456647,5436296.703993232,0.950825004
31,31,1626729.670532399,5436288.243922601,-0.61634616
32,32,1626946.741191335,5436284.026188137,0.643024873
33,33,1626090.451364077,5436270.531458173,-0.19843
34,34,1626718.306852291,5436273.184195339,-0.269411756
35,35,1626934.27293138,5436260.567717921,0.896714288
36,36,1626922.48744292,5436246.979095717,0.786799991
37,37,1625739.694600503,5436241.485199497,-0.47625491
38,38,1625975.473106129,5436232.857621267,-0.910000026
39,39,1626289.508853691,5436209.605218893,0.35856862
40,40,1626898.333398627,5436208.305392522,0.8692963
41,41,1626240.780967654,5436200.18503816,0.341405941
42,42,1626272.420789395,5436194.490781502,0.3585
43,43,1626872.742332641,5436177.356031172,0.809040005
44,44,1626261.061922941,5436165.50405413,0.362705701
45,45,1626853.695242637,5436157.685995563,0.568807698
46,46,1626861.180468352,5436147.682725769,2.15718748
47,47,1626853.735790426,5436137.585113166,1.888202545
48,48,1625784.409970386,5436111.686286428,-0.508884628
49,49,1625543.60835873,5436102.349102634,2.598585713
50,50,1626823.51043897,5436097.758358183,1.365114299
51,51,1625528.742479916,5436082.132207483,2.786787907
52,52,1625973.225619753,5436080.894064164,-0.910000026
53,53,1626815.711186535,5436078.095299792,2.52903996
54,54,1626800.777100735,5436057.952470941,1.677937512
55,55,1626183.529693127,5436050.428773513,0.310666668
56,56,1625505.954473557,5436047.46214437,2.835771072
57,57,1625925.393014883,5436047.985428011,-0.893617251
58,58,1626792.587286561,5436034.875131952,2.490837397
59,59,1625723.826848998,5436012.176688034,-0.054018864
60,60,1625934.561709682,5435991.48491504,-0.910000026
61,61,1625527.973752097,5435982.94837751,0.319115386
62,62,1626127.059652889,5435981.201389934,0.301941177
63,63,1626766.585971964,5435973.312877804,1.026079995
64,64,1626765.699915495,5435948.485544768,1.916574607
65,65,1625896.74069502,5435941.757554567,-0.910000026
66,66,1626755.411062979,5435933.464374848,0.429809526
67,67,1625419.520561781,5435923.016427751,3.374563449
68,68,1626137.586351277,5435920.543781203,0.305301886
69,69,1626059.051243198,5435911.638287665,0.21216832
70,70,1625896.598921451,5435901.868552007,-0.910000026
71,71,1626009.52892843,5435901.466299347,0.109150945
72,72,1625877.588361953,5435897.053782203,-0.910000026
73,73,1626155.093362307,5435898.325517524,0.324046725
74,74,1626197.673899474,5435880.847485418,0.318442319
75,75,1626185.043503124,5435976.683235011,0.353296748
76,76,1625624.136947022,5435870.971229842,-0.462738704
77,77,1626220.15217941,5435850.849485367,0.296711543
78,78,1625580.345692034,5435845.686771794,-0.898853957
79,79,1625628.87294334,5435842.195355412,-0.35629127
80,80,1626269.60254754,5435841.075538144,0.219441179
81,81,1626299.716971826,5435840.966899048,0.192068627
82,82,1625391.532149754,5435818.108400976,0.099673079
83,83,1626731.619188982,5435813.314970746,0.398857144
84,84,1626747.448101029,5435840.723654491,1.76753801
85,85,1625350.86978767,5435774.523476496,0.222186275
86,86,1625421.80578594,5435763.927380438,-0.340346154
87,87,1625524.075260462,5435767.172801503,-0.887440324
88,88,1625580.073486353,5435768.15511382,-0.844850022
89,89,1625331.428847643,5435754.269790551,0.369615386
90,90,1625828.353355975,5435753.911717057,-0.823278352
91,91,1625485.844803782,5435733.582016141,-0.740839992
92,92,1625820.313718885,5435732.404358765,-0.801686292
93,93,1625609.87863356,5435723.379223529,-0.369346164
94,94,1626738.481210799,5435756.412485867,1.248217673
95,95,1626739.264680157,5435709.14600009,2.297226626
96,96,1625464.017409051,5435703.74120433,-0.875902464
97,97,1625293.578566624,5435694.567052166,0.405830192
98,98,1625451.829785692,5435694.538576839,-0.795384631
99,99,1625802.843805396,5435691.518714674,-0.855981467
100,100,1625559.31509155,5435685.268953843,-0.864256381
101,101,1625414.127507898,5435633.904272254,-0.910000026
102,102,1625828.055315434,5435637.639310232,-0.748531817
103,103,1625764.410130562,5435623.487164886,-0.910000026
104,104,1625782.347720245,5435627.260740162,-0.910000026
105,105,1625925.684505473,5435612.566111433,-0.910000026
