OID,FID_,X,Y,BCE_New_Ri
0,0,1242630.550370835,4841913.646357494,0.750259548
1,1,1242949.389864296,4844397.80702482,0.826129433
2,2,1243229.255282832,4840219.98575982,0.889162345
3,3,1239181.459182633,4838582.538049233,1.13014588
4,4,1242481.412133583,4846542.82889383,1.18970988
5,5,1242743.296716458,4846758.262281182,1.515156853
6,6,1244110.411644138,4841099.847324464,0.881772867
7,7,1243514.901175782,4843177.224291143,0.643212494
8,8,1245595.572473183,4841934.161152081,0.289893721
9,9,1238879.474527205,4838258.238764478,1.62452173
10,10,1244925.250733691,4842488.406683829,0.824803034
11,11,1241094.692887956,4845459.536436955,1.344507788
12,12,1245292.438978862,4842063.808868548,0.474565216
13,13,1244541.51707424,4841562.473104902,0.898921563
14,14,1241294.618442921,4845302.192710281,1.170564778
15,15,1241083.441628779,4845173.91615688,0.877377556
16,16,1241377.882016666,4845301.951240724,0.80877551
17,17,1241242.55127205,4845063.607224944,0.687793105
18,18,1240984.352932074,4844856.196114934,1.200641975
19,19,1240828.171587951,4844668.341306546,0.204279071
20,20,1243191.415404695,4844378.038144098,1.147871891
21,21,1240426.804165226,4844963.156008616,1.211360716
22,22,1244295.832123678,4841121.237176554,1.06795717
23,23,1238247.804695292,4835365.069504127,1.503532801
24,24,1242775.727043787,4845997.303287009,0.761053389
25,25,1239324.096226182,4836105.914519038,0.882419734
26,26,1243524.037020346,4840275.096562789,1.030733331
27,27,1242064.61888378,4839441.737884423,0.783048826
28,28,1241275.470785797,4845269.668455213,1.296621983
29,29,1242747.865670816,4846740.6604919,1.535985974
30,30,1240846.85036085,4847174.402825587,2.119694728
31,31,1242935.48327191,4844589.651684576,1.403072275
32,32,1245361.745584605,4842026.827429092,0.811635578
33,33,1242927.332390968,4842811.157920022,1.450106832
34,34,1245704.963753858,4841944.889631775,-0.151780956
35,35,1245602.8298616,4841951.885675243,1.14076781
36,36,1241624.900346159,4848834.118466864,0.180150002
37,37,1241654.660182024,4848828.360589393,-0.845666687
38,38,1241507.406180865,4848746.245326868,0.314999998
39,39,1241440.752887732,4848697.007057982,0.654697776
40,40,1241391.273297466,4848666.027325966,0.280714286
41,41,1241164.650373954,4848502.954592243,0.360374998
42,42,1242274.858302841,4847861.045505966,0.766692763
43,43,1241945.23815098,4847830.936802485,-0.618252386
44,44,1242417.504153487,4847849.431478424,0.520280762
45,45,1242213.845336939,4847831.888225322,0.682435857
46,46,1241966.080577411,4847802.031437668,-0.112075467
47,47,1242155.811007672,4847806.014764714,0.744754937
48,48,1242127.451565492,4847744.947563505,0.907961744
49,49,1241997.463210274,4847742.455108308,-0.553226332
50,50,1242609.194234476,4847631.464392679,0.514778796
51,51,1242126.64069598,4847686.342771433,0.686626919
52,52,1242183.505002112,4847590.262897785,0.538548733
53,53,1240777.436782849,4847827.502737343,0.827930932
54,54,1242190.767734076,4847556.567711803,0.547709659
55,55,1242619.290707854,4847530.845591623,0.524021749
56,56,1242620.97064896,4847510.915246838,0.617173925
