OID,FID_,X,Y,BCE_New_Ri
0,0,1241671.568704979,4848796.733462288,-0.841421699
1,1,1241649.617254604,4848681.882425586,-0.730842065
2,2,1241653.719508701,4848645.579815345,-9999.0
3,3,1241686.606911799,4848613.088850731,-0.442002816
4,4,1241761.223046575,4848582.030131256,-0.301446806
5,5,1241735.611361605,4848557.473402362,-0.311166521
6,6,1241717.137550341,4848514.126915855,-0.324204085
7,7,1241683.295715661,4848525.142088617,-0.497502406
8,8,1241671.826889447,4848456.36782871,-0.413411759
9,9,1241692.531743903,4848457.591359758,-0.474599988
10,10,1241663.259848767,4848443.016982261,-0.444166649
11,11,1241725.063250169,4848434.476543188,-0.530818847
12,12,1241804.726316925,4848434.175679922,-0.333478262
13,13,1241824.698659819,4848441.885423614,-0.340974355
14,14,1241827.113363379,4848415.468498554,-0.39647727
15,15,1241653.672788046,4848382.687314777,-0.407236696
16,16,1241748.827508278,4848392.457607539,-0.443858859
17,17,1241779.536473215,4848380.957326542,-0.333208332
18,18,1241663.736259283,4848361.389310841,-0.246715601
19,19,1241753.511145274,4848355.471483654,-0.437536835
20,20,1241790.510389998,4848320.239920193,-0.360562696
21,21,1241427.090723598,4848261.631949795,-0.077209756
22,22,1241321.628983967,4848235.951053405,0.06144086
23,23,1241374.830963559,4848208.466583366,-0.02184058
24,24,1241318.31446336,4848195.108495384,0.031851852
25,25,1241368.519929403,4848198.078380295,-0.025728572
26,26,1241348.953566433,4848177.621420878,0.012826086
27,27,1241766.725003876,4848214.658366424,-0.371460097
28,28,1241301.811370955,4848178.843543137,0.037523482
29,29,1241378.266949611,4848166.882393965,0.045302023
30,30,1241771.026435455,4848176.239361124,-0.413757883
31,31,1241456.417945737,4848142.649242141,0.017519481
32,32,1241835.921214217,4848140.581249317,-0.219604318
33,33,1241858.558190645,4848101.291945395,-0.223484202
34,34,1241281.305873624,4848033.410443714,0.056673913
35,35,1241453.157966006,4848047.286046093,0.000864583
36,36,1241332.480743209,4848006.406404678,0.062121428
37,37,1241776.550956559,4848031.917908857,-0.344528985
38,38,1241767.92536332,4848002.093982099,-0.473977279
39,39,1241731.191874868,4847979.163396788,-0.512353787
40,40,1241394.648703921,4848002.235183845,-0.021917848
41,41,1241431.585603938,4847951.435922626,-0.041971431
42,42,1241823.037837803,4848021.918708135,-0.366924074
43,43,1241796.249836298,4847932.933463437,-0.341391298
44,44,1241639.242007665,4847914.04508434,-0.942999995
45,45,1242283.35273728,4847846.529881536,0.557007027
46,46,1242372.648423777,4847846.78560275,0.540913463
47,47,1241737.472677567,4847814.289602281,-0.309669064
48,48,1242318.030205794,4847833.548605491,0.513000011
49,49,1242311.718176813,4847823.161443374,0.513000011
50,50,1242249.696216323,4847809.486943878,0.496095244
51,51,1242301.955748362,4847812.570683182,0.513000011
52,52,1242282.999189228,4847781.75997416,0.513000011
53,53,1242300.624626296,4847788.246421252,0.513000011
54,54,1242215.944625421,4847774.020439624,0.502632586
55,55,1242345.715993939,4847775.093582065,0.513000011
56,56,1242422.411842464,4847787.966533002,0.513000011
57,57,1242501.551788822,4847782.683083589,0.513000011
58,58,1242439.090439927,4847751.437738665,0.513000011
59,59,1242200.293991765,4847716.438498126,0.513043489
60,60,1241980.210820663,4847693.227721295,-0.457565231
61,61,1242322.564090571,4847704.211238784,0.513000011
62,62,1242291.642955314,4847691.583065225,0.513000011
63,63,1242186.358158185,4847691.573209858,0.543354435
64,64,1242454.525651291,4847691.379614033,0.513000011
65,65,1242334.352258371,4847674.275730911,0.513000011
66,66,1241466.046636978,4847602.952471121,-0.213782609
67,67,1242228.899027629,4847648.610224944,0.513000011
68,68,1242287.074119437,4847651.658697447,0.513000011
69,69,1242298.16516746,4847642.096288782,0.513000011
70,70,1242329.21810294,4847643.92857241,0.513000011
71,71,1241975.023505586,4847628.113547199,-0.512371885
72,72,1242174.586601042,4847633.157074798,0.568919744
73,73,1242299.931860579,4847612.156283651,0.513000011
74,74,1242276.496021592,4847600.960703282,0.513000011
75,75,1242310.871670124,4847602.787061063,0.513000011
76,76,1241629.438507478,4847554.32240685,-0.461879855
77,77,1242269.929599599,4847590.154202874,0.513000011
78,78,1242305.652021368,4847582.449562337,0.513000011
79,79,1242281.155785551,4847571.654334476,0.513000011
80,80,1242326.439467462,4847573.661396103,0.513000011
81,81,1242271.823843223,4847560.423836338,0.513000011
82,82,1242306.326647459,4847562.459868735,0.513000011
83,83,1241768.672819333,4847520.695307631,-0.645428557
84,84,1242245.863067806,4847549.620255713,0.513000011
85,85,1242265.384867172,4847549.826964491,0.513000011
86,86,1241796.361583085,4847512.316719783,-0.553955526
87,87,1242390.396505414,4847537.375846364,0.513000011
88,88,1241950.339464257,4847486.062615103,-0.443236833
