OID,FID_,X,Y,BCE_Ohiwa_
0,0,1958728.332601544,5788638.1458289,0.22030769
1,1,1958744.120823015,5788637.452129479,0.230887495
2,2,1958643.988768232,5788631.858771284,0.180242187
3,3,1958751.732047146,5788626.917121861,0.200636364
4,4,1958794.978597095,5788614.555957594,0.240440365
5,5,1957900.141371697,5788704.073888947,0.640371021
6,6,1958548.354838591,5788615.133398942,0.179996463
7,7,1957876.606848804,5788615.779195819,0.335884297
8,8,1958468.788978425,5788577.431866468,0.558215931
9,9,1958960.177371357,5788518.247440997,0.314203708
10,10,1957860.376587301,5788543.480301354,0.158112014
11,11,1958437.171142814,5788491.7842207,0.148470587
12,12,1958025.779394397,5788489.121603911,0.002574998
13,13,1957375.010487388,5788560.608486307,0.229676379
14,14,1957417.511906356,5788505.781522665,-0.011766235
15,15,1957845.03327704,5788486.899114241,-0.032350168
16,16,1958230.146229451,5788460.172739121,0.222525002
17,17,1957835.014197723,5788467.508654417,-0.09815
18,18,1958103.251006415,5788455.955575022,-0.364872727
19,19,1958202.941013991,5788456.284935998,-0.003318182
20,20,1957422.0206409,5788484.712807037,0.307180194
21,21,1957842.626297347,5788456.974562882,-0.160145448
22,22,1958155.504796948,5788440.856179847,-0.646940041
23,23,1957184.662179067,5788426.042349852,0.049397436
24,24,1957200.449775196,5788425.351609219,-0.009857142
25,25,1958404.816682257,5788417.953794123,0.157476885
26,26,1957121.043735295,5788418.104708673,0.024400001
27,27,1957207.331621061,5788415.058315557,-0.14036
28,28,1957272.408632617,5788450.514716415,-0.132095969
29,29,1958355.275477289,5788365.105948806,0.174463089
30,30,1959923.227933537,5788295.981884739,0.037272727
31,31,1957617.947604185,5788387.08930566,-0.000500001
32,32,1957633.35267069,5788385.551190011,-0.003303029
33,33,1959875.580419576,5788287.881672364,0.014282051
34,34,1959891.368123166,5788287.185703094,0.006730769
35,35,1959907.155827621,5788286.489703161,-0.003025002
36,36,1960088.714490703,5788278.483500121,0.057217949
37,37,1960104.389126392,5788277.619545396,0.086135137
38,38,1957597.776329144,5788377.98092127,-0.24757233
39,39,1957765.85523181,5788403.653740905,-0.532279328
40,40,1959689.635556004,5788286.083833488,0.101538462
41,41,1959776.46777419,5788282.257599677,0.056064516
42,42,1959827.777733363,5788279.99621137,0.022149998
43,43,1959851.459256844,5788278.952377996,-0.008579399
44,44,1960119.849983062,5788267.117508155,0.081624999
45,45,1959661.567750663,5788277.327893037,0.097901289
46,46,1960241.764572069,5788251.746055717,0.140398732
47,47,1960261.059063003,5788240.901998852,0.081700001
48,48,1959546.041671135,5788274.190399444,0.563617089
49,49,1957074.993164763,5788391.125570222,0.249457844
50,50,1960393.053099581,5788185.112738679,0.058900001
51,51,1960408.840520003,5788184.415651296,0.0473625
52,52,1960439.97523538,5788173.048604458,0.109475
