OID,FID_,X,Y,BCE_Ohiwa_
0,0,1957912.155205472,5788783.880222747,1.110299995
1,1,1957904.751579722,5788764.018682602,1.013448985
2,2,1957927.674903994,5788777.058811995,1.049706774
3,3,1957886.270546768,5788724.495493774,0.947594212
4,4,1957878.22739861,5788714.858415456,0.71426666
5,5,1957869.483396507,5788695.299889741,0.724718762
6,6,1957860.750017823,5788675.688376355,1.31603174
7,7,1958706.108306968,5788632.890427643,0.200034955
8,8,1958505.983836038,5788617.934991107,0.286200001
9,9,1958474.881166192,5788608.457348116,0.7850351
10,10,1958495.349898583,5788600.915279778,0.344272154
11,11,1958449.578320507,5788579.375753434,0.964448255
12,12,1958488.444117604,5788578.735649435,0.210769231
13,13,1957390.738542357,5788616.867886597,0.461950006
14,14,1957872.272748717,5788595.775145699,0.785012645
15,15,1958882.552445757,5788551.637257061,0.297245617
16,16,1957374.581072051,5788607.490914452,0.507160001
17,17,1957880.175724364,5788622.737928507,0.256836892
18,18,1957903.630195687,5788589.404463393,0.099153846
19,19,1958471.780234413,5788559.482626426,0.199362499
20,20,1957406.259447166,5788602.856597171,0.400491223
21,21,1957910.868403541,5788574.09873371,0.140774998
22,22,1957358.290818322,5788587.816431973,0.463300003
23,23,1957918.480534799,5788563.564573154,0.153672727
24,24,1958928.601330535,5788519.635678921,0.234672729
25,25,1957350.480076008,5788577.688363992,0.667846154
26,26,1957870.086990718,5788545.909566571,0.072575
27,27,1957948.434017104,5788532.690869501,0.141543858
28,28,1957317.00966822,5788549.678968912,0.981871426
29,29,1957363.968992646,5788547.365602624,0.031867925
30,30,1957387.856161749,5788547.25676354,0.037290908
31,31,1958449.981849303,5788530.090152056,0.369095238
32,32,1958989.999300919,5788476.966462586,0.277407407
33,33,1957988.043382263,5788501.497720028,0.055525316
34,34,1957314.891338834,5788510.273447447,0.0489875
35,35,1958020.752569463,5788481.913440806,-0.032774437
36,36,1957417.07529879,5788495.80842156,-0.234437506
37,37,1958055.702164964,5788462.256574717,-0.333740741
38,38,1958225.396089208,5788454.052710227,0.121348601
39,39,1958246.92106139,5788432.217685462,-0.063599999
40,40,1958429.653058289,5788445.995083833,0.117499393
41,41,1958261.83345477,5788411.57891437,-0.12130918
42,42,1958401.467721849,5788402.900011557,0.164399999
43,43,1958275.038994465,5788398.040591,-0.136054551
44,44,1958377.212192017,5788383.333245439,0.262159422
45,45,1958400.747408606,5788382.738748556,0.026525001
46,46,1959032.100015139,5788355.205804999,0.191290911
47,47,1957074.308434544,5788420.169817346,0.729812494
48,48,1958375.020585314,5788367.214192983,0.123112972
49,49,1959741.824397857,5788303.76905151,0.183049999
50,50,1959876.020083493,5788297.854247281,0.0468
51,51,1959891.775721898,5788296.431677782,0.061905661
52,52,1957594.266231021,5788388.126614433,-0.032962028
53,53,1957704.811216786,5788384.012702976,-0.543520002
54,54,1959851.8988658,5788288.925568777,0.034699999
55,55,1957065.555466967,5788400.886179655,0.653632345
56,56,1957138.817079269,5788418.455224518,0.051721672
57,57,1957615.646653597,5788379.696004552,-0.091416668
58,58,1959662.007311229,5788287.300629963,0.140350001
59,59,1959723.784141779,5788289.242333377,0.113480607
60,60,1959811.990053166,5788280.692050857,0.024983333
61,61,1959835.671574076,5788279.64827629,0.007769231
62,62,1959888.735892675,5788278.736662011,-0.022305207
63,63,1959069.376058079,5788303.604136755,0.237589281
64,64,1957077.693047764,5788380.760816474,0.100127659
65,65,1959526.933517801,5788273.265715165,0.6106
66,66,1959616.427259384,5788276.068566247,0.336228306
67,67,1959091.741426799,5788272.642659306,0.286072723
68,68,1959531.127694233,5788254.761377712,0.102748111
69,69,1957070.877515256,5788356.078500633,0.025949367
70,70,1959099.351811873,5788262.107050565,0.222844158
71,71,1957058.382645529,5788341.636737569,0.041259741
72,72,1959106.806913949,5788251.787254266,0.203562498
73,73,1959498.308135715,5788237.566491305,0.085147436
74,74,1960157.616883842,5788250.131003877,0.039300724
75,75,1960353.868858837,5788197.043425933,0.036272727
76,76,1959114.261961814,5788241.466854181,0.188987181
77,77,1959121.717512389,5788231.146333056,0.187177216
78,78,1959429.573169062,5788217.59781938,0.14233766
79,79,1959472.988810614,5788215.686174724,0.0642125
80,80,1960388.441559443,5788176.838196689,-0.020681033
81,81,1957053.345320662,5788316.876638737,-0.087006331
82,82,1959129.327309977,5788220.611018958,0.178296293
83,83,1959405.452837609,5788208.667264232,0.111597403
84,84,1959421.240322138,5788207.972194047,0.087999999
85,85,1959452.815293775,5788206.581961692,0.063787501
86,86,1959270.820342277,5788204.600956282,0.222125003
87,87,1959436.588693204,5788197.303913249,0.044752136
88,88,1959222.580347045,5788186.738798115,0.296974355
89,89,1959238.367803099,5788186.043814901,0.188897432
90,90,1959279.026597679,5788185.682302188,0.143969146
91,91,1959198.021486239,5788167.834565065,0.181049996
92,92,1959233.543087151,5788166.271471163,0.165957449
93,93,1960506.222107974,5788131.334428687,0.025155899
94,94,1960612.291444171,5788106.211141136,0.154329115
95,95,1960634.474540404,5788100.042050161,0.152399998
96,96,1960665.490978301,5788085.892289489,0.071625
97,97,1956986.052760135,5788224.89399293,-0.066950003
98,98,1957541.616173049,5788167.390040245,-0.199030855
99,99,1957556.241905415,5788151.03582454,0.525992124
100,100,1957662.147509373,5788153.679060678,-0.241779414
101,101,1957600.839530473,5788146.017161908,0.681066462
102,102,1957686.040447512,5788131.004200775,3.282257139
103,103,1956871.957718253,5788146.904320383,0.059300001
104,104,1956935.202702245,5788147.180259319,-0.0327
105,105,1957701.347965188,5788119.772195534,2.887240391
106,106,1956771.074927086,5788140.316327401,0.539599994
107,107,1956894.863328693,5788128.959260562,1.299374993
108,108,1957775.155073253,5788108.500187496,-0.216379769
109,109,1957399.794509498,5788113.336639366,-0.131243428
110,110,1957743.222685355,5788097.307627629,2.441653787
111,111,1956920.87626076,5788112.137691131,0.0991659
112,112,1957354.589481486,5788092.193598781,-0.017548119
113,113,1957786.45820749,5788077.367342145,2.655991609
114,114,1957801.709742191,5788068.548750038,1.828111119
115,115,1957896.463576896,5788065.123588418,-0.624769232
116,116,1961116.873335645,5787923.501330343,0.074218176
117,117,1957331.642458543,5788079.875377818,-0.083025643
118,118,1957809.619162432,5788060.1742496,2.365559315
119,119,1957911.813829112,5788054.458280207,-0.632050003
120,120,1957315.478813124,5788072.665915338,-0.142660102
121,121,1957825.035689089,5788055.457458139,2.659239704
122,122,1957871.908631968,5788046.215543048,3.486333331
123,123,1957923.216499007,5788043.965959798,-0.534616355
124,124,1957887.651731873,5788042.497892267,2.194465753
125,125,1956714.008282034,5788072.64104707,1.384000003
126,126,1956758.519704114,5788078.306318659,0.171131579
127,127,1957293.697246922,5788056.097673032,-0.117293169
128,128,1957903.173835193,5788031.788653828,3.23610003
129,129,1957936.481562926,5788026.15778669,-0.281868545
130,130,1956789.022928516,5788063.433209453,0.103454548
131,131,1957279.164445224,5788042.203561367,-0.075211532
132,132,1957918.357435466,5788019.671747521,1.444153341
133,133,1956788.169284052,5788043.90258674,0.121481482
134,134,1956733.91276906,5788049.19116451,0.172722793
135,135,1957938.562247837,5787991.34279068,2.787656093
136,136,1957956.066473706,5787974.042675134,5.763454611
137,137,1956881.737400847,5788009.627747292,0.422712497
138,138,1956896.049703523,5788046.968644479,-0.0653934
139,139,1957245.069905822,5787999.266878209,-0.079384616
140,140,1956550.790503215,5788014.848067287,1.394482741
141,141,1956801.414436721,5788071.645131845,0.361247834
142,142,1956888.758706779,5787989.336469498,0.880475002
143,143,1958003.411758279,5787967.264572361,0.198593143
144,144,1956565.926352347,5787995.313792155,1.14855813
145,145,1958001.755003152,5787932.138761017,2.180056603
146,146,1958024.934657295,5787928.861326051,2.479240007
147,147,1956573.757990863,5787985.412299345,1.136888884
148,148,1958032.719903694,5787920.738345605,4.691565254
149,149,1958071.857422068,5787916.810796168,4.287249923
150,150,1958158.716622969,5787913.728577105,-0.647265825
151,151,1956582.530461516,5787973.385672847,0.909272757
152,152,1956832.035559508,5787964.070129264,0.655673909
153,153,1956915.077239322,5787958.209281889,0.503012578
154,154,1956962.437200858,5787956.138337081,-0.012232259
155,155,1958079.542630613,5787909.274324502,-9999.0
156,156,1958170.118665819,5787903.235700891,-0.558775006
157,157,1956973.841047795,5787945.647469993,-0.0087
158,158,1958122.963909834,5787902.676042417,3.991107145
159,159,1958189.414529459,5787892.396759287,-0.588103897
160,160,1956941.831670063,5787937.055086188,1.025250009
161,161,1956981.298124023,5787935.328902926,0.010987342
162,162,1958157.789417581,5787889.391638034,1.71696031
163,163,1956949.28886069,5787926.736830362,1.00826582
164,164,1957399.654579731,5787906.433573404,0.228169229
165,165,1957470.247006896,5787903.938952119,-0.022775001
166,166,1957554.733738964,5787906.899696984,0.016790598
167,167,1958173.093914012,5787873.668446977,0.791197182
168,168,1957392.290874653,5787897.082336745,0.991905668
169,169,1958181.030506237,5787864.263169366,1.681862752
170,170,1958219.674961846,5787861.092071906,-0.34579488
171,171,1956642.665650716,5787984.560139547,0.435996431
172,172,1956970.233336261,5787913.070495385,0.829861909
173,173,1958195.722329393,5787852.365145326,2.152782623
174,174,1956987.45230554,5787895.09813246,1.098333345
175,175,1957002.797204764,5787884.428086187,0.418950001
176,176,1957022.51502214,5787883.214383853,-0.076862385
177,177,1958208.810369546,5787839.777954759,2.634112591
178,178,1958238.392219128,5787839.394162855,-0.206732051
179,179,1957010.254266804,5787874.109765155,0.489574998
180,180,1958226.074420282,5787821.186112844,2.156406262
181,181,1958233.924589054,5787811.537687987,3.863886761
182,182,1957017.27509834,5787853.818342417,0.888898742
183,183,1957033.06156343,5787853.127846434,0.019300001
184,184,1958248.681601533,5787799.939515803,2.527855268
185,185,1958280.413881012,5787803.468343162,-0.173
186,186,1958256.438898514,5787790.034809288,5.28275001
187,187,1958303.437015556,5787787.469205317,-0.237999993
188,188,1957024.513998813,5787838.513460579,0.896891721
189,189,1957045.489875165,5787835.930586368,0.031207627
190,190,1957401.610007475,5787847.799855153,0.262736325
191,191,1958264.301417596,5787780.511613393,-9999.0
192,192,1958310.892472591,5787777.14957361,-0.159349995
193,193,1957403.459482371,5787807.740224496,0.715365078
194,194,1958279.22251591,5787773.929470262,2.638725823
195,195,1958330.187768722,5787766.310151769,-0.205709782
196,196,1957069.757926827,5787818.215362322,-0.044854431
197,197,1957035.405198907,5787813.896364859,0.723279154
198,198,1958297.959910878,5787758.931552189,3.446575269
199,199,1957062.016866248,5787791.908190607,0.965750002
200,200,1958317.773086811,5787739.053794268,5.557000065
201,201,1957077.36692358,5787781.244503291,0.805884613
202,202,1958333.090337272,5787728.284327678,4.029000013
203,203,1964994.165603301,5787431.264272597,-0.747833357
204,204,1958348.40966152,5787717.514072372,5.539600086
205,205,1958393.276861536,5787717.005525431,-0.071949724
206,206,1958363.59703472,5787711.860981617,2.840579745
207,207,1958414.386139494,5787702.658898711,-0.103032256
208,208,1958379.053592091,5787695.971545207,4.712555567
209,209,1958394.456427566,5787684.85713858,4.58199999
210,210,1958449.029157747,5787681.153080789,-0.146424999
211,211,1958460.430907009,5787670.659967855,-0.122374195
212,212,1958413.076349398,5787673.155144647,2.364854044
213,213,1958437.620877268,5787649.312359042,2.836500006
214,214,1958498.582541047,5787639.007185215,-0.101435897
215,215,1958509.984093827,5787628.513763444,-0.090150004
216,216,1958460.425040339,5787628.350798094,4.357391329
217,217,1958525.332318773,5787617.847435652,-0.133448723
218,218,1958478.006906177,5787611.024290591,-9999.0
219,219,1958039.357300466,5787618.370972277,0.826783587
220,220,1958493.344878834,5787605.563067641,2.991287667
221,221,1958508.701835713,5787595.030511092,2.221178226
222,222,1958524.058850151,5787584.497916888,2.079527134
223,223,1958565.345095015,5787578.87838916,-0.210042454
224,224,1958073.064237667,5787587.531614065,1.073927275
225,225,1958539.448080603,5787573.822167906,1.099090905
226,226,1961485.546186165,5787671.33295387,0.078049875
227,227,1961845.984071419,5787421.549143602,0.290226415
228,228,1962047.414717929,5787412.407976259,-0.152470971
229,229,1958554.299622937,5787556.649214206,0.907113936
230,230,1958561.838670517,5787546.429552615,1.141605274
231,231,1958585.378083473,5787544.534204518,-0.110203701
