OID,FID_,X,Y,BCE_Ohiwa_
0,0,1958625.742853278,5788643.379394751,0.310886787
1,1,1958671.928777621,5788645.528458769,0.430991008
2,2,1958870.989843514,5788574.695972519,0.450092054
3,3,1958891.730376458,5788556.210984949,0.622822219
4,4,1958060.208192941,5788477.122941842,-0.050934782
5,5,1958143.998185319,5788456.308362036,-0.233930797
6,6,1957427.171347543,5788455.395688002,-0.503837502
7,7,1958275.415589816,5788412.492482055,0.077961539
8,8,1957444.883158062,5788414.288814235,-0.648000002
9,9,1959670.68262283,5788294.535144886,0.198225001
10,10,1960060.866434126,5788290.153911439,0.101593496
11,11,1957523.349807972,5788379.581207816,-0.25366038
12,12,1960121.441127001,5788272.055876185,0.105045455
13,13,1959625.515455089,5788289.020147356,0.411357386
14,14,1960135.509040294,5788258.509188825,0.086384614
15,15,1960108.643080887,5788239.828673974,-0.030916298
16,16,1960189.053493841,5788233.009850065,-0.029033149
17,17,1960285.585941045,5788213.830166795,0.013286291
18,18,1960375.791978167,5788191.40166652,0.031096605
19,19,1959236.0061395,5788194.960825987,0.261435899
20,20,1960515.846860419,5788144.625924286,0.097222629
21,21,1959345.573871247,5788137.566873026,-0.120943495
22,22,1961244.579078942,5787876.698936595,0.257576278
23,23,1963801.045078345,5787756.625171261,-0.864000022
24,24,1961268.166713136,5787866.222937335,0.269895832
25,25,1958997.707934623,5787941.249213453,-0.648000002
26,26,1963857.188382886,5787724.848143683,-0.864000022
27,27,1958515.954779693,5787948.214372952,-0.648000002
28,28,1964051.931320515,5787698.638512029,-0.864000022
29,29,1963954.196867137,5787712.985464284,-0.864000022
30,30,1959069.767561466,5787943.379994616,-0.218365692
31,31,1958585.315553679,5787878.818865418,-0.648000002
32,32,1960417.083910022,5787797.069056761,-0.648000002
33,33,1957599.739435499,5787887.667061524,0.035357142
34,34,1960383.756454507,5787696.467237272,-0.648000002
35,35,1960516.436040452,5787696.528145188,-0.648000002
36,36,1960544.096177179,5787669.023569662,-0.648000002
37,37,1964932.959181708,5787473.76435849,-0.864000022
38,38,1964915.543853493,5787434.361605263,-0.864000022
39,39,1960509.879942005,5787610.578894499,-0.331547172
40,40,1960517.643192672,5787599.826960252,-0.203500004
41,41,1960341.486588199,5787676.435066022,-0.648000002
42,42,1960579.597320522,5787577.521188217,-0.064763639
43,43,1964921.628009339,5787384.331245688,-0.47509804
44,44,1959772.12345532,5787643.343082656,-0.595708665
45,45,1964340.893126021,5787410.27626909,-0.864000022
46,46,1960675.6903309,5787575.681315198,-0.082646597
47,47,1960292.800265581,5787530.230472913,-0.648000002
48,48,1960789.925012525,5787553.625225042,-0.057502679
49,49,1960326.639690536,5787518.53577876,-0.648000002
50,50,1964396.530672746,5787327.846540583,-0.864000022
51,51,1964428.07116334,5787325.709570109,-0.864000022
52,52,1960315.140505125,5787498.849961222,-0.648000002
53,53,1962008.513692169,5787421.716972485,-0.029624997
54,54,1964390.343176768,5787288.520121123,-0.864000022
55,55,1964812.746711916,5787273.342596904,-0.467724652
56,56,1964782.793647787,5787250.63158179,-0.819797774
57,57,1964810.70379647,5787249.68887042,-0.243900002
58,58,1960281.27374572,5787440.80551719,-0.624370373
59,59,1964364.452106845,5787260.582275813,-0.864000022
60,60,1964433.454995027,5787256.245176655,-0.864000022
61,61,1960938.759781334,5787412.2241427,-0.023473002
62,62,1964432.56429243,5787236.298473068,-0.864000022
