OID,FID_,X,Y,BCE_Opua_I
0,0,1701620.69620601,6099569.356222944,-0.370250046
1,1,1701595.559066754,6099514.835480498,-0.373535255
2,2,1701738.035326699,6099463.410501712,-0.10800004
3,3,1698070.949095601,6099374.217673195,1.062371798
4,4,1698332.494438339,6099243.345270385,-0.657673678
5,5,1698184.188518096,6099278.274529577,0.271164302
6,6,1698134.705673792,6099079.759067158,0.652364478
7,7,1698141.329886174,6099049.3137153,1.241915193
8,8,1698333.816990991,6099071.193789146,-0.617229866
9,9,1697734.931022462,6098551.053782967,-0.48629999
10,10,1697644.924567538,6098542.063366972,-0.664425004
11,11,1697866.262742875,6098545.379287642,0.649182751
12,12,1698112.730723727,6098854.594867464,0.592369859
13,13,1697988.011177756,6098538.551236934,-0.8586607
14,14,1697783.750917288,6098530.596958796,-0.649049988
15,15,1697628.41797536,6098527.295638537,-0.671064716
16,16,1697841.01385284,6098519.808190356,-0.475473693
17,17,1697609.115151788,6098505.915252882,-0.631920171
18,18,1697562.552937311,6098483.168761306,0.105522726
19,19,1697589.140386071,6098485.372600209,-0.301531185
20,20,1697554.272553281,6098473.294172161,0.165674997
21,21,1697545.938525339,6098458.438020794,0.294620252
22,22,1697537.443188667,6098428.637247431,0.181595375
23,23,1697651.227148837,6098327.377132054,-0.610444972
24,24,1697593.035390469,6098149.274633853,-0.147010954
25,25,1697534.06477651,6097989.77710534,-0.799821458
26,26,1697573.291100729,6097964.190755232,-0.800098042
27,27,1697522.035987496,6097951.261871945,-0.267823795
28,28,1697572.705523675,6097925.271382281,-0.940800047
29,29,1697540.030917246,6097911.612376488,0.255755395
30,30,1701292.760428773,6097866.155804846,-0.469243523
31,31,1701282.894870816,6097834.533650204,-0.445307739
32,32,1697579.884965364,6097871.014314768,-0.612670839
33,33,1698431.000508267,6097851.088932092,5.44366676
34,34,1697637.563401273,6097859.428696173,-0.50331631
35,35,1701183.690289422,6097775.711251724,-9999.0
36,36,1697669.251222125,6097788.542799637,0.262876849
37,37,1697808.022587894,6097753.129942247,0.042400001
38,38,1697738.438959151,6097745.608435055,0.321259317
