OID,FID_,X,Y,BCE_Opua_I
0,0,1701571.879282145,6099588.344479681,-0.322538504
1,1,1701632.66609315,6099574.07610936,0.295732797
2,2,1701620.303917202,6099534.485680577,-0.363000035
3,3,1701809.80627395,6099485.021475084,-9999.0
4,4,1701756.387103445,6099477.887906166,-0.299888935
5,5,1698078.988179818,6099374.347961381,1.005274995
6,6,1698124.969398253,6099376.22592765,0.827634299
7,7,1698063.434553456,6099365.925725798,1.035052239
8,8,1698087.027401118,6099354.615387902,1.088027396
9,9,1698049.350705081,6099348.977764292,1.082474675
10,10,1698103.756832688,6099344.639482655,1.243807384
11,11,1698118.934339662,6099344.021674509,0.776965522
12,12,1698111.248755581,6099334.141014185,1.118112517
13,13,1698145.073399008,6099354.28323553,0.428177631
14,14,1698119.368361085,6099313.920174282,0.734249994
15,15,1698102.967404192,6099244.874235853,1.285225799
16,16,1698143.019532908,6099259.463176498,0.343092904
17,17,1698113.676467496,6099218.051654224,1.272108014
18,18,1698134.371245188,6099199.553893548,0.993332265
19,19,1698150.149917319,6099179.274052915,1.13191735
20,20,1698134.394775319,6099114.275426328,0.989068965
21,21,1698127.076778779,6099074.796378555,0.663692315
22,22,1701585.456792525,6099027.00187283,-9999.0
23,23,1701573.578362791,6099016.909395932,-9999.0
24,24,1701564.967506129,6099007.521961366,-0.312500041
25,25,1698153.905097042,6099088.011982612,0.694530758
26,26,1698165.599920965,6099020.247318143,0.551327437
27,27,1698148.488377016,6098999.937371074,1.035056832
28,28,1698164.617553724,6098994.984334096,0.577107119
29,29,1701507.553092953,6098957.82539809,-9999.0
30,30,1698163.36529487,6098950.765790642,0.574041379
31,31,1698144.429027315,6098915.280671693,1.15559714
32,32,1698147.08049109,6098885.569233495,0.855087717
33,33,1698146.863938966,6098865.643275844,0.732271173
34,34,1698098.429378718,6098815.324382916,0.90337705
35,35,1698130.24408666,6098825.419102994,0.582055559
36,36,1698117.717905513,6098800.98863337,0.5556503
37,37,1701282.11559661,6098761.438943022,0.200999958
38,38,1698081.446294818,6098785.80593631,1.232537295
39,39,1698074.110725202,6098775.41590824,1.090409111
40,40,1698113.361010626,6098776.125471378,0.462299998
41,41,1698084.53960607,6098756.510322413,0.76423254
42,42,1698047.604883499,6098736.910173414,0.75266667
43,43,1698082.482147349,6098736.604385659,0.144547375
44,44,1698031.079930316,6098717.115964469,0.933088598
45,45,1698065.920165765,6098716.855914528,0.656652153
46,46,1701250.936698364,6098677.321910656,-9999.0
47,47,1698051.199302732,6098697.087484334,0.423587504
48,48,1701197.635667247,6098658.238796384,-0.390714332
49,49,1698030.543232848,6098676.656882646,0.593824551
50,50,1697982.079530735,6098666.951365532,0.756253952
51,51,1701168.461998515,6098633.26593892,-9999.0
52,52,1697973.538887167,6098657.506135001,0.777771422
53,53,1698013.981565427,6098656.908295138,0.33692307
54,54,1697997.427716576,6098637.886252463,0.451348846
55,55,1697932.468678962,6098617.729699839,0.618203385
56,56,1697947.959451061,6098598.566150699,0.075475004
57,57,1697898.483404652,6098558.519708036,-0.282410707
58,58,1697914.240604583,6098559.075415026,-0.506840011
59,59,1697636.861296027,6098552.112791861,-0.372687499
60,60,1697621.335773379,6098541.471040211,-0.259443947
61,61,1697692.205649954,6098548.506588399,-0.520944082
62,62,1697849.440122667,6098539.535046269,0.809126691
63,63,1697635.940665731,6098522.232170817,-0.760785716
64,64,1697554.508602259,6098483.094630486,0.167063288
65,65,1697546.175863404,6098473.286858216,0.238101268
66,66,1697538.089620434,6098463.330037598,0.438863016
67,67,1697559.49760136,6098463.630673661,0.123818181
68,68,1697528.840285704,6098388.873609451,0.236874998
69,69,1697578.790719631,6098336.150921154,-0.079864329
70,70,1697584.055402032,6098203.940504513,0.274750001
71,71,1697567.6031523,6098194.154159301,0.579952378
72,72,1698321.522574442,6098168.797890697,-9999.0
73,73,1698303.791624217,6098162.038045604,-0.377333354
74,74,1697542.655757791,6098154.567131748,0.481950009
75,75,1698311.408590055,6098147.421085325,-0.637181851
76,76,1698008.226094854,6098101.950052116,-0.650923118
77,77,1697570.608416701,6098111.71041027,0.219984383
78,78,1698230.67624387,6098082.340730108,-0.62900005
79,79,1697566.096154111,6098054.67223879,-0.505500049
80,80,1698231.792504482,6098045.331524119,-0.369500041
81,81,1701389.965185817,6097994.269800483,-9999.0
82,82,1698260.652396439,6098008.159581483,-0.887666702
83,83,1698317.500838079,6098006.664379378,-9999.0
84,84,1698309.094929965,6097989.089568835,0.11166667
85,85,1701356.697944553,6097964.103010215,-9999.0
86,86,1701332.439809093,6097937.195849928,-9999.0
87,87,1698361.796278759,6097946.396835937,-9999.0
88,88,1701323.118430943,6097914.560595715,-0.467666705
89,89,1698373.891552661,6097931.318786436,-0.507000051
90,90,1698414.588958496,6097915.928834432,-9999.0
91,91,1701305.702563444,6097884.797032439,-9999.0
92,92,1698366.213292772,6097912.355055443,0.204377732
93,93,1698385.932576429,6097911.259236455,-0.242910474
94,94,1698430.824435029,6097905.78766267,-9999.0
95,95,1698373.568588672,6097897.829811192,-0.387983094
96,96,1698406.713706939,6097897.990809906,1.675799949
97,97,1701274.425308595,6097864.576741545,-0.52918186
98,98,1698423.025258072,6097886.46863162,1.681901374
99,99,1697540.39919831,6097886.185919856,0.67470588
100,100,1697551.587056313,6097930.18182253,-0.116644581
101,101,1697588.673851229,6097875.073693383,-0.682512812
102,102,1697613.027121004,6097875.014752575,-0.683655186
103,103,1697649.963828476,6097874.410960278,-0.799893975
104,104,1697553.869426528,6097873.089452987,-0.002477157
105,105,1697596.142268426,6097865.028806942,-0.303159982
106,106,1697662.121905581,6097865.041846662,-0.788392864
107,107,1697619.804801687,6097855.713761346,-0.254023807
108,108,1701175.964941327,6097815.654965665,-9999.0
109,109,1697579.503542548,6097855.670856577,0.282735767
110,110,1701260.664147677,6097824.037169581,-0.348449302
111,111,1697615.218209322,6097836.561493239,0.789481467
112,112,1701191.55976431,6097781.000782462,-9999.0
113,113,1697873.421890132,6097803.459003299,-0.352701148
114,114,1697857.215116187,6097782.693757576,-0.227228063
115,115,1697661.470263893,6097781.752684729,0.658458593
116,116,1697721.110361144,6097783.560254931,-0.188761663
117,117,1698438.285851369,6097767.140672849,2.32457327
118,118,1698386.930531557,6097596.933322842,4.943171528
119,119,1698370.187548376,6097577.47279549,5.175821384
120,120,1698345.203116447,6097537.899441064,-0.469466709
121,121,1698328.527632212,6097518.299517508,1.264207501
122,122,1696320.679592697,6097380.521598985,0.762161482
123,123,1698332.701469835,6097433.949290802,0.881781295
124,124,1696332.995949979,6097370.221708978,0.767527257
125,125,1698318.98880604,6097355.032768141,0.447944807
126,126,1696283.854588936,6097360.765150934,0.766155832
127,127,1696226.335584544,6097340.78507797,0.861175874
128,128,1696250.804433227,6097342.137070992,0.816081629
129,129,1696445.092099927,6097371.073691854,1.045149954
