OID,FID_,X,Y,BCE_Opua_I
0,0,1701839.4940915,6099605.363832339,-9999.0
1,1,1701718.499700468,6099543.344262058,-9999.0
2,2,1701538.828766332,6099505.508623163,-9999.0
3,3,1701553.655073428,6099560.699919056,-0.095934097
4,4,1701717.609509421,6099508.12291889,-0.308133375
5,5,1701570.702925931,6099485.221720857,-9999.0
6,6,1701709.545399165,6099478.619958727,-0.196600025
7,7,1701642.97173027,6099521.54873653,0.047521061
8,8,1701647.533946768,6099371.50036977,-9999.0
9,9,1698683.764032374,6099377.928788841,-9999.0
10,10,1701716.143635634,6099334.120963522,-0.367307736
11,11,1698593.639370811,6099358.984662404,-9999.0
12,12,1701724.204830519,6099324.065901081,-0.16470671
13,13,1698535.827759635,6099289.662040463,-9999.0
14,14,1701750.399515086,6099406.277304865,0.274858473
15,15,1698543.296387514,6099279.616394276,-9999.0
16,16,1698569.916540928,6099275.28121841,-9999.0
17,17,1698645.656210993,6099273.825093335,-9999.0
18,18,1701599.990150231,6099230.235730309,-9999.0
19,19,1701630.601579608,6099232.403958381,-9999.0
20,20,1701761.541492644,6099229.261424907,-9999.0
21,21,1701739.800881685,6099204.318866827,-9999.0
22,22,1698641.265040652,6099228.930505967,-9999.0
23,23,1698604.976752447,6099219.738829278,-9999.0
24,24,1701747.209842725,6099189.288986839,-9999.0
25,25,1701725.365292697,6099145.043953166,-9999.0
26,26,1698192.423896118,6099153.369838424,0.344000002
27,27,1701664.187457252,6099075.634646771,-9999.0
28,28,1701631.262396693,6099055.350084299,-9999.0
29,29,1701646.974380044,6099057.136154361,-9999.0
30,30,1701547.306375616,6099051.83358235,-9999.0
31,31,1701540.242046556,6099038.364041536,-9999.0
32,32,1701594.015518499,6099035.737152046,-9999.0
33,33,1701532.206985204,6099017.289335487,-9999.0
34,34,1701565.437035665,6099016.960274277,-9999.0
35,35,1701544.780420431,6098997.263740411,2.155210676
36,36,1701457.843697286,6098898.598047455,-0.347478305
37,37,1701111.266576754,6098873.04610184,-9999.0
38,38,1701252.960191317,6098851.076102297,-9999.0
39,39,1701484.261789848,6098927.882267417,0.54495778
40,40,1701242.053351796,6098840.91823795,-9999.0
41,41,1701105.632091773,6098833.524746086,-9999.0
42,42,1701451.177253974,6098837.796121394,-9999.0
43,43,1701145.158065022,6098837.697007349,-0.141315833
44,44,1701223.453044836,6098824.842186828,-9999.0
45,45,1701162.611288785,6098812.231559089,-9999.0
46,46,1701187.130038983,6098811.956860719,-9999.0
47,47,1701418.35053499,6098814.20373231,-9999.0
48,48,1701170.672591066,6098802.176986249,-9999.0
49,49,1701387.252583528,6098799.749347392,-9999.0
50,50,1701370.797017117,6098789.968522153,-9999.0
51,51,1701204.371866333,6098790.71563279,-0.103000045
52,52,1698548.286984291,6098780.759058115,-9999.0
53,53,1701237.316904062,6098743.724517026,-9999.0
54,54,1701195.388811872,6098708.927675107,-9999.0
55,55,1701294.11379498,6098748.599125869,0.307748421
56,56,1698512.440796929,6098708.181058102,-9999.0
57,57,1701111.392083738,6098643.760479147,-9999.0
58,58,1698496.575089187,6098673.406735032,-9999.0
59,59,1701187.928635495,6098667.124331595,-0.47583337
60,60,1701115.261747212,6098598.53011246,-0.576500058
61,61,1698140.562966758,6098607.019434574,-9999.0
62,62,1698462.783473905,6098603.135509991,-9999.0
63,63,1701151.491662212,6098585.906666125,-0.185190752
64,64,1701168.283028599,6098549.655440719,-0.271375857
65,65,1697648.757586119,6098556.931208665,-0.402993139
66,66,1701184.722722337,6098510.729908486,0.343223201
67,67,1697767.182738173,6098510.121038376,-0.887600032
68,68,1697783.435733726,6098501.434007491,-9999.0
69,69,1697836.229470347,6098470.590205717,-9999.0
70,70,1698330.032918771,6098983.618515505,-0.233840727
71,71,1701387.015047502,6098361.322482945,-0.519000053
72,72,1697634.717328593,6098398.215393351,-9999.0
73,73,1701400.986466097,6098345.79062951,0.430306117
74,74,1701394.256013107,6098331.348329403,-0.323933337
75,75,1697781.646785572,6098351.468929517,-9999.0
76,76,1701386.203035731,6098316.492330679,-0.481000036
77,77,1701399.291040065,6098323.883849127,0.145307691
78,78,1701376.77133709,6098278.281177456,-0.303000033
79,79,1697656.522002073,6098397.903610112,-0.591685492
80,80,1701362.257400815,6098241.613885349,-0.145740784
81,81,1701374.155515578,6098214.874235598,-0.317500044
82,82,1701375.497821535,6098170.641253271,-0.125322627
83,83,1697648.838475771,6098203.239625687,-9999.0
84,84,1697710.507192493,6098182.297100318,-9999.0
85,85,1701373.77052719,6098144.748034138,1.429231175
86,86,1698195.755083843,6098167.572378486,-9999.0
87,87,1698372.357141835,6098165.493169424,-9999.0
88,88,1698162.153499402,6098158.674506521,-9999.0
89,89,1697700.033039125,6098159.791524458,-9999.0
90,90,1698143.285322352,6098148.076563857,-9999.0
91,91,1701372.662513862,6098119.522159435,-0.440156904
92,92,1698127.6687726,6098136.382246265,-0.8454167
93,93,1698111.62364135,6098122.644048331,-0.93900004
94,94,1698270.771168642,6098116.182464978,-9999.0
95,95,1698013.728060386,6098115.836052435,-9999.0
96,96,1698077.078452993,6098109.03648252,-9999.0
97,97,1697950.625916649,6098100.468103149,-9999.0
98,98,1698348.756545748,6098138.361015571,-0.524954307
99,99,1701430.106555976,6098052.804825757,-9999.0
100,100,1697917.285122464,6098081.001241139,-9999.0
101,101,1701410.892268826,6098022.404864446,-9999.0
102,102,1697630.43630051,6098150.915343896,-0.307996293
103,103,1697873.813918052,6098059.535055504,-9999.0
104,104,1697847.063165183,6098042.189345326,-9999.0
105,105,1697826.590860916,6098033.865246612,-9999.0
106,106,1697810.745711582,6098017.463013628,-0.846714335
107,107,1697564.10649004,6098023.839418102,-0.268143386
108,108,1697654.002126759,6097982.560985501,-9999.0
109,109,1701274.923868881,6097894.259184144,-9999.0
110,110,1697703.680855926,6097913.89026272,-9999.0
111,111,1697775.732692802,6097939.736134334,-0.962009736
112,112,1697824.506785818,6097900.971527152,-9999.0
113,113,1698324.67655637,6097996.637713985,-0.458259959
114,114,1697606.844187161,6097944.11908953,-0.735934046
115,115,1697716.241852497,6097890.234557321,-9999.0
116,116,1697669.823882382,6097869.29113194,-9999.0
117,117,1698459.44999911,6097876.468688382,-9999.0
118,118,1697873.989971058,6097831.593492815,-0.467422539
119,119,1697890.422061296,6097816.942702725,-0.32809941
120,120,1697746.029711252,6097760.096713365,-0.085333329
121,121,1701236.967401429,6097853.536357025,-0.055706714
122,122,1701207.544830139,6097716.384233891,-9999.0
