OID,FID_,X,Y,BCE_Otago_
0,0,1421593.059915781,4927249.47857339,0.046241699
1,1,1422666.356368711,4928835.538056312,-9999.0
2,2,1422615.390108731,4928776.926829618,-9999.0
3,3,1422554.704943517,4928714.102634768,-9999.0
4,4,1422498.227552968,4928650.495291508,-9999.0
5,5,1422477.845494145,4928629.936086426,-9999.0
6,6,1423377.664872021,4928640.980459812,-0.521166664
7,7,1423326.646194369,4927757.804936945,-0.117857161
8,8,1421695.191951673,4927648.626615706,0.290057139
9,9,1421778.380197197,4927631.94422051,0.310829934
10,10,1423169.178031923,4927670.787981962,1.121914285
11,11,1421734.085781764,4927652.022020258,0.347038165
12,12,1421680.487240395,4927616.907175266,0.317318654
13,13,1421626.930070966,4927586.940279856,0.283469386
14,14,1423018.538009183,4927561.619191221,-0.16304927
15,15,1421832.253027027,4927516.780205612,0.26971256
16,16,1423005.567668121,4927526.290131431,0.016538438
17,17,1423000.82725517,4927500.619041651,0.851916634
18,18,1421717.882772955,4927454.242201425,0.305776189
19,19,1421787.866908753,4927448.040046837,0.400416341
20,20,1422001.614610161,4927442.665682542,0.282966591
21,21,1421688.696573883,4927388.009920086,0.356613636
22,22,1423034.507757674,4927414.306481671,-0.552142904
23,23,1421626.261070406,4927371.962592191,0.454559807
24,24,1420615.442423868,4927317.850375116,0.44719298
25,25,1421665.935266199,4927372.759976699,0.429952803
26,26,1421731.966921721,4927354.072409593,0.418305208
27,27,1420739.369192575,4927302.517115627,0.651510691
28,28,1421881.631012598,4927436.862115464,0.308731499
29,29,1422035.787813193,4927380.195971026,0.347685123
30,30,1421720.726952603,4927294.184657941,0.565798478
31,31,1420852.014894098,4927375.760316555,0.539357885
32,32,1421687.908958405,4927487.591121688,0.359596666
33,33,1423223.042410286,4927219.728815631,-9999.0
34,34,1419067.184515305,4927083.07490615,-0.427521745
35,35,1423245.091004833,4927202.801122748,-0.954666714
36,36,1418998.352758901,4927059.032785464,-0.103108114
37,37,1419419.788708908,4927080.249551764,0.525136648
38,38,1418977.340009955,4927020.627751875,-0.40667626
39,39,1418875.224282375,4926903.777965678,0.062573067
40,40,1418273.883774382,4926820.282909918,-0.706768108
41,41,1418892.12970528,4926858.701598606,-0.090100394
42,42,1418244.531220048,4926802.203467191,-0.750301601
43,43,1418226.469162545,4926768.950845307,0.216028566
44,44,1418245.497311094,4926769.507820518,-9999.0
45,45,1418223.708490109,4926743.897879655,-0.427113959
46,46,1418064.289605645,4926699.273558753,-9999.0
47,47,1417985.897422374,4926632.048444978,-0.264461559
48,48,1417965.536615224,4926611.47380187,-0.294000016
49,49,1417966.121788992,4926591.513180992,-9999.0
50,50,1417951.400158549,4926567.709238573,-0.70098651
51,51,1423306.178650108,4926713.205095439,-0.795480042
52,52,1423299.731956767,4926645.889951177,-0.846049329
53,53,1417451.304909204,4926396.557877032,-0.60892662
54,54,1417946.470009156,4926482.82810097,-0.499553231
55,55,1417434.229489565,4926376.323246953,-9999.0
56,56,1417603.138911985,4926380.01100302,-0.462080023
57,57,1417414.316280468,4926345.566017625,-0.741200044
58,58,1417415.196771954,4926315.625069833,-0.75309998
59,59,1417200.476046605,4926302.411814456,-0.62667115
60,60,1417177.653573723,4926265.28447691,-0.680178378
61,61,1417953.515827117,4926306.460373219,0.00044176
62,62,1417145.998588568,4926202.818557537,0.113357137
63,63,1417139.751933326,4926177.662145401,-0.409571445
64,64,1417157.205704498,4926178.176188952,-9999.0
65,65,1417112.599810257,4926101.052304545,-0.721486257
66,66,1417958.198026716,4926146.77522337,-0.978000045
67,67,1417105.361470196,4926076.401173685,-0.489520872
68,68,1417933.554192655,4926093.610761196,0.195061505
69,69,1417915.013983617,4926070.591982995,0.309016524
70,70,1417101.832201091,4926041.693992945,-9999.0
71,71,1417899.34807425,4926038.917176141,-0.525026356
72,72,1417879.652315312,4926013.616873601,-0.900666724
73,73,1417059.802067553,4925979.41183423,-0.681000045
74,74,1415997.115451021,4925927.579440783,-0.20462394
75,75,1415964.49116574,4925910.522069418,-0.209077464
76,76,1416050.949853417,4925903.60685348,-0.921340414
77,77,1415902.790361486,4925877.531343926,-0.535833348
78,78,1415837.239058536,4925864.748261842,-0.843000025
79,79,1417037.900896757,4925926.709850787,-0.524975338
80,80,1415822.423873939,4925857.983189124,-0.837552266
81,81,1415724.412017328,4925836.141045645,-0.329085737
82,82,1415773.701439826,4925839.814121825,-0.232661388
83,83,1417022.76256257,4925879.540264892,0.032182467
84,84,1415690.395119964,4925805.163848897,-0.261628568
85,85,1416465.926731721,4925815.689011874,-0.97299999
86,86,1422951.351479524,4925996.514200466,2.495585717
87,87,1415670.340766869,4925774.601058755,0.52851428
88,88,1416442.080878966,4925799.061503676,-0.780000043
89,89,1416533.503406923,4925795.864690475,-9999.0
90,90,1416823.834192619,4925788.249269532,-0.594432027
91,91,1415652.986142742,4925743.591209634,0.498058826
92,92,1416408.027700285,4925756.50556874,0.182777735
