OID,FID_,X,Y,BCE_Otago_
0,0,1422782.221615727,4928856.701702774,-9999.0
1,1,1422846.435629716,4928830.81825252,-9999.0
2,2,1422905.872687257,4928812.158601166,-9999.0
3,3,1422766.471507602,4928798.195484057,-9999.0
4,4,1422684.72402093,4928834.044246064,-9999.0
5,5,1422714.074211299,4928791.810515086,-9999.0
6,6,1422872.718870396,4928813.435105291,-9999.0
7,7,1423045.927228302,4928794.727461515,-9999.0
8,8,1422792.492466917,4928797.257205906,-9999.0
9,9,1422805.543070112,4928768.557752815,-9999.0
10,10,1422831.432751121,4928770.612847348,-9999.0
11,11,1422944.295105574,4928805.033581225,-9999.0
12,12,1422669.839839614,4928760.274082385,-9999.0
13,13,1422697.767857559,4928756.281714364,-9999.0
14,14,1422743.005761318,4928769.051817804,-9999.0
15,15,1422897.317127738,4928762.34989487,-9999.0
16,16,1422946.278714255,4928762.496717647,-9999.0
17,17,1422998.617054512,4928793.574926062,-9999.0
18,18,1423126.73649659,4928767.323080054,-9999.0
19,19,1422775.163797577,4928738.51292812,-9999.0
20,20,1422886.911225577,4928741.699309883,-9999.0
21,21,1422916.663666974,4928747.450490549,-9999.0
22,22,1422946.009269428,4928743.845327127,-9999.0
23,23,1423091.358712134,4928753.43483499,-9999.0
24,24,1423138.35223721,4928753.650934305,-9999.0
25,25,1422811.618448535,4928730.094187018,-9999.0
26,26,1422936.096803053,4928732.703075064,-9999.0
27,27,1422967.214310927,4928739.097684403,-9999.0
28,28,1423037.854616503,4928736.388907687,-9999.0
29,29,1423107.349450383,4928737.785789961,-9999.0
30,30,1423145.91389837,4928738.678750585,-9999.0
31,31,1422688.929251288,4928716.452966664,-9999.0
32,32,1422786.527344611,4928723.340689846,-9999.0
33,33,1422847.11976284,4928728.386528391,-9999.0
34,34,1423091.353852656,4928726.43483812,-9999.0
35,35,1423210.364971292,4928737.507790257,-9999.0
36,36,1422759.05586939,4928708.465371363,-9999.0
37,37,1423006.495769383,4928715.141746865,-9999.0
38,38,1423118.708637321,4928723.695596057,-9999.0
39,39,1422905.965748071,4928708.546180001,-9999.0
40,40,1422978.395864963,4928708.573185705,-9999.0
41,41,1422595.284472373,4928731.257099964,-9999.0
42,42,1422646.284664371,4928709.358607958,-9999.0
43,43,1423042.084364432,4928693.885452289,-9999.0
44,44,1422620.511948066,4928664.558000579,-9999.0
45,45,1422718.98870481,4928698.691803958,-9999.0
46,46,1422535.19123474,4928677.854049884,-9999.0
47,47,1422674.978094521,4928663.4671716,-9999.0
48,48,1422867.787182875,4928665.46724708,-9999.0
49,49,1423335.14177134,4928675.255369696,-9999.0
50,50,1423367.609171638,4928680.265495612,-9999.0
51,51,1422699.239410885,4928650.510551025,-9999.0
52,52,1422980.265124157,4928654.464092929,-9999.0
53,53,1423287.717449203,4928663.011233131,-9999.0
54,54,1422540.103233588,4928636.139813383,-9999.0
55,55,1422789.057132614,4928638.15365604,-9999.0
56,56,1423075.176624441,4928653.704706328,-9999.0
57,57,1422635.880474949,4928637.495374468,-9999.0
58,58,1422473.997226859,4928617.840006688,-9999.0
59,59,1422590.009722243,4928613.367794416,-9999.0
60,60,1422617.954917326,4928618.955052303,-9999.0
61,61,1423276.915636863,4928634.802386213,-9999.0
62,62,1423319.997371147,4928633.964125378,-9999.0
63,63,1423354.917771539,4928634.95703873,-9999.0
64,64,1423337.74134745,4928624.480303053,-9999.0
65,65,1422458.372559411,4928595.964613393,-9999.0
66,66,1422717.551429591,4928602.16932149,-9999.0
67,67,1422751.364324512,4928597.791344913,-9999.0
68,68,1423235.579025243,4928613.649743473,-9999.0
69,69,1423289.136721191,4928613.109741132,-9999.0
70,70,1422559.934944104,4928582.920818509,-9999.0
71,71,1422741.163059303,4928587.859792449,-9999.0
72,72,1422919.114804107,4928592.791135935,-9999.0
73,73,1422421.711539338,4928567.683715106,-9999.0
74,74,1422972.27803098,4928584.694891568,-9999.0
75,75,1422410.604861854,4928557.014572226,-9999.0
76,76,1422581.457072727,4928563.55856387,-9999.0
77,77,1422655.539743862,4928565.826430148,-9999.0
78,78,1422982.691251355,4928574.421182681,-9999.0
79,79,1423042.402638341,4928576.704147959,-9999.0
80,80,1422546.822008589,4928552.580993897,-9999.0
81,81,1422697.435499202,4928577.444299082,-9999.0
82,82,1422731.411513356,4928557.063563601,-9999.0
83,83,1422754.16928513,4928564.866112391,-9999.0
84,84,1422859.114027536,4928567.923817373,-9999.0
85,85,1422989.959614629,4928564.639863639,-9999.0
86,86,1422501.212572827,4928540.912542352,-9999.0
87,87,1422619.940580039,4928544.303344896,-9999.0
88,88,1422773.73993267,4928548.487548577,-9999.0
89,89,1422822.476599972,4928550.082413287,-9999.0
90,90,1423000.372773313,4928554.366118226,-9999.0
91,91,1422403.66629902,4928535.175913963,-9999.0
92,92,1422781.159948792,4928538.505940246,-9999.0
93,93,1422864.420894205,4928626.017481199,-9999.0
94,94,1422592.574540795,4928523.545117542,-9999.0
95,95,1422613.52647489,4928524.143352905,-9999.0
96,96,1422660.022952909,4928534.524433257,-9999.0
97,97,1422701.324695349,4928527.026628791,-9999.0
98,98,1422990.661306216,4928534.899494739,-9999.0
99,99,1422377.655152943,4928511.093333337,-9999.0
100,100,1422652.793716856,4928514.404530813,-9999.0
101,101,1422683.95377333,4928515.755618526,-9999.0
102,102,1422718.722266223,4928516.952641535,-9999.0
103,103,1422740.900111549,4928523.578488385,-9999.0
104,104,1422781.426630175,4928518.946391014,-9999.0
105,105,1422871.221355289,4928526.060569569,-9999.0
106,106,1422914.122007009,4928522.729988566,-9999.0
107,107,1422935.08302552,4928528.11675885,-9999.0
108,108,1422362.804522402,4928497.526481578,-9999.0
109,109,1422732.954194021,4928508.098628087,-9999.0
110,110,1422794.732975514,4928508.397837785,-9999.0
111,111,1422642.317098752,4928494.999995008,-9999.0
112,112,1422991.364864178,4928510.872495261,-9999.0
113,113,1422760.87263803,4928499.934160229,-9999.0
114,114,1422887.184949584,4928493.850973467,-9999.0
115,115,1423114.51603439,4928498.85052287,-9999.0
116,116,1422670.003573007,4928480.618924643,-9999.0
117,117,1422958.360012433,4928499.566026549,-9999.0
118,118,1422599.588897496,4928477.737427894,-9999.0
119,119,1422742.195471899,4928468.415097202,-9999.0
120,120,1422919.534798428,4928473.319394494,-9999.0
121,121,1423158.493242082,4928507.572012862,-9999.0
122,122,1422359.038385102,4928461.153863893,-9999.0
123,123,1422535.98983737,4928442.398749529,-9999.0
124,124,1422759.474275175,4928448.778395331,-9999.0
125,125,1422965.000498455,4928454.261133973,-9999.0
126,126,1423055.791053523,4928456.847559988,-9999.0
127,127,1422305.419314689,4928430.081713954,-9999.0
128,128,1422608.077723812,4928434.79417326,-9999.0
129,129,1422638.947375942,4928440.884320608,-9999.0
130,130,1423077.036151664,4928452.253555509,-9999.0
131,131,1422403.86654551,4928418.646429705,-9999.0
132,132,1422588.591856927,4928423.342177525,-9999.0
133,133,1422281.976931839,4928409.073821883,-9999.0
134,134,1422557.439133705,4928432.406646164,-9999.0
135,135,1422606.336490063,4928413.860436199,-9999.0
136,136,1422658.572954732,4928420.345949841,-9999.0
137,137,1422756.338023321,4928418.346490657,-9999.0
138,138,1423035.24473855,4928430.517521289,-9999.0
139,139,1423076.212353508,4928428.13048347,-9999.0
140,140,1422344.576004635,4928396.59719749,-9999.0
141,141,1422917.251155665,4928412.946692501,-9999.0
142,142,1422261.330370615,4928388.765607036,-9999.0
143,143,1422478.961792398,4928394.65748573,-9999.0
144,144,1422622.231890252,4928401.568624416,-9999.0
145,145,1422682.05625681,4928403.471727666,-9999.0
146,146,1422942.615958767,4928427.825169876,-9999.0
147,147,1422983.630461419,4928405.098613145,-9999.0
148,148,1422306.72094014,4928370.647482953,-9999.0
149,149,1422641.050791173,4928382.82272165,-9999.0
150,150,1422676.8953428,4928376.587539811,-9999.0
151,151,1422436.506947509,4928359.271517242,-9999.0
152,152,1422485.40523076,4928360.259204929,-9999.0
153,153,1422509.546138741,4928375.82863489,-9999.0
154,154,1422660.139829467,4928365.454296231,-9999.0
155,155,1422757.76167047,4928368.444989678,-9999.0
156,156,1423142.654585958,4928410.772974746,-9999.0
157,157,1422325.337034538,4928336.116246961,-9999.0
158,158,1422936.28431159,4928363.342300468,-9999.0
159,159,1422890.278021595,4928342.961234524,-9999.0
160,160,1422300.996318429,4928316.242982745,-9999.0
161,161,1422346.859149751,4928316.754801002,-9999.0
162,162,1422758.452925754,4928332.731383922,-9999.0
163,163,1422536.503220699,4928317.160524913,-9999.0
164,164,1422646.997705183,4928319.56219125,-9999.0
165,165,1422438.21843825,4928299.38971621,-9999.0
166,166,1422321.891540944,4928290.162464303,-9999.0
167,167,1422448.783495743,4928288.91636406,-9999.0
168,168,1422567.40242173,4928298.190437508,-9999.0
169,169,1423217.921378059,4928333.768862722,-9999.0
170,170,1422529.577146437,4928282.023301892,-9999.0
171,171,1422599.414230652,4928284.017926659,-9999.0
172,172,1422145.92552396,4928265.710855984,-9999.0
173,173,1422537.14862911,4928271.841462549,-9999.0
174,174,1422289.708646556,4928255.566636908,-9999.0
