OID,FID_,X,Y,BCE_Pareng
0,0,1590778.844515181,6186180.850305121,1.748899995
1,1,1590794.788625322,6186179.445482206,1.905160708
2,2,1590756.371177939,6186170.866871507,1.464189467
3,3,1590807.729677266,6186171.265551615,1.728779644
4,4,1590729.47000545,6186146.669545045,1.306673463
5,5,1590696.407418213,6186116.020936078,1.355366659
6,6,1590708.807494227,6186091.130543419,1.203824209
7,7,1593311.6402168,6185964.076989015,0.6017544
8,8,1591026.58088007,6185942.025898147,1.760193374
9,9,1591059.599939964,6185922.135471495,1.600388907
10,10,1589780.987728232,6185801.284566304,1.692600022
11,11,1590094.482145209,6185801.623867166,0.75191112
12,12,1589805.748208349,6185791.350632117,1.414174967
13,13,1590053.412942157,6185791.414614766,0.912280702
14,14,1589830.508650606,6185781.41662163,1.513155537
15,15,1589847.008308551,6185781.434657851,1.600900008
16,16,1589954.256172706,6185781.551150614,0.527799997
17,17,1590028.335283295,6185781.835189603,1.011859664
18,18,1589873.462080001,6185775.296728074,1.075449422
19,19,1590002.409808147,6185771.368117101,1.018438881
20,20,1589764.554620342,6185740.771794315,1.260125063
21,21,1590125.277804852,6185741.889882009,1.149612231
22,22,1589772.814576992,6185731.547713095,1.239224955
23,23,1592470.631141193,6185733.131326547,0.750301387
24,24,1589789.494060711,6185721.809201209,1.323137978
25,25,1590119.1469939,6185722.165404399,0.925508778
26,26,1589840.147076201,6185712.433719486,1.153692752
27,27,1589880.011324196,6185700.763256798,1.151844848
28,28,1590135.667696942,6185702.260699564,1.144964297
29,29,1589921.195409509,6185682.108411147,1.168999956
30,30,1589955.686964239,6185672.714765527,1.069006065
31,31,1589979.135303276,6185661.316559523,1.023107149
32,32,1589993.187406952,6185647.821186551,1.096461135
33,33,1590012.334504935,6185632.401142324,1.056456162
34,34,1594384.337642755,6185636.070095856,0.692618177
35,35,1591167.123847043,6185633.365789108,2.758872496
36,36,1590041.960985167,6185601.277734409,1.07369644
37,37,1590185.302437263,6185601.995005335,0.753966002
38,38,1590069.807899273,6185572.695953488,1.066793103
39,39,1593559.578418235,6185575.564337949,0.784422197
40,40,1591183.689376491,6185563.653635639,1.038424994
41,41,1590085.894965477,6185552.586588741,1.074862049
42,42,1591191.948454067,6185553.700341536,2.030250007
43,43,1593567.754745958,6185555.320411324,0.78248925
44,44,1590102.462437218,6185537.093889288,1.054369319
45,45,1591191.96732985,6185533.778113008,0.620600001
46,46,1594475.603122178,6185531.327042987,1.002703704
47,47,1590118.935844191,6185512.77725853,1.039981781
48,48,1590234.874579131,6185502.73436034,0.939228083
49,49,1590135.889654425,6185493.077290013,0.935559333
50,50,1594376.671965038,6185466.586125793,0.029191673
