OID,FID_,X,Y,BCE_Pareng
0,0,1590745.934823081,6186170.754412063,1.484658244
1,1,1590737.61341972,6186160.887093983,1.462622205
2,2,1590721.244171533,6186150.725883674,1.228184214
3,3,1590784.872158757,6186131.010010757,1.312795736
4,4,1590882.949430337,6186091.206563381,0.807407563
5,5,1590894.454459149,6186071.391961918,0.754789434
6,6,1590706.791094701,6186081.279668864,1.315167514
7,7,1590754.22344068,6186050.603391934,1.054567248
8,8,1590910.974106213,6186051.485877472,0.691888898
9,9,1590762.834707737,6186042.715633821,1.237770474
10,10,1590779.508931275,6186032.884828275,1.140470583
11,11,1590925.209293361,6186038.788999351,0.668669503
12,12,1590796.099735733,6186022.414255157,0.892379041
13,13,1590935.753458765,6186021.62673454,0.740125
14,14,1590804.708628968,6186013.127238828,0.862641033
15,15,1590820.357460178,6186001.697809344,0.795797445
16,16,1590827.929423472,6185991.637640251,0.765543856
17,17,1592627.080687775,6185993.180944894,0.812101268
18,18,1592684.731845476,6186005.693312745,1.260971087
19,19,1592610.784312065,6185982.957661919,0.811119064
20,20,1592602.387708062,6185973.190592542,0.777974676
21,21,1592684.698239279,6185973.481192557,2.467688257
22,22,1590977.060985324,6185962.628160913,0.569370369
23,23,1590997.695994029,6185952.306837458,0.664307672
24,24,1592578.391096936,6185952.149430591,0.696290315
25,25,1591018.330904308,6185942.017932159,1.273024983
26,26,1592569.891299821,6185942.615863671,0.887046155
27,27,1592667.754733486,6185944.029194712,2.986092369
28,28,1591030.715477329,6185932.068767904,1.322229422
29,29,1592561.421127453,6185932.980810246,0.897162159
30,30,1592553.21766944,6185923.095671749,0.993108105
31,31,1591052.731363588,6185915.488111164,1.247255085
32,32,1592546.303214211,6185912.562886938,1.024325602
33,33,1591076.118977709,6185902.229105039,0.835974995
34,34,1593327.361722971,6185959.619838161,0.932703226
35,35,1592537.589043705,6185893.009127563,1.055916658
36,36,1591090.353710007,6185889.5319544,0.834431192
37,37,1592567.45986535,6185884.317234712,1.065862635
38,38,1592626.961979684,6185873.909227812,1.595473668
39,39,1593322.515212391,6185899.552264452,0.662252435
40,40,1593344.711486913,6185864.489602638,0.492178569
41,41,1592552.343338729,6185858.135139233,1.063580173
42,42,1593328.388162417,6185854.312518303,0.563807404
43,43,1591116.657587691,6185857.174597773,1.662226424
44,44,1592521.769212302,6185833.39995596,1.032023237
45,45,1592535.859535328,6185838.199690625,0.765898759
46,46,1592536.276913631,6185794.14795016,0.901649115
47,47,1592588.254583252,6185814.416026341,1.064455196
48,48,1593369.518028487,6185784.818422489,0.609448286
49,49,1590779.482956282,6185783.435813704,1.113221197
50,50,1592519.793258514,6185774.21247093,1.105280684
51,51,1593328.276013949,6185774.827804347,0.748321435
52,52,1590787.716075593,6185762.759374701,0.801520015
53,53,1593377.947835161,6185769.678482954,0.944299987
54,54,1590796.229763745,6185753.174204106,0.740428586
55,55,1592495.810010557,6185753.279435805,-0.113897166
56,56,1593321.324215562,6185750.016994741,0.656725665
57,57,1590810.332857377,6185741.012977476,0.703384617
58,58,1592462.414641459,6185732.350592038,0.810307708
59,59,1592478.835441039,6185733.998351666,0.704371801
60,60,1589764.618161691,6185726.689058437,1.335203404
61,61,1590828.838233282,6185722.73680949,0.643666668
62,62,1592454.004440514,6185724.149443848,0.859174978
63,63,1593328.477514324,6185729.798661353,0.701166662
64,64,1589773.193390002,6185712.433924692,1.397073551
65,65,1592470.506217336,6185721.425704096,0.763994109
66,66,1590837.559608273,6185709.842430694,0.647642277
67,67,1590846.476378481,6185694.014646694,0.60930175
68,68,1593336.749226686,6185699.922479283,0.669464286
69,69,1591151.179921266,6185683.156212893,3.417400026
70,70,1593345.016298266,6185675.024377072,0.840999987
71,71,1593411.014179251,6185675.071386699,0.639874994
72,72,1590861.90546541,6185668.064328388,0.566515723
73,73,1593419.270450076,6185665.844071401,0.657962255
74,74,1590863.380602758,6185643.17055951,0.612153825
75,75,1593353.38231798,6185650.365125696,0.861155844
76,76,1590168.751026817,6185622.60674439,1.05887721
77,77,1590869.851460728,6185628.098008962,0.581299146
78,78,1593361.68314889,6185625.355116686,0.77338822
79,79,1590863.321825611,6185612.887330878,0.726740741
80,80,1592676.842084039,6185605.522189945,0.673008785
81,81,1593518.308842421,6185606.146955901,0.702196069
82,82,1590177.19116985,6185602.489141935,0.804655472
83,83,1593369.905026977,6185600.529365712,0.784089154
84,84,1593543.061828647,6185600.455673737,0.756587499
85,85,1592454.2078008,6185614.385463979,1.087705966
86,86,1592709.856975165,6185584.897949804,0.704424994
