OID,FID_,X,Y,BCE_Pareng
0,0,1590904.712306441,6186073.828028522,0.740346086
1,1,1591216.059722486,6185433.867184112,0.538124304
2,2,1591430.97045465,6185417.293606642,0.722913574
3,3,1591195.846212342,6185308.995886929,-0.039743507
4,4,1591215.144135029,6185273.555623624,0.611257139
5,5,1591157.884503809,6185271.370074031,-0.417966375
6,6,1591249.525765215,6185243.83591202,0.598516887
7,7,1591175.751844426,6185234.928912631,-0.485000014
8,8,1591226.290708826,6185196.424677362,-0.485000014
9,9,1591275.714549853,6185157.803933592,-0.485000014
10,10,1591285.738103987,6185149.346403601,-0.485000014
11,11,1591294.610898348,6185139.224113921,-0.485000014
12,12,1591307.528322266,6185126.184930369,-0.49199394
13,13,1591810.760035593,6185120.260619652,1.031163283
14,14,1591666.486356242,6185095.756346898,-0.124657701
15,15,1591639.948361048,6185078.841951047,-0.365378166
16,16,1591373.893357963,6185065.775733848,0.369301824
17,17,1591824.553976852,6185077.092414851,0.876915436
18,18,1591522.396478374,6185046.718019653,-0.545000017
19,19,1591365.671978872,6185035.884669665,-0.535002741
20,20,1591419.291269574,6185036.282086074,-0.278089534
21,21,1591730.022990341,6185037.265125407,-0.044528383
22,22,1591332.747087212,6185033.870216906,-0.466159695
23,23,1591576.519491605,6184966.931053053,-0.545000017
24,24,1591281.099139395,6184987.240923122,-0.535000026
25,25,1592482.740045996,6184956.702726228,0.783159989
26,26,1591790.494539769,6184960.590023939,-0.049589951
27,27,1591307.10165842,6184935.756915687,-0.535000026
28,28,1592304.280552392,6184934.685810476,0.389562495
29,29,1591588.021463022,6184922.056801629,-0.545000017
30,30,1591703.834216757,6184906.902241324,-0.545000017
31,31,1592290.501426936,6184906.368250478,-0.214333333
32,32,1592342.9403839,6184905.207219534,-0.085298075
33,33,1591720.350076087,6184886.994706445,-0.545000017
34,34,1592253.299084662,6184887.585902052,-0.270188593
35,35,1591587.988695007,6184881.122341908,-0.545000017
36,36,1591643.442454126,6184880.030173539,-0.545000017
37,37,1591355.632543568,6184883.774303899,-0.53987583
38,38,1592204.476867337,6184870.607259916,-0.318316651
39,39,1591542.833034857,6184862.035802112,-0.545000017
40,40,1591422.485867822,6184912.595828012,-0.543851596
41,41,1591518.463442291,6184836.80272249,-0.545000017
42,42,1591839.966517094,6184844.852735401,-0.028355
43,43,1592183.565406513,6184846.06091651,-0.179836675
44,44,1592453.399665161,6184852.296609935,-0.217310447
45,45,1591862.764762622,6184817.946401687,0.068553333
46,46,1591479.236762299,6184815.253506615,-0.545000017
47,47,1592043.01034176,6184809.531525493,0.163088606
48,48,1592142.934082595,6184811.452693654,-0.090904751
49,49,1591906.196518574,6184802.284510316,-0.278668743
50,50,1591638.027942248,6184827.331191764,-0.545000017
51,51,1592058.645753728,6184787.678603897,-0.139352726
52,52,1592100.791680075,6184790.972873946,-0.1438043
53,53,1592286.571780404,6184794.860431377,-0.584999979
54,54,1592347.358985561,6184787.920814095,-0.584999979
55,55,1591773.707099463,6184780.867553217,-0.545173664
56,56,1592399.973333485,6184792.653788239,-0.156015432
57,57,1591471.487831688,6184776.601299272,-0.545000017
58,58,1591811.195175849,6184767.133045153,-0.584999979
59,59,1591610.49607077,6184763.902390048,-0.545000017
60,60,1591489.664045295,6184758.248710709,-0.545000017
61,61,1591602.891882646,6184747.229186695,-0.545000017
62,62,1592127.112324742,6184753.787285887,-0.468979781
63,63,1591612.813935162,6184737.277015399,-0.545000017
64,64,1592170.21367641,6184742.743891553,-0.584999979
65,65,1592009.372785575,6184727.665297124,-0.584999979
66,66,1591531.639927304,6184728.763717479,-0.545000017
67,67,1592368.978299081,6184732.10872229,-0.257902503
68,68,1591554.327644393,6184706.167960839,-0.545000017
69,69,1592249.218525452,6184697.985018808,-0.584999979
70,70,1592655.86270893,6184698.010563131,0.492769319
71,71,1591708.754062591,6184688.138252374,-0.584890889
72,72,1592072.168822424,6184693.388740486,-0.584999979
73,73,1592740.778732525,6184683.977285515,0.656333347
74,74,1591679.292164684,6184677.774247785,-0.577162065
75,75,1592108.232494347,6184678.148384737,-0.584999979
76,76,1592158.141498957,6184702.428542777,-0.584999979
77,77,1592281.458391266,6184678.293866544,-0.584999979
78,78,1592754.594364037,6184676.248699957,0.544480288
79,79,1592555.185645722,6184669.151404214,-0.430472847
80,80,1591658.141924494,6184661.077600138,-0.576965337
81,81,1591707.759801746,6184650.697590179,-0.584999979
82,82,1591914.551709065,6184714.140202869,-0.584999979
83,83,1592479.725160226,6184638.100650927,-0.584999979
84,84,1592221.575169135,6184703.277175752,-0.584999979
85,85,1592335.793435674,6184661.650301569,-0.011047298
86,86,1592451.452926303,6184627.584585541,-0.356241918
87,87,1592650.448399482,6184641.429315721,-0.01147481
88,88,1592799.911038653,6184632.846371622,-0.584999979
89,89,1592133.038076053,6184608.44147964,-0.584999979
90,90,1592232.023560311,6184608.524744594,-0.584999979
91,91,1592285.818278989,6184598.404149125,-0.584999979
92,92,1592520.739233736,6184598.800451945,-0.584999979
93,93,1592176.619443683,6184600.30307407,-0.584999979
94,94,1592593.419311329,6184601.815144531,-0.584999979
95,95,1592197.853730406,6184571.540238384,-0.584999979
96,96,1591925.737311682,6184622.957143165,-0.444038292
97,97,1592147.690519976,6184544.628806839,-0.34948824
98,98,1591613.610023306,6184523.113326525,-0.584999979
99,99,1591585.192505328,6184498.765612257,-0.584999979
100,100,1591809.942864275,6184514.938106614,0.167886418
101,101,1591555.747964819,6184501.209953754,-0.584999979
102,102,1591916.294572763,6184486.502755002,-0.544140603
103,103,1591536.720266357,6184466.597192069,-0.443218161
104,104,1591737.073762222,6184476.63850604,-0.26446876
105,105,1591773.769338132,6184465.708875123,-0.360686581
106,106,1591873.67954629,6184437.502986987,-0.186244055
107,107,1591539.783460232,6184420.411814684,-0.584999979
108,108,1592072.217328923,6184433.941581266,-0.103488847
109,109,1592019.735889041,6184504.126728673,-0.584999979
110,110,1592123.778647594,6184318.961742648,0.040570366
111,111,1591536.880734988,6184288.826691356,-0.570609321
112,112,1594394.070731573,6184275.471989703,-0.31908286
113,113,1592209.899814676,6184264.550256382,0.353759849
114,114,1591839.377441752,6184316.081485536,-0.452644132
115,115,1594309.501176341,6184235.811765634,-0.21822882
116,116,1594327.616443,6184231.312810263,-0.654999971
117,117,1594392.178897263,6184241.989401884,-0.441104668
118,118,1592085.401538261,6184219.986214352,-0.584999979
119,119,1592281.490329939,6184218.503704412,0.622703696
120,120,1591664.171815779,6184468.613612273,-0.584999979
121,121,1591705.270166782,6184246.272960922,0.067334366
122,122,1591793.014112563,6184205.382850351,-0.20839257
123,123,1593729.338441032,6184189.583546985,1.189726952
124,124,1591663.241285183,6184179.702952269,-0.584999979
125,125,1593713.140405562,6184181.111707973,0.190987503
126,126,1593742.009836358,6184181.131197515,0.202175003
127,127,1593758.445557695,6184181.044540397,0.177840906
128,128,1593874.030909822,6184186.034947278,0.072405069
129,129,1593997.286812509,6184185.781739216,-0.489072751
130,130,1594244.545129783,6184188.940426961,-0.378999978
131,131,1591671.837303519,6184169.340956155,-0.584999979
132,132,1591712.307183141,6184169.581420759,-0.584999979
133,133,1594278.159463071,6184176.496248473,-0.654999971
134,134,1594318.855989545,6184185.937973454,-0.654999971
135,135,1593649.727198811,6184180.551805444,0.200398151
136,136,1591596.242610208,6184159.632253849,-0.546231122
137,137,1591803.490624641,6184149.944299095,-0.584999979
138,138,1593697.015112492,6184155.889897083,-0.654999971
139,139,1594253.427238187,6184157.090262011,-0.654999971
